D;16;io;;;threadripper-3970x-128gb-gentoo-dunfell-2022-07;6-build-16-bb-threads
TIME;AVG10;AVG60;AVG300;DIFF
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;0
1659495522;0.17;1.46;0.82;667
1659495522;0.17;1.46;0.82;2256
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;5
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;56
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;12
1659495523;0.17;1.46;0.82;5
1659495523;0.17;1.46;0.82;5
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;14
1659495523;0.17;1.46;0.82;5
1659495523;0.17;1.46;0.82;60
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;9
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;0
1659495523;0.17;1.46;0.82;91
1659495523;0.17;1.46;0.82;32
1659495523;0.17;1.46;0.82;7
1659495523;0.17;1.46;0.82;5
1659495523;0.17;1.46;0.82;4
1659495523;0.17;1.46;0.82;15
1659495524;0.17;1.46;0.82;292
1659495524;0.14;1.41;0.81;980
1659495524;0.14;1.41;0.81;425
1659495524;0.14;1.41;0.81;805
1659495524;0.14;1.41;0.81;397
1659495524;0.14;1.41;0.81;40
1659495524;0.14;1.41;0.81;0
1659495524;0.14;1.41;0.81;0
1659495524;0.14;1.41;0.81;5
1659495524;0.14;1.41;0.81;7
1659495524;0.14;1.41;0.81;16
1659495524;0.14;1.41;0.81;0
1659495524;0.14;1.41;0.81;0
1659495524;0.14;1.41;0.81;0
1659495524;0.14;1.41;0.81;0
1659495524;0.14;1.41;0.81;0
1659495524;0.14;1.41;0.81;33
1659495524;0.14;1.41;0.81;0
1659495524;0.14;1.41;0.81;4
1659495524;0.14;1.41;0.81;0
1659495524;0.14;1.41;0.81;0
1659495524;0.14;1.41;0.81;0
1659495524;0.14;1.41;0.81;0
1659495524;0.14;1.41;0.81;6
1659495524;0.14;1.41;0.81;0
1659495524;0.14;1.41;0.81;5
1659495524;0.14;1.41;0.81;8
1659495524;0.14;1.41;0.81;675
1659495524;0.14;1.41;0.81;425
1659495524;0.14;1.41;0.81;476
1659495524;0.14;1.41;0.81;1661
1659495524;0.14;1.41;0.81;129
1659495524;0.14;1.41;0.81;0
1659495524;0.14;1.41;0.81;16
1659495524;0.14;1.41;0.81;0
1659495524;0.14;1.41;0.81;183
1659495524;0.14;1.41;0.81;1571
1659495524;0.14;1.41;0.81;352
1659495524;0.14;1.41;0.81;584
1659495524;0.14;1.41;0.81;232
1659495524;0.14;1.41;0.81;65
1659495524;0.14;1.41;0.81;38
1659495525;0.14;1.41;0.81;24
1659495525;0.14;1.41;0.81;155
1659495525;0.14;1.41;0.81;75
1659495525;0.14;1.41;0.81;70
1659495525;0.14;1.41;0.81;82
1659495525;0.14;1.41;0.81;105
1659495525;0.14;1.41;0.81;724
1659495525;0.14;1.41;0.81;169
1659495525;0.14;1.41;0.81;97
1659495525;0.14;1.41;0.81;105
1659495525;0.14;1.41;0.81;415
1659495525;0.14;1.41;0.81;0
1659495525;0.14;1.41;0.81;18
1659495525;0.14;1.41;0.81;162
1659495525;0.14;1.41;0.81;234
1659495525;0.14;1.41;0.81;79
1659495525;0.14;1.41;0.81;38
1659495525;0.14;1.41;0.81;46
1659495525;0.14;1.41;0.81;1095
1659495525;0.14;1.41;0.81;37
1659495525;0.14;1.41;0.81;224
1659495525;0.14;1.41;0.81;198
1659495525;0.14;1.41;0.81;2294
1659495525;0.14;1.41;0.81;1024
1659495525;0.14;1.41;0.81;318
1659495525;0.14;1.41;0.81;4670
1659495525;0.14;1.41;0.81;38
1659495525;0.14;1.41;0.81;27
1659495526;0.14;1.41;0.81;343
1659495526;0.29;1.4;0.81;56
1659495526;0.29;1.4;0.81;231
1659495526;0.29;1.4;0.81;100
1659495526;0.29;1.4;0.81;0
1659495526;0.29;1.4;0.81;0
1659495526;0.29;1.4;0.81;91
1659495526;0.29;1.4;0.81;83
1659495526;0.29;1.4;0.81;35
1659495526;0.29;1.4;0.81;84
1659495526;0.29;1.4;0.81;344
1659495526;0.29;1.4;0.81;125
1659495526;0.29;1.4;0.81;44
1659495526;0.29;1.4;0.81;29
1659495526;0.29;1.4;0.81;112
1659495526;0.29;1.4;0.81;14
1659495527;0.29;1.4;0.81;74
1659495527;0.29;1.4;0.81;59
1659495527;0.29;1.4;0.81;0
1659495527;0.29;1.4;0.81;0
1659495527;0.29;1.4;0.81;0
1659495527;0.29;1.4;0.81;0
1659495527;0.29;1.4;0.81;0
1659495527;0.29;1.4;0.81;18
1659495527;0.29;1.4;0.81;0
1659495527;0.29;1.4;0.81;0
1659495527;0.29;1.4;0.81;17
1659495527;0.29;1.4;0.81;34
1659495527;0.29;1.4;0.81;91
1659495527;0.29;1.4;0.81;83
1659495527;0.29;1.4;0.81;73
1659495527;0.29;1.4;0.81;17
1659495527;0.29;1.4;0.81;13
1659495527;0.29;1.4;0.81;75
1659495527;0.29;1.4;0.81;62
1659495527;0.29;1.4;0.81;0
1659495527;0.29;1.4;0.81;64
1659495527;0.29;1.4;0.81;0
1659495527;0.29;1.4;0.81;27
1659495527;0.29;1.4;0.81;34
1659495527;0.29;1.4;0.81;69
1659495528;0.29;1.4;0.81;758
1659495528;0.24;1.35;0.81;156
1659495528;0.24;1.35;0.81;0
1659495528;0.24;1.35;0.81;0
1659495528;0.24;1.35;0.81;47
1659495528;0.24;1.35;0.81;28
