D;64;cpu;;;threadripper-3970x-128gb-gentoo-dunfell-2022-07;4-build-all-cores
TIME;AVG10;AVG60;AVG300;DIFF
1659482492;0.01;0.05;0.01;24072
1659482492;0.01;0.05;0.01;91
1659482492;0.01;0.05;0.01;196
1659482492;0.01;0.05;0.01;448
1659482492;0.01;0.05;0.01;2211
1659482492;0.01;0.05;0.01;1570
1659482492;0.01;0.05;0.01;1703
1659482492;0.01;0.05;0.01;1512
1659482492;0.01;0.05;0.01;505
1659482492;0.01;0.05;0.01;90
1659482492;0.01;0.05;0.01;103
1659482492;0.01;0.05;0.01;549
1659482492;0.01;0.05;0.01;125
1659482492;0.01;0.05;0.01;100
1659482492;0.01;0.05;0.01;160
1659482492;0.01;0.05;0.01;438
1659482492;0.01;0.05;0.01;140
1659482492;0.01;0.05;0.01;154
1659482492;0.01;0.05;0.01;883
1659482492;0.01;0.05;0.01;429
1659482492;0.01;0.05;0.01;262
1659482492;0.01;0.05;0.01;213
1659482493;0.01;0.05;0.01;149
1659482493;0.01;0.05;0.01;147
1659482493;0.01;0.05;0.01;111
1659482493;0.01;0.05;0.01;49
1659482493;0.01;0.05;0.01;135
1659482493;0.01;0.05;0.01;264
1659482493;0.01;0.05;0.01;57
1659482493;0.01;0.05;0.01;77
1659482493;0.01;0.05;0.01;37
1659482493;0.01;0.05;0.01;69
1659482493;0.01;0.05;0.01;97
1659482493;0.01;0.05;0.01;143
1659482493;0.01;0.05;0.01;57
1659482493;0.01;0.05;0.01;92
1659482493;0.01;0.05;0.01;96
1659482493;0.01;0.05;0.01;114
1659482493;0.01;0.05;0.01;37
1659482493;0.01;0.05;0.01;57
1659482493;0.01;0.05;0.01;48
1659482493;0.01;0.05;0.01;43
1659482493;0.01;0.05;0.01;25
1659482493;0.01;0.05;0.01;36
1659482493;0.01;0.05;0.01;68
1659482493;0.01;0.05;0.01;26
1659482493;0.01;0.05;0.01;23
1659482493;0.01;0.05;0.01;55
1659482493;0.01;0.05;0.01;37
1659482493;0.01;0.05;0.01;59
1659482493;0.01;0.05;0.01;45
1659482493;0.01;0.05;0.01;36
1659482493;0.01;0.05;0.01;23
1659482493;0.01;0.05;0.01;54
1659482493;0.01;0.05;0.01;26
1659482493;0.01;0.05;0.01;19
1659482493;0.01;0.05;0.01;29
1659482493;0.01;0.05;0.01;21
1659482493;0.01;0.05;0.01;48
1659482493;0.01;0.05;0.01;29
1659482493;0.01;0.05;0.01;39
1659482493;0.01;0.05;0.01;23
1659482493;0.01;0.05;0.01;45
1659482493;0.01;0.05;0.01;37
1659482493;0.01;0.05;0.01;72
1659482493;0.01;0.05;0.01;43
1659482493;0.01;0.05;0.01;60
1659482493;0.01;0.05;0.01;149
1659482493;0.01;0.05;0.01;89
1659482493;0.01;0.05;0.01;188
1659482493;0.01;0.05;0.01;810
1659482493;0.01;0.05;0.01;304
1659482493;0.01;0.05;0.01;2002
1659482493;0.01;0.05;0.01;1845
1659482493;0.01;0.05;0.01;304
1659482493;0.01;0.05;0.01;282
1659482493;0.01;0.05;0.01;44
1659482493;0.01;0.05;0.01;221
1659482493;0.01;0.05;0.01;280
1659482493;0.01;0.05;0.01;178
1659482493;0.01;0.05;0.01;371
1659482493;0.37;0.11;0.02;239
1659482493;0.37;0.11;0.02;489
