D;64;io;;;threadripper-3970x-128gb-gentoo-dunfell-2022-07;4-build-all-cores
TIME;AVG10;AVG60;AVG300;DIFF
1659482492;0.12;1.31;0.8;157
1659482492;0.12;1.31;0.8;0
1659482492;0.12;1.31;0.8;0
1659482492;0.12;1.31;0.8;0
1659482492;0.12;1.31;0.8;3
1659482492;0.12;1.31;0.8;2
1659482492;0.12;1.31;0.8;1
1659482492;0.12;1.31;0.8;0
1659482492;0.12;1.31;0.8;1
1659482492;0.12;1.31;0.8;2
1659482492;0.12;1.31;0.8;0
1659482492;0.12;1.31;0.8;0
1659482492;0.12;1.31;0.8;0
1659482492;0.12;1.31;0.8;0
1659482492;0.12;1.31;0.8;0
1659482492;0.12;1.31;0.8;0
1659482492;0.12;1.31;0.8;0
1659482492;0.12;1.31;0.8;18
1659482492;0.12;1.31;0.8;19
1659482492;0.12;1.31;0.8;4
1659482492;0.12;1.31;0.8;3
1659482492;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;1
1659482493;0.12;1.31;0.8;1
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;5
1659482493;0.12;1.31;0.8;49
1659482493;0.12;1.31;0.8;81
1659482493;0.12;1.31;0.8;96
1659482493;0.12;1.31;0.8;78
1659482493;0.12;1.31;0.8;115
1659482493;0.12;1.31;0.8;91
1659482493;0.12;1.31;0.8;147
1659482493;0.12;1.31;0.8;145
1659482493;0.12;1.31;0.8;104
1659482493;0.12;1.31;0.8;8
1659482493;0.12;1.31;0.8;2
1659482493;0.12;1.31;0.8;1
1659482493;0.12;1.31;0.8;5
1659482493;0.12;1.31;0.8;31
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;1
1659482493;0.12;1.31;0.8;10
1659482493;0.12;1.31;0.8;24
1659482493;0.12;1.31;0.8;57
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;3
1659482493;0.12;1.31;0.8;60
1659482493;0.12;1.31;0.8;83
1659482493;0.12;1.31;0.8;115
1659482493;0.12;1.31;0.8;4
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;9
1659482493;0.12;1.31;0.8;57
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;6
1659482493;0.12;1.31;0.8;8
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;1
1659482493;0.12;1.31;0.8;0
1659482493;0.12;1.31;0.8;4
1659482493;0.12;1.31;0.8;0
1659482493;0.1;1.27;0.79;0
1659482493;0.1;1.27;0.79;0
1659482493;0.1;1.27;0.79;3
1659482493;0.1;1.27;0.79;64
1659482493;0.1;1.27;0.79;30
1659482493;0.1;1.27;0.79;0
1659482493;0.1;1.27;0.79;7
1659482493;0.1;1.27;0.79;9
1659482493;0.1;1.27;0.79;0
1659482493;0.1;1.27;0.79;6
1659482493;0.1;1.27;0.79;0
1659482493;0.1;1.27;0.79;13
1659482493;0.1;1.27;0.79;0
1659482493;0.1;1.27;0.79;755
1659482493;0.1;1.27;0.79;122
1659482493;0.1;1.27;0.79;264
1659482493;0.1;1.27;0.79;42
1659482493;0.1;1.27;0.79;13
1659482493;0.1;1.27;0.79;3
1659482493;0.1;1.27;0.79;11
1659482493;0.1;1.27;0.79;0
1659482493;0.1;1.27;0.79;8
1659482493;0.1;1.27;0.79;55
1659482493;0.1;1.27;0.79;19
1659482493;0.1;1.27;0.79;0
1659482493;0.1;1.27;0.79;0
1659482493;0.1;1.27;0.79;2
1659482493;0.1;1.27;0.79;0
1659482494;0.1;1.27;0.79;70
1659482494;0.1;1.27;0.79;237
1659482494;0.1;1.27;0.79;0
1659482494;0.1;1.27;0.79;21
1659482494;0.1;1.27;0.79;5
1659482494;0.1;1.27;0.79;46
1659482494;0.1;1.27;0.79;16
1659482494;0.1;1.27;0.79;214
1659482494;0.1;1.27;0.79;101
1659482494;0.1;1.27;0.79;46
1659482494;0.1;1.27;0.79;32
1659482494;0.1;1.27;0.79;108
1659482494;0.1;1.27;0.79;137
1659482494;0.1;1.27;0.79;150
1659482494;0.1;1.27;0.79;820
1659482494;0.1;1.27;0.79;289
1659482494;0.1;1.27;0.79;60
1659482494;0.1;1.27;0.79;23
1659482494;0.1;1.27;0.79;35
1659482494;0.1;1.27;0.79;69
1659482494;0.1;1.27;0.79;132
1659482494;0.1;1.27;0.79;0
1659482494;0.1;1.27;0.79;9
1659482494;0.1;1.27;0.79;9
1659482494;0.1;1.27;0.79;178
1659482494;0.1;1.27;0.79;0
1659482494;0.1;1.27;0.79;2
1659482494;0.1;1.27;0.79;0
1659482494;0.1;1.27;0.79;26
1659482494;0.1;1.27;0.79;17
1659482494;0.1;1.27;0.79;4
1659482494;0.1;1.27;0.79;7
1659482494;0.1;1.27;0.79;2
