D;64;mem;;;threadripper-3970x-128gb-gentoo-dunfell-2022-07;4-build-all-cores
TIME;AVG10;AVG60;AVG300;DIFF
1659484591;0.72;0.13;0.02;924
1659484592;0.72;0.13;0.02;89878
1659484592;0.72;0.13;0.02;985
1659484593;3.85;0.71;0.15;219341
1659484593;3.85;0.71;0.15;0
1659484594;3.85;0.71;0.15;0
1659484594;3.85;0.71;0.15;0
1659484595;3.15;0.69;0.14;0
1659484595;3.15;0.69;0.14;0
1659484596;3.15;0.69;0.14;0
1659484596;3.15;0.69;0.14;0
1659484597;2.58;0.66;0.14;64
1659484597;2.58;0.66;0.14;0
1659484598;2.58;0.66;0.14;0
1659484598;2.58;0.66;0.14;0
1659484599;2.11;0.64;0.14;0
1659484599;2.11;0.64;0.14;0
1659484600;2.11;0.64;0.14;0
1659484600;2.11;0.64;0.14;0
1659484601;1.73;0.62;0.14;0
1659484601;1.73;0.62;0.14;0
1659484602;1.73;0.62;0.14;0
1659484602;1.73;0.62;0.14;0
1659484603;1.41;0.6;0.14;0
1659484603;1.41;0.6;0.14;0
1659484604;1.41;0.6;0.14;0
1659484604;1.41;0.6;0.14;0
1659484605;1.16;0.58;0.14;0
1659484605;1.16;0.58;0.14;0
1659484606;1.16;0.58;0.14;0
1659484606;1.16;0.58;0.14;0
1659484607;0.95;0.56;0.14;0
1659484607;0.95;0.56;0.14;0
1659484608;0.95;0.56;0.14;0
1659484608;0.95;0.56;0.14;0
1659484609;0.77;0.54;0.13;0
1659484609;0.77;0.54;0.13;0
1659484610;0.77;0.54;0.13;0
1659484610;0.77;0.54;0.13;0
1659484611;0.63;0.52;0.13;0
1659484611;0.63;0.52;0.13;0
1659484612;0.63;0.52;0.13;0
1659484612;0.63;0.52;0.13;0
1659484613;0.52;0.51;0.13;0
1659484613;0.52;0.51;0.13;0
1659484614;0.52;0.51;0.13;0
1659484614;0.52;0.51;0.13;0
1659484615;0.42;0.49;0.13;0
1659484615;0.42;0.49;0.13;0
1659484616;0.42;0.49;0.13;0
1659484616;0.42;0.49;0.13;0
1659484617;0.34;0.47;0.13;0
1659484617;0.34;0.47;0.13;0
1659484618;0.34;0.47;0.13;0
1659484618;0.34;0.47;0.13;0
1659484619;0.28;0.46;0.13;0
1659484619;0.28;0.46;0.13;0
1659484620;0.28;0.46;0.13;0
1659484620;0.28;0.46;0.13;0
1659484621;0.23;0.44;0.13;0
1659484621;0.23;0.44;0.13;0
1659484622;0.23;0.44;0.13;0
1659484622;0.23;0.44;0.13;0
1659484623;0.19;0.43;0.13;0
1659484623;0.19;0.43;0.13;0
1659484624;0.19;0.43;0.13;0
1659484624;0.19;0.43;0.13;0
1659484625;0.15;0.41;0.13;0
1659484625;0.15;0.41;0.13;0
1659484626;0.15;0.41;0.13;0
1659484626;0.15;0.41;0.13;0
1659484627;0.12;0.4;0.13;0
1659484627;0.12;0.4;0.13;0
1659484628;0.12;0.4;0.13;0
1659484628;0.12;0.4;0.13;0
1659484629;0.1;0.39;0.12;0
1659484629;0.1;0.39;0.12;0
1659484630;0.1;0.39;0.12;0
1659484630;0.1;0.39;0.12;0
1659484631;0.08;0.37;0.12;0
1659484631;0.08;0.37;0.12;0
1659484632;0.08;0.37;0.12;0
1659484632;0.08;0.37;0.12;0
1659484633;0.06;0.36;0.12;0
1659484633;0.06;0.36;0.12;0
1659484634;0.06;0.36;0.12;0
1659484634;0.06;0.36;0.12;0
1659484635;0.05;0.35;0.12;0
1659484635;0.05;0.35;0.12;0
1659484636;0.05;0.35;0.12;0
1659484636;0.05;0.35;0.12;0
1659484637;0.04;0.34;0.12;0
1659484637;0.04;0.34;0.12;0
1659484638;0.04;0.34;0.12;0
1659484638;0.04;0.34;0.12;0
1659484639;0.03;0.32;0.12;0
1659484639;0.03;0.32;0.12;0
1659484640;0.03;0.32;0.12;0
1659484640;0.03;0.32;0.12;0
1659484641;0.03;0.31;0.12;0
1659484641;0.03;0.31;0.12;0
1659484642;0.03;0.31;0.12;0
1659484642;0.03;0.31;0.12;0
1659484643;0.02;0.3;0.12;0
1659484643;0.02;0.3;0.12;0
1659484644;0.02;0.3;0.12;0
1659484644;0.02;0.3;0.12;0
1659484645;0.02;0.29;0.12;0
1659484645;0.02;0.29;0.12;0
1659484646;0.02;0.29;0.12;0
1659484646;0.02;0.29;0.12;0
1659484647;0.01;0.28;0.12;0
1659484647;0.01;0.28;0.12;0
1659484648;0.01;0.28;0.12;0
1659484648;0.01;0.28;0.12;0
1659484649;0.01;0.27;0.12;5639
1659484649;0.01;0.27;0.12;0
1659484650;0.01;0.27;0.12;202313
1659484650;0.01;0.27;0.12;1302
1659484651;3.63;0.92;0.25;407488
1659484651;3.63;0.92;0.25;0
