K;16;cpu;;;threadripper-3970x-128gb-gentoo-kirkstone-2022-07;6-build-16-bb-threads
TIME;AVG10;AVG60;AVG300;DIFF
1659323636;0.03;0.14;2.67;3366
1659323636;0.03;0.14;2.67;1
1659323636;0.03;0.14;2.67;9
1659323636;0.03;0.14;2.67;18
1659323636;0.03;0.14;2.67;381
1659323636;0.03;0.14;2.67;178
1659323636;0.03;0.14;2.67;18
1659323636;0.03;0.14;2.67;5
1659323636;0.03;0.14;2.67;28
1659323636;0.03;0.14;2.67;192
1659323636;0.03;0.14;2.67;67
1659323636;0.03;0.14;2.67;18
1659323636;0.03;0.14;2.67;8
1659323636;0.03;0.14;2.67;61
1659323636;0.03;0.14;2.67;32
1659323636;0.03;0.14;2.67;33
1659323636;0.03;0.14;2.67;8
1659323636;0.03;0.14;2.67;16
1659323636;0.03;0.14;2.67;62
1659323636;0.03;0.14;2.67;106
1659323637;0.03;0.14;2.67;338
1659323637;0.03;0.14;2.67;79
1659323637;0.03;0.14;2.67;15
1659323637;0.03;0.14;2.67;18
1659323637;0.03;0.14;2.67;225
1659323637;0.03;0.14;2.67;24
1659323637;0.03;0.14;2.67;8
1659323637;0.03;0.14;2.67;121
1659323637;0.03;0.14;2.67;170
1659323637;0.03;0.14;2.67;11
1659323637;0.03;0.14;2.67;71
1659323637;0.03;0.14;2.67;3
1659323637;0.03;0.14;2.67;21
1659323637;0.03;0.14;2.67;8
1659323637;0.03;0.14;2.67;95
1659323637;0.03;0.14;2.67;79
1659323637;0.03;0.14;2.67;287
1659323637;0.03;0.14;2.67;67
1659323637;0.03;0.14;2.67;5
1659323637;0.03;0.14;2.67;0
1659323637;0.03;0.14;2.67;9
1659323637;0.03;0.14;2.67;178
1659323637;0.03;0.14;2.67;16
1659323637;0.03;0.14;2.67;68
1659323637;0.03;0.14;2.67;228
1659323637;0.03;0.14;2.67;34
1659323637;0.03;0.14;2.67;113
1659323637;0.03;0.14;2.67;453
1659323637;0.02;0.13;2.65;83
1659323637;0.02;0.13;2.65;27
1659323637;0.02;0.13;2.65;51
1659323637;0.02;0.13;2.65;128
1659323637;0.02;0.13;2.65;12
1659323637;0.02;0.13;2.65;10
1659323637;0.02;0.13;2.65;328
1659323637;0.02;0.13;2.65;125
1659323637;0.02;0.13;2.65;14
1659323637;0.02;0.13;2.65;193
1659323637;0.02;0.13;2.65;28
1659323638;0.02;0.13;2.65;92
1659323638;0.02;0.13;2.65;22
1659323638;0.02;0.13;2.65;87
1659323638;0.02;0.13;2.65;159
1659323638;0.02;0.13;2.65;115
1659323638;0.02;0.13;2.65;9
