K;64;cpu;;;threadripper-3970x-128gb-gentoo-kirkstone-2022-07;4-build-all-cores
TIME;AVG10;AVG60;AVG300;DIFF
1659307529;0.0;0.05;0.13;41975
1659307529;0.0;0.05;0.13;14
1659307529;0.36;0.12;0.14;669
1659307529;0.36;0.12;0.14;4305
1659307529;0.36;0.12;0.14;925
1659307529;0.36;0.12;0.14;209
1659307529;0.36;0.12;0.14;79
1659307529;0.36;0.12;0.14;278
1659307529;0.36;0.12;0.14;590
1659307529;0.36;0.12;0.14;365
1659307529;0.36;0.12;0.14;159
1659307529;0.36;0.12;0.14;1699
1659307529;0.36;0.12;0.14;413
1659307529;0.36;0.12;0.14;724
1659307529;0.36;0.12;0.14;606
1659307529;0.36;0.12;0.14;457
1659307529;0.36;0.12;0.14;226
1659307530;0.36;0.12;0.14;346
1659307530;0.36;0.12;0.14;399
1659307530;0.36;0.12;0.14;155
1659307530;0.36;0.12;0.14;99
1659307530;0.36;0.12;0.14;127
1659307530;0.36;0.12;0.14;225
1659307530;0.36;0.12;0.14;179
1659307530;0.36;0.12;0.14;299
1659307530;0.36;0.12;0.14;101
1659307530;0.36;0.12;0.14;14
1659307530;0.36;0.12;0.14;26
1659307530;0.36;0.12;0.14;70
1659307530;0.36;0.12;0.14;34
1659307530;0.36;0.12;0.14;106
1659307530;0.36;0.12;0.14;71
1659307530;0.36;0.12;0.14;58
1659307530;0.36;0.12;0.14;29
1659307530;0.36;0.12;0.14;18
1659307530;0.36;0.12;0.14;41
1659307530;0.36;0.12;0.14;60
1659307530;0.36;0.12;0.14;36
1659307530;0.36;0.12;0.14;54
1659307530;0.36;0.12;0.14;20
1659307530;0.36;0.12;0.14;30
1659307530;0.36;0.12;0.14;130
1659307530;0.36;0.12;0.14;131
1659307530;0.36;0.12;0.14;104
1659307530;0.36;0.12;0.14;35
1659307530;0.36;0.12;0.14;1562
1659307530;0.36;0.12;0.14;161
1659307530;0.36;0.12;0.14;185
1659307530;0.36;0.12;0.14;187
1659307530;0.36;0.12;0.14;290
1659307530;0.36;0.12;0.14;88
1659307530;0.36;0.12;0.14;30
1659307530;0.36;0.12;0.14;34
1659307530;0.36;0.12;0.14;47
1659307530;0.36;0.12;0.14;73
1659307530;0.36;0.12;0.14;65
1659307530;0.36;0.12;0.14;133
1659307530;0.36;0.12;0.14;94
1659307530;0.36;0.12;0.14;29
1659307530;0.36;0.12;0.14;25
1659307530;0.36;0.12;0.14;38
1659307530;0.36;0.12;0.14;34
1659307530;0.36;0.12;0.14;34
1659307530;0.36;0.12;0.14;104
1659307530;0.36;0.12;0.14;141
1659307530;0.36;0.12;0.14;47
1659307530;0.36;0.12;0.14;70
1659307530;0.36;0.12;0.14;68
1659307530;0.36;0.12;0.14;32
1659307530;0.36;0.12;0.14;52
1659307530;0.36;0.12;0.14;37
1659307530;0.36;0.12;0.14;48
1659307530;0.36;0.12;0.14;66
1659307530;0.36;0.12;0.14;56
1659307530;0.36;0.12;0.14;44
1659307530;0.36;0.12;0.14;82
1659307530;0.36;0.12;0.14;93
1659307530;0.36;0.12;0.14;676
1659307530;0.36;0.12;0.14;328
1659307530;0.36;0.12;0.14;187
1659307530;0.36;0.12;0.14;490
1659307530;0.36;0.12;0.14;1344
1659307530;0.36;0.12;0.14;1020
1659307530;0.36;0.12;0.14;661
1659307530;0.36;0.12;0.14;382
1659307530;0.36;0.12;0.14;557
1659307530;0.36;0.12;0.14;135
1659307530;0.36;0.12;0.14;125
1659307530;0.36;0.12;0.14;139
1659307530;0.36;0.12;0.14;263
1659307530;0.36;0.12;0.14;989
1659307530;0.36;0.12;0.14;486
1659307530;0.36;0.12;0.14;1469
1659307530;0.36;0.12;0.14;192
1659307530;0.36;0.12;0.14;40
1659307530;0.36;0.12;0.14;541
1659307530;0.36;0.12;0.14;354
1659307530;0.36;0.12;0.14;509
1659307530;0.36;0.12;0.14;519
1659307530;0.36;0.12;0.14;292
1659307530;0.36;0.12;0.14;154
1659307530;0.36;0.12;0.14;125
1659307530;0.36;0.12;0.14;263
1659307530;0.36;0.12;0.14;385
1659307530;0.36;0.12;0.14;363
1659307530;0.36;0.12;0.14;191
1659307530;0.36;0.12;0.14;676
1659307530;0.36;0.12;0.14;651
1659307530;0.36;0.12;0.14;552
