K;64;mem;;;threadripper-3970x-128gb-gentoo-kirkstone-2022-07;4-build-all-cores
TIME;AVG10;AVG60;AVG300;DIFF
1659308634;0.54;0.09;0.02;1306
1659308634;0.54;0.09;0.02;139856
1659308634;0.54;0.09;0.02;25433
1659308635;0.54;0.09;0.02;0
1659308635;0.54;0.09;0.02;0
1659308635;0.54;0.09;0.02;0
1659308635;0.54;0.09;0.02;0
1659308635;0.54;0.09;0.02;0
1659308635;0.54;0.09;0.02;0
1659308635;0.54;0.09;0.02;0
1659308636;1.89;0.35;0.07;0
1659308636;1.89;0.35;0.07;0
1659308636;1.89;0.35;0.07;0
1659308637;1.89;0.35;0.07;0
1659308637;1.89;0.35;0.07;0
1659308637;1.89;0.35;0.07;0
1659308637;1.89;0.35;0.07;0
1659308637;1.89;0.35;0.07;0
1659308637;1.89;0.35;0.07;0
1659308637;1.89;0.35;0.07;0
1659308637;1.89;0.35;0.07;0
1659308638;1.55;0.34;0.07;0
1659308638;1.55;0.34;0.07;0
1659308638;1.55;0.34;0.07;0
1659308638;1.55;0.34;0.07;0
1659308639;1.55;0.34;0.07;0
1659308639;1.55;0.34;0.07;0
1659308640;1.55;0.34;0.07;0
1659308640;1.27;0.33;0.07;0
1659308640;1.27;0.33;0.07;0
1659308640;1.27;0.33;0.07;0
1659308640;1.27;0.33;0.07;0
1659308641;1.27;0.33;0.07;0
1659308641;1.27;0.33;0.07;0
1659308641;1.27;0.33;0.07;0
1659308641;1.27;0.33;0.07;0
1659308642;1.27;0.33;0.07;0
1659308642;1.03;0.32;0.07;0
1659308642;1.03;0.32;0.07;0
1659308642;1.03;0.32;0.07;0
1659308643;1.03;0.32;0.07;0
1659308643;1.03;0.32;0.07;0
1659308643;1.03;0.32;0.07;0
1659308643;1.03;0.32;0.07;0
1659308643;1.03;0.32;0.07;0
1659308643;1.03;0.32;0.07;0
1659308643;1.03;0.32;0.07;0
1659308644;0.85;0.31;0.07;0
1659308644;0.85;0.31;0.07;0
1659308644;0.85;0.31;0.07;0
1659308644;0.85;0.31;0.07;0
1659308644;0.85;0.31;0.07;0
1659308645;0.85;0.31;0.07;0
1659308645;0.85;0.31;0.07;0
1659308645;0.85;0.31;0.07;0
1659308645;0.85;0.31;0.07;0
1659308646;0.69;0.3;0.07;0
1659308646;0.69;0.3;0.07;0
1659308647;0.69;0.3;0.07;0
1659308647;0.69;0.3;0.07;0
1659308647;0.69;0.3;0.07;0
1659308647;0.69;0.3;0.07;0
1659308647;0.69;0.3;0.07;0
1659308648;0.57;0.29;0.07;0
1659308648;0.57;0.29;0.07;0
1659308649;0.57;0.29;0.07;0
1659308649;0.57;0.29;0.07;0
1659308649;0.57;0.29;0.07;0
1659308649;0.57;0.29;0.07;0
1659308650;0.57;0.29;0.07;0
1659308650;0.57;0.29;0.07;0
1659308650;0.46;0.28;0.06;0
1659308650;0.46;0.28;0.06;0
1659308650;0.46;0.28;0.06;0
1659308650;0.46;0.28;0.06;0
1659308650;0.46;0.28;0.06;0
1659308651;0.46;0.28;0.06;0
1659308651;0.46;0.28;0.06;0
1659308651;0.46;0.28;0.06;0
1659308651;0.46;0.28;0.06;0
1659308652;0.38;0.27;0.06;0
1659308652;0.38;0.27;0.06;0
1659308653;0.38;0.27;0.06;1
1659308653;0.38;0.27;0.06;0
1659308653;0.38;0.27;0.06;0
1659308653;0.38;0.27;0.06;0
1659308653;0.38;0.27;0.06;0
1659308653;0.38;0.27;0.06;0
1659308654;0.38;0.27;0.06;0
1659308654;0.31;0.26;0.06;0
1659308654;0.31;0.26;0.06;0
1659308654;0.31;0.26;0.06;0
1659308654;0.31;0.26;0.06;0
1659308655;0.31;0.26;0.06;0
1659308655;0.31;0.26;0.06;0
1659308655;0.31;0.26;0.06;0
1659308655;0.31;0.26;0.06;0
1659308656;0.25;0.25;0.06;0
1659308656;0.25;0.25;0.06;0
1659308656;0.25;0.25;0.06;0
1659308656;0.25;0.25;0.06;0
1659308657;0.25;0.25;0.06;0
1659308657;0.25;0.25;0.06;0
1659308657;0.25;0.25;0.06;0
1659308658;0.2;0.24;0.06;0
1659308658;0.2;0.24;0.06;0
1659308658;0.2;0.24;0.06;0
1659308658;0.2;0.24;0.06;0
1659308659;0.2;0.24;0.06;0
1659308659;0.2;0.24;0.06;0
1659308659;0.2;0.24;0.06;0
1659308659;0.2;0.24;0.06;0
1659308660;0.2;0.24;0.06;0
1659308660;0.17;0.23;0.06;0
1659308660;0.17;0.23;0.06;0
1659308661;0.17;0.23;0.06;0
1659308661;0.17;0.23;0.06;0
1659308661;0.17;0.23;0.06;0
1659308661;0.17;0.23;0.06;0
1659308661;0.17;0.23;0.06;0
1659308662;0.17;0.23;0.06;0
1659308662;0.14;0.22;0.06;0
1659308662;0.14;0.22;0.06;0
1659308663;0.14;0.22;0.06;0
1659308663;0.14;0.22;0.06;0
1659308664;0.11;0.22;0.06;0
1659308664;0.11;0.22;0.06;0
1659308664;0.11;0.22;0.06;0
1659308664;0.11;0.22;0.06;0
1659308664;0.11;0.22;0.06;0
1659308664;0.11;0.22;0.06;0
1659308664;0.11;0.22;0.06;0
1659308665;0.11;0.22;0.06;0
1659308665;0.11;0.22;0.06;0
1659308665;0.11;0.22;0.06;0
1659308665;0.11;0.22;0.06;0
1659308666;0.09;0.21;0.06;0
1659308666;0.09;0.21;0.06;0
1659308667;0.09;0.21;0.06;0
1659308667;0.09;0.21;0.06;0
1659308668;0.07;0.2;0.06;0
1659308668;0.07;0.2;0.06;0
1659308668;0.07;0.2;0.06;0
1659308669;0.07;0.2;0.06;0
1659308669;0.07;0.2;0.06;0
1659308669;0.07;0.2;0.06;0
1659308670;0.06;0.19;0.06;0
1659308670;0.06;0.19;0.06;0
1659308670;0.06;0.19;0.06;0
1659308671;0.06;0.19;0.06;0
1659308671;0.06;0.19;0.06;0
1659308672;0.05;0.19;0.06;0
1659308672;0.05;0.19;0.06;0
1659308673;0.05;0.19;0.06;0
1659308673;0.05;0.19;0.06;0
1659308673;0.05;0.19;0.06;0
1659308673;0.05;0.19;0.06;0
1659308674;0.04;0.18;0.06;0
1659308674;0.04;0.18;0.06;0
1659308674;0.04;0.18;0.06;0
1659308675;0.04;0.18;0.06;0
1659308675;0.04;0.18;0.06;0
1659308676;0.03;0.18;0.06;0
1659308676;0.03;0.18;0.06;0
1659308677;0.03;0.18;0.06;0
1659308677;0.03;0.18;0.06;0
1659308678;0.02;0.17;0.06;0
1659308678;0.02;0.17;0.06;0
1659308678;0.02;0.17;0.06;0
1659308678;0.02;0.17;0.06;0
1659308679;0.02;0.17;0.06;0
1659308679;0.02;0.17;0.06;0
1659308679;0.02;0.17;0.06;0
1659308679;0.02;0.17;0.06;0
1659308680;0.02;0.16;0.06;0
1659308680;0.02;0.16;0.06;0
1659308681;0.02;0.16;0.06;0
1659308681;0.02;0.16;0.06;0
1659308681;0.02;0.16;0.06;0
1659308682;0.01;0.16;0.06;0
1659308682;0.01;0.16;0.06;0
1659308682;0.01;0.16;0.06;0
1659308683;0.01;0.16;0.06;0
1659308683;0.01;0.16;0.06;0
1659308683;0.01;0.16;0.06;0
1659308684;0.01;0.15;0.06;0
1659308684;0.01;0.15;0.06;0
1659308684;0.01;0.15;0.06;0
1659308685;0.01;0.15;0.06;0
1659308685;0.01;0.15;0.06;0
1659308686;0.01;0.15;0.06;0
1659308686;0.01;0.15;0.06;0
1659308687;0.01;0.15;0.06;0
1659308687;0.01;0.15;0.06;0
1659308687;0.01;0.15;0.06;0
1659308688;0.01;0.15;0.06;0
1659308688;0.01;0.15;0.06;0
1659308688;0.0;0.14;0.06;0
1659308688;0.0;0.14;0.06;0
1659308689;0.0;0.14;0.06;0
1659308689;0.0;0.14;0.06;0
1659308690;0.0;0.14;0.06;0
1659308690;0.0;0.14;0.06;0
1659308690;0.0;0.14;0.06;0
1659308690;0.0;0.14;0.06;0
1659308690;0.0;0.14;0.06;0
1659308691;0.0;0.14;0.06;1
1659308691;0.0;0.14;0.06;0
1659308691;0.0;0.14;0.06;0
1659308691;0.0;0.14;0.06;0
1659308691;0.0;0.14;0.06;0
1659308692;0.0;0.13;0.05;0
1659308692;0.0;0.13;0.05;0
1659308692;0.0;0.13;0.05;0
1659308692;0.0;0.13;0.05;0
1659308692;0.0;0.13;0.05;0
1659308693;0.0;0.13;0.05;0
1659308693;0.0;0.13;0.05;0
1659308693;0.0;0.13;0.05;0
1659308693;0.0;0.13;0.05;0
1659308693;0.0;0.13;0.05;0
1659308694;0.0;0.13;0.05;0
1659308694;0.0;0.13;0.05;0
1659308694;0.0;0.13;0.05;0
1659308695;0.0;0.13;0.05;0
1659308695;0.0;0.13;0.05;0
1659308696;0.0;0.12;0.05;0
1659308696;0.0;0.12;0.05;0
1659308697;0.0;0.12;0.05;0
1659308697;0.0;0.12;0.05;0
1659308697;0.0;0.12;0.05;0
1659308698;0.0;0.12;0.05;0
1659308698;0.0;0.12;0.05;0
1659308699;0.0;0.12;0.05;0
1659308699;0.0;0.12;0.05;0
1659308699;0.0;0.12;0.05;0
1659308699;0.0;0.12;0.05;0
1659308700;0.0;0.11;0.05;0
1659308700;0.0;0.11;0.05;0
1659308701;0.0;0.11;0.05;0
1659308701;0.0;0.11;0.05;0
1659308701;0.0;0.11;0.05;0
1659308702;0.0;0.11;0.05;0
1659308702;0.0;0.11;0.05;0
1659308702;0.0;0.11;0.05;0
1659308703;0.0;0.11;0.05;0
1659308703;0.0;0.11;0.05;0
1659308703;0.0;0.11;0.05;0
1659308703;0.0;0.11;0.05;0
1659308704;0.0;0.11;0.05;0
1659308704;0.0;0.11;0.05;0
1659308704;0.0;0.11;0.05;0
1659308705;0.0;0.11;0.05;0
1659308705;0.0;0.11;0.05;0
1659308705;0.0;0.11;0.05;0
1659308706;0.0;0.11;0.05;0
1659308706;0.0;0.1;0.05;0
1659308706;0.0;0.1;0.05;0
1659308707;0.0;0.1;0.05;0
1659308707;0.0;0.1;0.05;0
1659308707;0.0;0.1;0.05;0
1659308707;0.0;0.1;0.05;0
1659308708;0.0;0.1;0.05;0
1659308708;0.0;0.1;0.05;0
1659308708;0.0;0.1;0.05;0
1659308708;0.0;0.1;0.05;0
1659308709;0.0;0.1;0.05;0
1659308709;0.0;0.1;0.05;0
1659308709;0.0;0.1;0.05;0
1659308709;0.0;0.1;0.05;0
1659308709;0.0;0.1;0.05;0
1659308709;0.0;0.1;0.05;37
1659308710;0.0;0.1;0.05;0
1659308710;0.0;0.09;0.05;0
1659308710;0.0;0.09;0.05;0
1659308710;0.0;0.09;0.05;0
1659308711;0.0;0.09;0.05;0
1659308711;0.0;0.09;0.05;0
1659308711;0.0;0.09;0.05;0
1659308711;0.0;0.09;0.05;0
1659308711;0.0;0.09;0.05;0
1659308712;0.0;0.09;0.05;0
1659308712;0.0;0.09;0.05;0
1659308712;0.0;0.09;0.05;0
1659308713;0.0;0.09;0.05;0
1659308713;0.0;0.09;0.05;0
1659308713;0.0;0.09;0.05;0
1659308713;0.0;0.09;0.05;0
1659308714;0.0;0.09;0.05;0
1659308714;0.0;0.09;0.05;0
1659308714;0.0;0.09;0.05;0
1659308714;0.0;0.09;0.05;0
1659308714;0.0;0.09;0.05;0
1659308715;0.0;0.09;0.05;0
1659308715;0.0;0.09;0.05;0
1659308715;0.0;0.09;0.05;0
1659308716;0.0;0.09;0.05;0
1659308716;0.0;0.08;0.05;0
1659308716;0.0;0.08;0.05;0
1659308716;0.0;0.08;0.05;0
1659308717;0.0;0.08;0.05;0
1659308717;0.0;0.08;0.05;0
1659308718;0.0;0.08;0.05;0
1659308718;0.0;0.08;0.05;0
1659308719;0.0;0.08;0.05;0
1659308719;0.0;0.08;0.05;0
1659308719;0.0;0.08;0.05;0
1659308720;0.0;0.08;0.05;0
1659308720;0.0;0.08;0.05;0
1659308721;0.0;0.08;0.05;0
1659308721;0.0;0.08;0.05;0
1659308721;0.0;0.08;0.05;0
1659308721;0.0;0.08;0.05;0
1659308722;0.0;0.08;0.05;0
1659308722;0.0;0.08;0.05;0
1659308722;0.0;0.08;0.05;0
1659308723;0.0;0.08;0.05;0
1659308723;0.0;0.08;0.05;0
1659308723;0.0;0.08;0.05;0
1659308723;0.0;0.08;0.05;0
1659308723;0.0;0.08;0.05;0
1659308724;0.0;0.07;0.05;0
1659308724;0.0;0.07;0.05;0
1659308724;0.0;0.07;0.05;0
1659308724;0.0;0.07;0.05;0
1659308725;0.0;0.07;0.05;0
1659308725;0.0;0.07;0.05;0
1659308725;0.0;0.07;0.05;0
1659308725;0.0;0.07;0.05;0
1659308726;0.0;0.07;0.05;0
1659308726;0.0;0.07;0.05;0
1659308726;0.0;0.07;0.05;0
1659308727;0.0;0.07;0.05;0
1659308727;0.0;0.07;0.05;0
1659308727;0.0;0.07;0.05;0
1659308727;0.0;0.07;0.05;0
1659308727;0.0;0.07;0.05;0
1659308728;0.0;0.07;0.05;0
1659308728;0.0;0.07;0.05;0
1659308728;0.0;0.07;0.05;0
1659308728;0.0;0.07;0.05;0
1659308728;0.0;0.07;0.05;0
1659308728;0.0;0.07;0.05;0
1659308728;0.0;0.07;0.05;0
