L-l;64;cpu;;;threadripper-3970x-128gb-gentoo-langdale-2022-07-with-dash-l;4-build-all-cores
TIME;AVG10;AVG60;AVG300;DIFF
1659530009;0.01;0.03;0.0;39226
1659530010;0.37;0.09;0.01;22856
1659530011;0.37;0.09;0.01;57339
1659530012;1.02;0.22;0.04;56699
1659530013;1.02;0.22;0.04;39396
1659530014;1.56;0.35;0.07;43268
1659530015;1.56;0.35;0.07;39761
1659530016;2.0;0.47;0.1;52242
1659530017;2.0;0.47;0.1;76893
1659530018;2.91;0.68;0.14;93606
1659530019;2.91;0.68;0.14;83672
1659530020;3.83;0.92;0.2;262514
1659530021;3.83;0.92;0.2;722321
1659530022;13.46;2.75;0.59;492544
1659530023;13.46;2.75;0.59;302902
1659530024;16.28;3.61;0.78;106826
1659530025;16.28;3.61;0.78;119465
1659530026;15.14;3.82;0.84;79743
1659530027;15.14;3.82;0.84;67697
1659530028;13.66;3.93;0.89;78853
1659530029;13.66;3.93;0.89;59119
1659530030;12.82;4.09;0.94;121412
1659530031;12.82;4.09;0.94;51442
1659530032;11.04;4.06;0.96;2590
1659530033;11.04;4.06;0.96;1572
1659530034;9.04;3.92;0.95;2458
1659530035;9.04;3.92;0.95;1764
1659530036;7.4;3.79;0.94;1936
1659530037;7.4;3.79;0.94;1286
1659530038;6.06;3.67;0.94;1529
1659530039;6.06;3.67;0.94;39086
1659530040;5.14;3.58;0.94;1760
1659530041;5.14;3.58;0.94;1941
1659530042;4.21;3.46;0.93;1514
1659530043;4.21;3.46;0.93;1371
1659530044;3.44;3.35;0.92;981
1659530045;3.44;3.35;0.92;998
1659530046;2.82;3.24;0.92;5777
1659530047;2.82;3.24;0.92;1319
1659530048;2.31;3.13;0.91;1244
1659530049;2.31;3.13;0.91;1443
1659530050;1.89;3.03;0.9;2123
1659530051;1.89;3.03;0.9;2117
1659530052;1.55;2.93;0.9;1980
1659530053;1.55;2.93;0.9;1842
1659530054;1.26;2.83;0.89;1803
1659530055;1.26;2.83;0.89;1573
1659530056;1.03;2.74;0.88;1676
1659530057;1.03;2.74;0.88;2750
1659530058;0.85;2.65;0.88;1804
1659530059;0.85;2.65;0.88;1374
1659530060;0.69;2.56;0.87;1439
1659530061;0.69;2.56;0.87;1327
1659530062;0.56;2.48;0.87;1383
1659530063;0.56;2.48;0.87;1046
1659530064;0.46;2.4;0.86;2440
1659530065;0.46;2.4;0.86;1793
1659530066;0.38;2.32;0.85;995
1659530067;0.38;2.32;0.85;680
1659530068;0.31;2.24;0.85;694
1659530069;0.31;2.24;0.85;672
1659530070;0.25;2.17;0.84;1171
1659530071;0.25;2.17;0.84;680
1659530072;0.2;2.1;0.83;1347
1659530073;0.2;2.1;0.83;706
1659530074;0.17;2.03;0.83;1536
1659530075;0.17;2.03;0.83;860
1659530076;0.13;1.96;0.82;1725
1659530077;0.13;1.96;0.82;1120
1659530078;0.11;1.9;0.82;2062
1659530079;0.11;1.9;0.82;3605
1659530080;0.09;1.84;0.81;2828
1659530081;0.09;1.84;0.81;3941
1659530082;0.07;1.77;0.81;4907
1659530083;0.07;1.77;0.81;3979
1659530084;0.06;1.72;0.8;5891
1659530085;0.06;1.72;0.8;7011
1659530086;0.05;1.66;0.79;4400
1659530087;0.05;1.66;0.79;6643
1659530088;0.04;1.6;0.79;35739
1659530089;0.04;1.6;0.79;3005
1659530090;0.39;1.62;0.8;119950
1659530091;0.39;1.62;0.8;84538
1659530092;1.95;1.86;0.85;3128
1659530093;1.95;1.86;0.85;53221
1659530094;2.32;1.93;0.87;85035
1659530095;2.32;1.93;0.87;79434
1659530096;3.17;2.1;0.92;254291
1659530097;3.17;2.1;0.92;504379
1659530098;12.56;3.83;1.29;485608
1659530099;12.56;3.83;1.29;306748
1659530100;14.09;4.39;1.42;122687
1659530101;14.09;4.39;1.42;9813
1659530102;11.89;4.31;1.43;5755
1659530103;11.89;4.31;1.43;4694
1659530104;9.92;4.2;1.42;59897
1659530105;9.92;4.2;1.42;146871
1659530106;9.75;4.36;1.47;28595
1659530107;9.75;4.36;1.47;190339
1659530108;12.15;4.97;1.62;328469
1659530109;12.15;4.97;1.62;296942
1659530110;13.03;5.36;1.73;8747
1659530111;13.03;5.36;1.73;5984
1659530112;10.85;5.22;1.72;37811
1659530113;10.85;5.22;1.72;216768
1659530114;10.88;5.41;1.79;9376
1659530115;10.88;5.41;1.79;26356
1659530116;9.09;5.26;1.78;9625
1659530117;9.09;5.26;1.78;65357
1659530118;7.98;5.19;1.79;6575
1659530119;7.98;5.19;1.79;7681
1659530120;7.62;5.22;1.82;119378
1659530121;7.62;5.22;1.82;387340
1659530122;14.03;6.45;2.1;491139
1659530123;14.03;6.45;2.1;499357
1659530124;16.2;7.09;2.26;30143
1659530125;16.2;7.09;2.26;334477
1659530126;22.86;8.59;2.61;736384
1659530127;22.86;8.59;2.61;861378
1659530128;33.21;10.93;3.14;752700
1659530129;33.21;10.93;3.14;757546
1659530130;40.42;12.96;3.62;724726
1659530131;40.42;12.96;3.62;742838
1659530132;45.78;14.83;4.07;661400
1659530133;45.78;14.83;4.07;177368
1659530134;41.11;15.0;4.18;232106
1659530135;41.11;15.0;4.18;376215
1659530136;39.64;15.58;4.38;293886
1659530137;39.64;15.58;4.38;89918
1659530138;34.81;15.5;4.44;179971
1659530139;34.81;15.5;4.44;151630
1659530140;31.4;15.52;4.51;169476
1659530141;31.4;15.52;4.51;195291
1659530142;28.79;15.57;4.6;148780
1659530143;28.79;15.57;4.6;351621
1659530144;28.1;15.87;4.74;150254
1659530145;28.1;15.87;4.74;120432
1659530146;26.27;15.94;4.83;246502
1659530147;26.27;15.94;4.83;315525
1659530148;25.5;16.14;4.95;148358
1659530149;25.5;16.14;4.95;105134
1659530150;23.41;16.07;5.01;183037
1659530151;23.41;16.07;5.01;5427
1659530152;19.17;15.55;4.98;3959
1659530153;19.17;15.55;4.98;3141
1659530154;15.7;15.04;4.94;6274
1659530155;15.7;15.04;4.94;4911
1659530156;12.85;14.54;4.91;3197
1659530157;12.85;14.54;4.91;8087
1659530158;10.7;14.1;4.88;12550
1659530159;10.7;14.1;4.88;6127
1659530160;8.76;13.64;4.85;4155
1659530161;8.76;13.64;4.85;4496
1659530162;7.17;13.19;4.81;5371
1659530163;7.17;13.19;4.81;8747
1659530164;5.87;12.76;4.78;4301
1659530165;5.87;12.76;4.78;3766
1659530166;4.81;12.34;4.75;3006
1659530167;4.81;12.34;4.75;2794
1659530168;3.94;11.94;4.71;33624
1659530170;3.4;11.58;4.69;8209
1659530171;2.79;11.2;4.66;5952
1659530172;2.79;11.2;4.66;178274
1659530173;3.91;11.13;4.69;14041
1659530174;3.91;11.13;4.69;6285
1659530175;3.74;10.86;4.67;100852
1659530176;3.74;10.86;4.67;294481
1659530177;7.59;11.32;4.81;207248
1659530178;7.59;11.32;4.81;238151
1659530179;9.66;11.58;4.91;137417
1659530180;9.66;11.58;4.91;28191
1659530181;9.72;11.52;4.95;183574
1659530182;9.72;11.52;4.95;303899
1659530183;11.22;11.74;5.04;68778
1659530184;11.22;11.74;5.04;391466
1659530185;14.08;12.23;5.19;164071
1659530186;14.08;12.23;5.19;4268
1659530187;11.89;11.9;5.16;49350
1659530188;11.89;11.9;5.16;2727
1659530189;9.73;11.51;5.13;2292
1659530190;9.73;11.51;5.13;10610
1659530191;7.97;11.13;5.09;3471
1659530192;7.97;11.13;5.09;133337
1659530193;7.97;11.03;5.11;30880
1659530194;7.97;11.03;5.11;2828
1659530195;6.53;10.67;5.08;2025
1659530196;6.53;10.67;5.08;2456
1659530197;6.79;10.58;5.1;158821
1659530198;6.79;10.58;5.1;282940
1659530199;8.46;10.76;5.17;46122
1659530200;8.46;10.76;5.17;2431
1659530201;6.93;10.41;5.14;2482
1659530202;6.93;10.41;5.14;1904
1659530203;5.67;10.06;5.1;1511
1659530204;5.67;10.06;5.1;7986
1659530205;4.64;9.73;5.07;1781
1659530206;4.64;9.73;5.07;2853
1659530207;3.8;9.42;5.03;1945
1659530208;3.8;9.42;5.03;6049
1659530209;3.11;9.11;5.0;2225
1659530210;3.11;9.11;5.0;1918
1659530211;2.55;8.81;4.96;1736
1659530212;2.55;8.81;4.96;1912
1659530213;2.08;8.52;4.93;1662
1659530214;2.08;8.52;4.93;3826
1659530215;1.71;8.24;4.89;1859
1659530216;1.71;8.24;4.89;11674
1659530217;1.4;7.97;4.86;1333
1659530218;1.4;7.97;4.86;1703
1659530219;1.14;7.71;4.83;1991
1659530220;1.14;7.71;4.83;3447
1659530221;0.93;7.46;4.79;4913
1659530222;0.93;7.46;4.79;4403
1659530223;0.76;7.21;4.76;4174
1659530224;0.76;7.21;4.76;4278
1659530225;0.62;6.98;4.73;2284
1659530226;0.62;6.98;4.73;2052
1659530227;0.51;6.75;4.69;2297
1659530228;0.51;6.75;4.69;1483
1659530229;0.42;6.53;4.66;2730
1659530230;0.42;6.53;4.66;1962
1659530231;0.34;6.31;4.63;1668
1659530232;0.34;6.31;4.63;2212
1659530233;0.28;6.11;4.6;3131
1659530234;0.28;6.11;4.6;3384
1659530235;0.23;5.91;4.57;1725
1659530236;0.23;5.91;4.57;1741
1659530237;0.73;5.81;4.56;61174
1659530238;0.73;5.81;4.56;129196
1659530239;2.95;6.05;4.61;134842
1659530240;2.95;6.05;4.61;150121
1659530241;4.95;6.31;4.68;148776
1659530242;4.95;6.31;4.68;136850
1659530243;6.41;6.53;4.74;136642
1659530244;6.41;6.53;4.74;147352
1659530245;7.78;6.77;4.8;136190
1659530246;7.78;6.77;4.8;139138
1659530247;10.72;7.33;4.93;343397
1659530248;10.72;7.33;4.93;731093
1659530249;21.1;9.32;5.36;645801
1659530250;21.1;9.32;5.36;342085
1659530251;22.89;10.03;5.54;284571
1659530252;22.89;10.03;5.54;292636
1659530253;24.18;10.68;5.7;317077
1659530254;24.18;10.68;5.7;294421
1659530255;25.23;11.31;5.87;327558
1659530256;25.23;11.31;5.87;440272
1659530257;28.45;12.35;6.12;409106
1659530258;28.45;12.35;6.12;287841
1659530259;27.64;12.73;6.25;263146
1659530260;27.64;12.73;6.25;527977
1659530261;29.16;13.49;6.45;119294
1659530262;29.16;13.49;6.45;80069
1659530263;26.95;13.61;6.52;319340
1659530264;26.95;13.61;6.52;164794
1659530265;24.6;13.62;6.57;90494
1659530266;24.6;13.62;6.57;102449
1659530267;21.78;13.47;6.59;81226
1659530268;21.78;13.47;6.59;72562
1659530269;19.1;13.26;6.59;73922
1659530270;19.1;13.26;6.59;63813
1659530271;16.36;12.95;6.58;18984
1659530272;16.36;12.95;6.58;70016
1659530273;14.3;12.69;6.56;42055
1659530274;14.3;12.69;6.56;16666
1659530275;11.71;12.28;6.52;1596
1659530276;11.71;12.28;6.52;1886
1659530277;9.59;11.88;6.47;1511
1659530278;9.59;11.88;6.47;1942
1659530279;7.85;11.49;6.43;1667
1659530280;7.85;11.49;6.43;1680
1659530281;6.43;11.11;6.39;1749
1659530282;6.43;11.11;6.39;1700
1659530283;5.26;10.75;6.34;1794
1659530284;5.26;10.75;6.34;2584
1659530285;4.31;10.39;6.3;1585
1659530286;4.31;10.39;6.3;1318
1659530287;3.53;10.05;6.25;1760
1659530288;3.53;10.05;6.25;1435
1659530289;2.89;9.73;6.21;1656
1659530290;2.89;9.73;6.21;2270
1659530291;2.36;9.41;6.17;2075
1659530292;2.36;9.41;6.17;1694
1659530293;1.93;9.1;6.13;1637
1659530294;1.93;9.1;6.13;2417
