L-l;8;cpu;;;threadripper-3970x-128gb-gentoo-langdale-2022-07-with-dash-l;5-build-8-bb-threads
TIME;AVG10;AVG60;AVG300;DIFF
1659538579;0.02;0.06;1.04;2549
1659538580;0.01;0.06;1.04;2375
1659538581;0.01;0.06;1.04;1883
1659538582;0.01;0.06;1.03;1599
1659538583;0.01;0.06;1.03;1588
1659538584;0.01;0.05;1.02;2146
1659538585;0.01;0.05;1.02;3008
1659538586;0.0;0.05;1.02;2694
1659538587;0.0;0.05;1.02;3959
1659538588;0.0;0.05;1.01;3838
1659538589;0.0;0.05;1.01;5338
1659538590;0.0;0.05;1.0;7181
1659538591;0.0;0.05;1.0;3492
1659538592;0.0;0.05;0.99;5262
1659538593;0.0;0.05;0.99;3191
1659538594;0.0;0.04;0.99;3419
1659538595;0.0;0.04;0.99;13311
1659538596;0.36;0.11;0.99;44281
1659538597;0.36;0.11;0.99;2383
1659538598;0.29;0.1;0.99;2220
1659538599;0.29;0.1;0.99;1564
1659538600;0.24;0.1;0.98;2361
1659538601;0.24;0.1;0.98;3885
1659538602;0.2;0.1;0.97;2377
1659538603;0.2;0.1;0.97;2365
1659538604;0.16;0.09;0.97;2220
1659538605;0.16;0.09;0.97;1776
1659538606;0.13;0.09;0.96;2842
1659538607;0.13;0.09;0.96;2846
1659538608;0.1;0.09;0.95;1699
1659538609;0.1;0.09;0.95;2413
1659538610;0.08;0.08;0.95;1882
1659538611;0.08;0.08;0.95;3130
1659538612;0.07;0.08;0.94;9608
1659538613;0.07;0.08;0.94;3389
1659538614;0.05;0.08;0.93;3144
1659538615;0.05;0.08;0.93;2411
1659538616;0.04;0.07;0.93;2011
1659538617;0.04;0.07;0.93;2322
1659538618;0.03;0.07;0.92;2495
1659538619;0.03;0.07;0.92;1879
1659538620;0.03;0.07;0.91;2019
1659538621;0.03;0.07;0.91;2242
1659538622;0.02;0.07;0.91;2709
1659538623;0.02;0.07;0.91;3176
1659538624;0.02;0.06;0.9;4042
1659538625;0.02;0.06;0.9;3424
1659538626;0.01;0.06;0.89;4775
1659538627;0.01;0.06;0.89;4898
1659538628;0.01;0.06;0.89;2144
1659538629;0.01;0.06;0.89;1912
1659538630;0.01;0.06;0.88;6111
1659538631;0.01;0.06;0.88;2969
1659538632;0.0;0.05;0.87;1599
1659538633;0.0;0.05;0.87;3059
1659538634;0.0;0.05;0.87;2815
1659538635;0.0;0.05;0.87;2617
1659538636;0.0;0.05;0.86;2449
1659538637;0.0;0.05;0.86;4909
1659538638;0.0;0.05;0.86;3795
1659538639;0.0;0.05;0.86;3212
1659538640;0.0;0.05;0.85;3354
1659538641;0.0;0.05;0.85;2231
1659538642;0.0;0.04;0.84;2131
1659538643;0.0;0.04;0.84;9464
1659538644;0.0;0.04;0.84;4920
1659538645;0.0;0.04;0.84;4192
1659538646;0.0;0.04;0.83;1765
1659538647;0.0;0.04;0.83;3602
1659538648;0.0;0.04;0.83;3130
1659538649;0.0;0.04;0.83;3113
1659538650;0.0;0.04;0.82;3961
1659538651;0.0;0.04;0.82;2963
1659538652;0.0;0.04;0.81;3398
1659538653;0.0;0.04;0.81;24166
1659538654;0.18;0.07;0.82;2997
1659538655;0.18;0.07;0.82;3486
1659538656;0.14;0.06;0.81;2308
1659538657;0.14;0.06;0.81;1993
1659538658;0.12;0.06;0.8;1830
1659538659;0.12;0.06;0.8;1888
1659538660;0.82;0.19;0.83;87171
1659538661;0.82;0.19;0.83;58353
1659538662;1.39;0.32;0.85;40309
1659538663;1.39;0.32;0.85;2327
1659538664;1.14;0.31;0.84;4137
1659538665;1.14;0.31;0.84;3218
1659538666;0.93;0.29;0.84;10404
1659538667;0.93;0.29;0.84;25454
1659538668;0.94;0.32;0.84;2032
1659538669;0.94;0.32;0.84;1810
1659538670;0.77;0.31;0.83;1834
1659538671;0.77;0.31;0.83;2301
1659538672;0.81;0.33;0.83;30726
1659538673;0.81;0.33;0.83;2456
1659538674;0.66;0.32;0.83;1795
1659538675;0.66;0.32;0.83;1799
1659538676;0.54;0.31;0.82;1931
1659538677;0.54;0.31;0.82;24754
1659538678;0.62;0.33;0.82;2414
1659538679;0.62;0.33;0.82;2495
1659538680;0.51;0.32;0.82;2403
1659538681;0.51;0.32;0.82;18079
1659538682;0.78;0.37;0.83;23725
1659538683;0.78;0.37;0.83;4487
1659538684;0.64;0.36;0.82;2407
1659538685;0.64;0.36;0.82;1996
1659538686;0.52;0.35;0.81;1361
1659538687;0.52;0.35;0.81;1540
1659538688;0.43;0.34;0.81;1219
1659538689;0.43;0.34;0.81;1847
1659538690;0.35;0.33;0.8;1885
1659538691;0.35;0.33;0.8;2511
1659538692;0.28;0.32;0.8;1844
1659538693;0.28;0.32;0.8;2035
1659538694;0.23;0.31;0.79;3405
1659538695;0.23;0.31;0.79;1771
1659538696;0.37;0.33;0.79;29102
1659538697;0.37;0.33;0.79;2577
1659538698;0.3;0.32;0.79;2104
1659538699;0.3;0.32;0.79;37637
1659538700;0.61;0.37;0.79;3108
1659538701;0.61;0.37;0.79;2307
1659538702;0.5;0.36;0.79;2482
1659538703;0.5;0.36;0.79;2988
