L-l;8;io;;;threadripper-3970x-128gb-gentoo-langdale-2022-07-with-dash-l;5-build-8-bb-threads
TIME;AVG10;AVG60;AVG300;DIFF
1659538579;0.18;0.81;0.32;410
1659538580;0.15;0.79;0.32;28
1659538581;0.15;0.79;0.32;167
1659538582;0.12;0.76;0.32;0
1659538583;0.12;0.76;0.32;0
1659538584;0.1;0.73;0.32;1125
1659538585;0.1;0.73;0.32;349
1659538586;0.08;0.71;0.31;1572
1659538587;0.08;0.71;0.31;1601
1659538588;0.06;0.69;0.31;6428
1659538589;0.06;0.69;0.31;1705
1659538590;0.05;0.66;0.31;2446
1659538591;0.05;0.66;0.31;6332
1659538592;0.04;0.64;0.31;1969
1659538593;0.04;0.64;0.31;131
1659538594;0.03;0.62;0.3;964
1659538595;0.03;0.62;0.3;308
1659538596;0.02;0.6;0.3;93
1659538597;0.02;0.6;0.3;172
1659538598;0.02;0.58;0.3;61
1659538599;0.02;0.58;0.3;176
1659538600;0.01;0.56;0.3;58
1659538601;0.01;0.56;0.3;42
1659538602;0.01;0.54;0.29;1159
1659538603;0.01;0.54;0.29;97
1659538604;0.01;0.52;0.29;723
1659538605;0.01;0.52;0.29;218
1659538606;0.01;0.51;0.29;156
1659538607;0.01;0.51;0.29;364
1659538608;0.0;0.49;0.29;98
1659538609;0.0;0.49;0.29;523
1659538610;0.0;0.47;0.28;571
1659538611;0.0;0.47;0.28;18
1659538612;0.0;0.46;0.28;204
1659538613;0.0;0.46;0.28;944
1659538614;0.0;0.44;0.28;209
1659538615;0.0;0.44;0.28;595
1659538616;0.0;0.43;0.28;82
1659538617;0.0;0.43;0.28;3598
1659538618;0.0;0.41;0.27;83
1659538619;0.0;0.41;0.27;73
1659538620;0.0;0.4;0.27;128
1659538621;0.0;0.4;0.27;772
1659538622;0.0;0.39;0.27;3747
1659538623;0.0;0.39;0.27;2090
1659538624;0.0;0.37;0.27;3997
1659538625;0.0;0.37;0.27;830
1659538626;0.0;0.36;0.27;2250
1659538627;0.0;0.36;0.27;33
1659538628;0.0;0.35;0.27;52
1659538629;0.0;0.35;0.27;137
1659538630;0.0;0.34;0.26;2514
1659538631;0.0;0.34;0.26;3973
1659538632;0.0;0.32;0.26;350
1659538633;0.0;0.32;0.26;4640
1659538634;0.0;0.31;0.26;12721
1659538635;0.0;0.31;0.26;11971
1659538636;0.18;0.34;0.26;23029
1659538637;0.18;0.34;0.26;221
1659538638;0.14;0.32;0.26;1447
1659538639;0.14;0.32;0.26;1534
1659538640;0.12;0.31;0.26;728
1659538641;0.12;0.31;0.26;401
1659538642;0.09;0.3;0.26;474
1659538643;0.09;0.3;0.26;683
1659538644;0.08;0.29;0.26;882
1659538645;0.08;0.29;0.26;604
1659538646;0.06;0.28;0.25;159
1659538647;0.06;0.28;0.25;262
1659538648;0.05;0.27;0.25;238
1659538649;0.05;0.27;0.25;7588
1659538650;0.04;0.26;0.25;166
1659538651;0.04;0.26;0.25;543
1659538652;0.03;0.25;0.25;83
1659538653;0.03;0.25;0.25;7
1659538654;0.02;0.25;0.25;716
1659538655;0.02;0.25;0.25;54
1659538656;0.02;0.24;0.25;0
1659538657;0.02;0.24;0.25;0
1659538658;0.01;0.23;0.24;0
1659538659;0.01;0.23;0.24;1347
1659538660;0.01;0.22;0.24;8
1659538661;0.01;0.22;0.24;150
1659538662;0.01;0.21;0.24;8
1659538663;0.01;0.21;0.24;2
1659538664;0.0;0.21;0.24;1667
1659538665;0.0;0.21;0.24;1317
1659538666;0.0;0.2;0.24;46
1659538667;0.0;0.2;0.24;2
1659538668;0.0;0.19;0.23;0
1659538669;0.0;0.19;0.23;0
1659538670;0.0;0.18;0.23;82
1659538671;0.0;0.18;0.23;46
1659538672;0.0;0.18;0.23;3
1659538673;0.0;0.18;0.23;550
1659538674;0.0;0.17;0.23;1222
1659538675;0.0;0.17;0.23;2065
1659538676;0.0;0.17;0.23;1
1659538677;0.0;0.17;0.23;41
1659538678;0.0;0.16;0.22;0
1659538679;0.0;0.16;0.22;618
1659538680;0.0;0.15;0.22;373
1659538681;0.0;0.15;0.22;20
1659538682;0.0;0.15;0.22;3
1659538683;0.0;0.15;0.22;2
1659538684;0.0;0.14;0.22;638
1659538685;0.0;0.14;0.22;152
1659538686;0.0;0.14;0.22;0
1659538687;0.0;0.14;0.22;0
1659538688;0.0;0.13;0.21;0
1659538689;0.0;0.13;0.21;0
1659538690;0.0;0.13;0.21;84
1659538691;0.0;0.13;0.21;774
1659538692;0.0;0.12;0.21;0
1659538693;0.0;0.12;0.21;1
1659538694;0.0;0.12;0.21;362
1659538695;0.0;0.12;0.21;429
1659538696;0.0;0.12;0.21;712
1659538697;0.0;0.12;0.21;51
1659538698;0.0;0.11;0.2;1
1659538699;0.0;0.11;0.2;1
1659538700;0.0;0.11;0.2;338
1659538701;0.0;0.11;0.2;2245
1659538702;0.0;0.1;0.2;1
1659538703;0.0;0.1;0.2;0
1659538704;0.0;0.1;0.2;276
1659538705;0.0;0.1;0.2;130
1659538706;0.0;0.1;0.2;1215
1659538707;0.0;0.1;0.2;0
1659538708;0.0;0.09;0.2;1
1659538709;0.0;0.09;0.2;0
1659538710;0.0;0.09;0.2;54
1659538711;0.0;0.09;0.2;40
1659538712;0.0;0.09;0.19;992
1659538713;0.0;0.09;0.19;0
1659538714;0.0;0.08;0.19;1202
1659538715;0.0;0.08;0.19;604
1659538716;0.0;0.08;0.19;3
1659538717;0.0;0.08;0.19;904
1659538718;0.0;0.08;0.19;1
1659538719;0.0;0.08;0.19;72
1659538720;0.0;0.07;0.19;39
1659538721;0.0;0.07;0.19;15
1659538722;0.0;0.07;0.19;1161
1659538723;0.0;0.07;0.19;1
1659538724;0.0;0.07;0.19;1189
1659538725;0.0;0.07;0.19;62
1659538726;0.0;0.07;0.18;1676
1659538727;0.0;0.07;0.18;0
1659538728;0.0;0.06;0.18;16
1659538729;0.0;0.06;0.18;4
1659538730;0.0;0.06;0.18;49
1659538731;0.0;0.06;0.18;8243
1659538732;0.0;0.06;0.18;0
1659538733;0.0;0.06;0.18;9
1659538734;0.0;0.06;0.18;504
1659538735;0.0;0.06;0.18;4738
1659538736;0.0;0.05;0.18;22
1659538737;0.0;0.05;0.18;3388
1659538738;0.0;0.05;0.18;120
1659538739;0.0;0.05;0.18;0
