L-reg-l-noswap;16;cpu;;;threadripper-3970x-128gb-gentoo-langdale-2022-07-with-reg-cpu-pressure-no-swap;6-build-16-bb-threads
TIME;AVG10;AVG60;AVG300;DIFF
1659590311;0.02;0.12;0.15;2499
1659590312;0.02;0.12;0.15;6697
1659590313;0.02;0.12;0.14;7048
1659590314;0.02;0.12;0.14;18158
1659590315;0.19;0.15;0.15;9307
1659590316;0.19;0.15;0.15;3352
1659590317;0.16;0.14;0.15;5660
1659590318;0.16;0.14;0.15;9747
1659590319;0.13;0.14;0.15;6788
1659590320;0.13;0.14;0.15;16517
1659590321;7.89;1.54;0.44;880683
1659590322;7.89;1.54;0.44;27625
1659590323;6.82;1.56;0.45;10072
1659590324;6.82;1.56;0.45;17623
1659590325;5.77;1.54;0.45;15745
1659590326;5.77;1.54;0.45;8752
1659590327;4.72;1.49;0.45;6481
1659590328;4.72;1.49;0.45;4642
1659590329;3.87;1.44;0.45;5642
1659590330;3.87;1.44;0.45;6588
1659590331;3.16;1.39;0.44;6685
1659590332;3.16;1.39;0.44;12878
1659590333;2.59;1.34;0.44;4005
1659590334;2.59;1.34;0.44;55398
1659590335;2.66;1.4;0.46;360360
1659590336;2.66;1.4;0.46;7303
1659590337;5.44;1.94;0.58;4225
1659590338;5.44;1.94;0.58;4009
1659590339;4.45;1.88;0.57;2761
1659590340;4.45;1.88;0.57;7025
1659590341;3.65;1.82;0.57;4546
1659590342;3.65;1.82;0.57;4339
1659590343;9.51;2.93;0.81;720018
1659590344;9.51;2.93;0.81;6628
1659590345;7.78;2.84;0.81;6752
1659590346;7.78;2.84;0.81;2862
1659590347;6.37;2.75;0.8;3315
1659590348;6.37;2.75;0.8;4230
1659590349;5.22;2.65;0.79;5819
1659590350;5.22;2.65;0.79;2228
1659590351;4.27;2.57;0.79;5327
1659590352;4.27;2.57;0.79;7264
1659590353;3.5;2.48;0.78;10893
1659590354;3.5;2.48;0.78;10610
1659590355;3.04;2.43;0.78;6349
1659590356;3.04;2.43;0.78;7119
1659590357;2.49;2.35;0.78;8597
1659590358;2.49;2.35;0.78;8396
1659590359;2.04;2.28;0.77;4826
1659590360;2.04;2.28;0.77;1079174
1659590361;10.91;3.87;1.12;7691
1659590362;10.91;3.87;1.12;19270
1659590363;9.11;3.78;1.12;10807
