L-reg-l-noswap;64;cpu;;;threadripper-3970x-128gb-gentoo-langdale-2022-07-with-reg-cpu-pressure-no-swap;4-build-all-cores
TIME;AVG10;AVG60;AVG300;DIFF
1659572598;0.03;0.1;0.03;9802
1659572599;0.03;0.1;0.03;3694
1659572600;0.21;0.13;0.03;21166
1659572601;0.21;0.13;0.03;12177
1659572602;0.53;0.19;0.05;30163
1659572603;0.53;0.19;0.05;49061
1659572604;1.16;0.32;0.07;51307
1659572605;1.16;0.32;0.07;63282
1659572606;1.67;0.44;0.1;27458
1659572607;1.67;0.44;0.1;14251
1659572608;1.55;0.46;0.11;17156
1659572609;1.55;0.46;0.11;8228
1659572610;6.88;1.46;0.32;621492
1659572611;6.88;1.46;0.32;7107
1659572612;5.64;1.41;0.32;13977
1659572613;5.64;1.41;0.32;20685
1659572614;5.34;1.49;0.34;74521
1659572615;5.34;1.49;0.34;13806
1659572616;4.55;1.48;0.35;9335
1659572617;4.55;1.48;0.35;186516
1659572618;6.26;1.89;0.44;110619
1659572619;6.26;1.89;0.44;41991
1659572620;5.49;1.89;0.45;8422
1659572621;5.49;1.89;0.45;52346
1659572622;4.86;1.89;0.46;2251
1659572623;4.86;1.89;0.46;254790
1659572624;6.33;2.26;0.55;22171
1659572625;6.33;2.26;0.55;4003
1659572626;5.36;2.22;0.55;38481
1659572627;5.36;2.22;0.55;309139
1659572628;7.29;2.67;0.66;5734
1659572629;7.29;2.67;0.66;315411
1659572630;11.04;3.5;0.84;259241
1659572631;11.04;3.5;0.84;23811
1659572632;9.58;3.48;0.86;40133
1659572633;9.58;3.48;0.86;9289
1659572634;8.57;3.5;0.88;85380
1659572635;8.57;3.5;0.88;24821
1659572636;7.38;3.45;0.89;18348
1659572637;7.38;3.45;0.89;41626
1659572638;7.13;3.53;0.92;92474
1659572639;7.13;3.53;0.92;17089
1659572640;6.2;3.48;0.93;31240
1659572641;6.2;3.48;0.93;43580
1659572642;7.79;3.86;1.03;263742
1659572643;7.79;3.86;1.03;24090
1659572644;7.1;3.86;1.05;60807
1659572645;7.1;3.86;1.05;28015
1659572646;6.18;3.8;1.05;14199
1659572647;6.18;3.8;1.05;9433
1659572648;5.24;3.71;1.05;14445
1659572649;5.24;3.71;1.05;16092
1659572650;4.83;3.68;1.07;52163
1659572651;4.83;3.68;1.07;30691
1659572652;4.5;3.66;1.08;52374
1659572653;4.5;3.66;1.08;123284
1659572654;7.85;4.29;1.23;331971
1659572655;7.85;4.29;1.23;136290
1659572656;7.69;4.38;1.27;5052
1659572657;7.69;4.38;1.27;11165
1659572658;6.3;4.24;1.26;4351
1659572659;6.3;4.24;1.26;7469
1659572660;5.16;4.1;1.25;11010
1659572661;5.16;4.1;1.25;11229
1659572662;4.4;4.0;1.25;9507
1659572663;4.4;4.0;1.25;11410
1659572664;3.79;3.9;1.25;12548
1659572665;3.79;3.9;1.25;6766
1659572666;3.1;3.77;1.24;7449
1659572667;3.1;3.77;1.24;2791
1659572668;2.54;3.65;1.23;1688
1659572669;2.54;3.65;1.23;3751
1659572670;2.08;3.53;1.22;3174
1659572671;2.08;3.53;1.22;2270
1659572672;1.7;3.41;1.21;5121
1659572673;1.7;3.41;1.21;3369
1659572674;1.39;3.3;1.2;1798
1659572675;1.39;3.3;1.2;1424
1659572676;1.14;3.19;1.2;868
1659572677;1.14;3.19;1.2;939
1659572678;0.93;3.09;1.19;751
1659572679;0.93;3.09;1.19;1235
1659572680;0.76;2.99;1.18;2770
1659572681;0.76;2.99;1.18;3141
1659572682;0.62;2.89;1.17;2062
1659572683;0.62;2.89;1.17;4489
1659572684;0.51;2.79;1.16;1741
1659572685;0.51;2.79;1.16;1236
1659572686;0.41;2.7;1.15;1267
1659572687;0.41;2.7;1.15;3070
1659572688;0.34;2.61;1.15;1896
1659572689;0.34;2.61;1.15;1165
1659572690;0.28;2.53;1.14;1321
1659572691;0.28;2.53;1.14;3670
1659572692;0.22;2.44;1.13;1172
1659572693;0.22;2.44;1.13;1410
1659572694;0.18;2.36;1.12;5886
1659572695;0.18;2.36;1.12;3167
1659572696;0.15;2.29;1.11;4697
1659572697;0.15;2.29;1.11;3317
1659572698;0.12;2.21;1.11;4465
1659572699;0.12;2.21;1.11;5422
1659572700;0.1;2.14;1.1;10300
