L-reg-l-noswap;64;io;;;threadripper-3970x-128gb-gentoo-langdale-2022-07-with-reg-cpu-pressure-no-swap;4-build-all-cores
TIME;AVG10;AVG60;AVG300;DIFF
1659572598;0.21;0.64;0.33;14052
1659572599;0.21;0.64;0.33;838
1659572600;0.17;0.62;0.33;66
1659572601;0.17;0.62;0.33;796
1659572602;0.14;0.6;0.33;5737
1659572603;0.14;0.6;0.33;18443
1659572604;0.29;0.62;0.33;7035
1659572605;0.29;0.62;0.33;4341
1659572606;0.24;0.59;0.33;24375
1659572607;0.24;0.59;0.33;69997
1659572608;1.28;0.77;0.37;42547
1659572609;1.28;0.77;0.37;41307
1659572610;1.41;0.81;0.38;2491
1659572611;1.41;0.81;0.38;1139
1659572612;1.15;0.78;0.38;104
1659572613;1.15;0.78;0.38;17547
1659572614;1.12;0.79;0.38;4218
1659572615;1.12;0.79;0.38;1142
1659572616;0.92;0.77;0.38;0
1659572617;0.92;0.77;0.38;142
1659572618;0.75;0.74;0.38;0
1659572619;0.75;0.74;0.38;152
1659572620;0.61;0.72;0.37;119
1659572621;0.61;0.72;0.37;657
1659572622;0.5;0.69;0.37;0
1659572623;0.5;0.69;0.37;4287
1659572624;0.41;0.67;0.37;6504
1659572625;0.41;0.67;0.37;16482
1659572626;0.52;0.68;0.37;6660
1659572627;0.52;0.68;0.37;4865
1659572628;0.42;0.66;0.37;4377
1659572629;0.42;0.66;0.37;12322
1659572630;0.71;0.7;0.38;37381
1659572631;0.71;0.7;0.38;84019
1659572632;1.3;0.81;0.41;3117
1659572633;1.3;0.81;0.41;3717
1659572634;1.07;0.78;0.4;4639
1659572635;1.07;0.78;0.4;27260
1659572636;1.23;0.82;0.41;15040
1659572637;1.23;0.82;0.41;1718
1659572638;1.01;0.79;0.41;2829
1659572639;1.01;0.79;0.41;6252
1659572640;0.83;0.77;0.41;1045
1659572641;0.83;0.77;0.41;1735
1659572642;0.67;0.74;0.41;4803
1659572643;0.67;0.74;0.41;4309
1659572644;0.55;0.72;0.4;4950
1659572645;0.55;0.72;0.4;800
1659572646;0.45;0.69;0.4;3111
1659572647;0.45;0.69;0.4;8576
1659572648;0.37;0.67;0.4;2783
1659572649;0.37;0.67;0.4;1924
1659572650;0.3;0.65;0.39;4136
1659572651;0.3;0.65;0.39;1199
1659572652;0.24;0.63;0.39;624
1659572653;0.24;0.63;0.39;1239
1659572654;0.2;0.61;0.39;1567
1659572655;0.2;0.61;0.39;2396
1659572656;0.16;0.59;0.39;194
1659572657;0.16;0.59;0.39;965
1659572658;0.13;0.57;0.38;158
1659572659;0.13;0.57;0.38;509
1659572660;0.11;0.55;0.38;18407
1659572661;0.11;0.55;0.38;0
1659572662;0.09;0.53;0.38;0
1659572663;0.09;0.53;0.38;0
1659572664;0.07;0.51;0.37;3288
1659572665;0.07;0.51;0.37;91
1659572666;0.42;0.56;0.38;41543
1659572667;0.42;0.56;0.38;0
1659572668;0.34;0.54;0.38;1073
1659572669;0.34;0.54;0.38;53
1659572670;0.28;0.52;0.38;164
1659572671;0.28;0.52;0.38;8464
1659572672;0.41;0.54;0.38;18936
1659572673;0.41;0.54;0.38;90063
1659572674;1.24;0.69;0.41;31307
1659572675;1.24;0.69;0.41;0
1659572676;1.01;0.66;0.41;5291
1659572677;1.01;0.66;0.41;0
1659572678;0.83;0.64;0.41;0
1659572679;0.83;0.64;0.41;126
1659572680;0.68;0.62;0.41;14961
1659572681;0.68;0.62;0.41;32255
1659572682;0.74;0.63;0.41;3295
1659572683;0.74;0.63;0.41;0
1659572684;0.6;0.61;0.41;1366
1659572685;0.6;0.61;0.41;0
1659572686;0.49;0.59;0.4;2026
1659572687;0.49;0.59;0.4;1068
1659572688;0.58;0.6;0.41;20232
1659572689;0.58;0.6;0.41;52
1659572690;0.48;0.58;0.41;11
1659572691;0.48;0.58;0.41;2351
1659572692;0.39;0.56;0.4;0
1659572693;0.39;0.56;0.4;1
1659572694;0.32;0.55;0.4;858
1659572695;0.32;0.55;0.4;1
1659572696;0.26;0.53;0.4;385
1659572697;0.26;0.53;0.4;84
1659572698;0.21;0.51;0.39;2
1659572699;0.21;0.51;0.39;142
1659572700;0.17;0.49;0.39;130
1659572701;0.17;0.49;0.39;2
1659572702;0.14;0.48;0.39;1386
1659572703;0.14;0.48;0.39;1
1659572704;0.11;0.46;0.39;1723
1659572705;0.11;0.46;0.39;3
1659572706;0.09;0.44;0.38;676
1659572707;0.09;0.44;0.38;5710
1659572708;0.07;0.43;0.38;0
1659572709;0.07;0.43;0.38;328
1659572710;0.06;0.41;0.38;441
1659572711;0.06;0.41;0.38;49
1659572712;0.05;0.4;0.37;9
1659572713;0.05;0.4;0.37;156
1659572714;0.04;0.39;0.37;1456
1659572715;0.04;0.39;0.37;488
1659572716;0.03;0.37;0.37;88
1659572717;0.03;0.37;0.37;1744
1659572718;0.02;0.36;0.37;1181
1659572719;0.02;0.36;0.37;289
1659572720;0.02;0.35;0.36;47
1659572721;0.02;0.35;0.36;71
1659572722;0.01;0.34;0.36;347
1659572723;0.01;0.34;0.36;34
1659572724;0.01;0.33;0.36;689
1659572725;0.01;0.33;0.36;22
1659572726;0.01;0.31;0.35;72
1659572727;0.01;0.31;0.35;167
1659572728;0.0;0.3;0.35;83
1659572729;0.0;0.3;0.35;84
1659572730;0.0;0.29;0.35;1455
1659572731;0.0;0.29;0.35;15
1659572732;0.0;0.28;0.35;14
1659572733;0.0;0.28;0.35;72
1659572734;0.0;0.27;0.34;564
1659572735;0.0;0.27;0.34;821
1659572736;0.0;0.26;0.34;25
1659572737;0.0;0.26;0.34;120
1659572738;0.0;0.26;0.34;41
1659572739;0.0;0.26;0.34;57
1659572740;0.0;0.25;0.34;157
1659572741;0.0;0.25;0.34;183
1659572742;0.0;0.24;0.33;256
1659572743;0.0;0.24;0.33;7831
1659572744;0.18;0.26;0.34;39148
1659572745;0.18;0.26;0.34;19938
1659572746;0.33;0.29;0.34;8524
1659572747;0.33;0.29;0.34;8381
1659572748;0.45;0.31;0.35;17293
1659572749;0.45;0.31;0.35;546
1659572750;0.37;0.3;0.35;9058
1659572751;0.37;0.3;0.35;8249
1659572752;0.3;0.29;0.34;6140
1659572753;0.3;0.29;0.34;6392
1659572754;0.24;0.28;0.34;2256
1659572755;0.24;0.28;0.34;1647
1659572756;0.2;0.27;0.34;1708
1659572757;0.2;0.27;0.34;2298
1659572758;0.16;0.26;0.34;739
1659572759;0.16;0.26;0.34;67138
1659572760;0.86;0.38;0.36;15516
1659572761;0.86;0.38;0.36;5790
1659572762;0.7;0.37;0.36;1645
1659572763;0.7;0.37;0.36;21449
1659572764;0.75;0.39;0.36;1686
1659572765;0.75;0.39;0.36;72
1659572766;0.62;0.38;0.36;1063
1659572767;0.62;0.38;0.36;336
1659572768;0.5;0.37;0.36;3
1659572769;0.5;0.37;0.36;109
1659572770;0.41;0.35;0.35;148
1659572771;0.41;0.35;0.35;1271
1659572772;0.33;0.34;0.35;2773
1659572773;0.33;0.34;0.35;12660
1659572774;0.45;0.36;0.36;7662
1659572775;0.45;0.36;0.36;23669
1659572776;0.55;0.38;0.36;8303
1659572777;0.55;0.38;0.36;14271
1659572778;0.63;0.4;0.36;8991
1659572779;0.63;0.4;0.36;1464
1659572780;0.52;0.39;0.36;54
1659572781;0.52;0.39;0.36;2
1659572782;0.42;0.38;0.36;2
1659572783;0.42;0.38;0.36;508
1659572784;0.35;0.36;0.36;2820
1659572785;0.35;0.36;0.36;4
1659572786;0.28;0.35;0.35;7645
1659572789;0.23;0.34;0.35;7167
1659572790;0.23;0.34;0.35;125
1659572791;0.19;0.33;0.35;825
1659572792;0.19;0.33;0.35;93
1659572793;0.15;0.32;0.35;2014
1659572794;0.15;0.32;0.35;1189
1659572795;0.12;0.31;0.34;1831
1659572796;0.12;0.31;0.34;195
1659572797;0.1;0.3;0.34;5257
1659572798;0.1;0.3;0.34;447
1659572799;0.08;0.29;0.34;2633
1659572800;0.08;0.29;0.34;842
1659572801;0.06;0.28;0.34;3
1659572802;0.06;0.28;0.34;202
1659572803;0.05;0.27;0.33;0
1659572804;0.05;0.27;0.33;7726
1659572805;0.04;0.26;0.33;0
1659572806;0.04;0.26;0.33;24
1659572807;0.03;0.25;0.33;1
1659572808;0.03;0.25;0.33;542
1659572809;0.03;0.24;0.33;1386
1659572810;0.03;0.24;0.33;320
1659572811;0.02;0.23;0.32;3271
1659572812;0.02;0.23;0.32;107
1659572813;0.02;0.22;0.32;6
1659572814;0.02;0.22;0.32;1130
1659572815;0.01;0.22;0.32;2932
1659572816;0.01;0.22;0.32;97
1659572817;0.01;0.21;0.32;125
1659572818;0.01;0.21;0.32;3862
1659572819;0.01;0.2;0.31;20
1659572820;0.01;0.2;0.31;2098
1659572821;0.0;0.19;0.31;3465
1659572822;0.0;0.19;0.31;120
1659572823;0.0;0.19;0.31;2
1659572824;0.0;0.19;0.31;3301
1659572825;0.0;0.18;0.31;680
1659572826;0.0;0.18;0.31;5256
1659572827;0.18;0.21;0.31;18575
1659572828;0.18;0.21;0.31;5334
1659572829;0.15;0.2;0.31;7227
1659572830;0.15;0.2;0.31;548
1659572831;0.12;0.19;0.31;1106
1659572832;0.12;0.19;0.31;226
1659572833;0.1;0.19;0.3;22
1659572834;0.1;0.19;0.3;4123
1659572835;0.08;0.18;0.3;12219
