L-reg-l-noswap;8;io;;;threadripper-3970x-128gb-gentoo-langdale-2022-07-with-reg-cpu-pressure-no-swap;5-build-8-bb-threads
TIME;AVG10;AVG60;AVG300;DIFF
1659581248;0.01;0.21;0.09;79
1659581249;0.01;0.2;0.09;157
1659581250;0.01;0.2;0.09;3
1659581251;0.01;0.2;0.09;31265
1659581252;0.01;0.2;0.09;0
1659581253;0.19;0.22;0.1;0
1659581254;0.19;0.22;0.1;6250
1659581255;0.15;0.22;0.1;4
1659581256;0.15;0.22;0.1;13772
1659581257;0.3;0.24;0.1;7305
1659581258;0.3;0.24;0.1;1894
1659581259;0.25;0.23;0.1;1566
1659581260;0.25;0.23;0.1;2602
1659581261;0.2;0.22;0.1;174
1659581262;0.2;0.22;0.1;437
1659581263;0.16;0.22;0.1;0
1659581264;0.16;0.22;0.1;8613
1659581265;0.13;0.21;0.1;0
1659581266;0.13;0.21;0.1;0
1659581267;0.29;0.24;0.11;37190
1659581268;0.29;0.24;0.11;0
1659581269;0.24;0.23;0.1;1
1659581270;0.24;0.23;0.1;349
1659581271;0.19;0.22;0.1;310
1659581272;0.19;0.22;0.1;6185
1659581273;0.16;0.21;0.1;55
1659581274;0.16;0.21;0.1;7794
1659581275;0.13;0.2;0.1;181
1659581276;0.13;0.2;0.1;0
1659581277;0.1;0.2;0.1;263
1659581278;0.1;0.2;0.1;31
1659581279;0.08;0.19;0.1;104
1659581280;0.08;0.19;0.1;62
1659581281;0.07;0.18;0.1;2767
1659581282;0.07;0.18;0.1;4765
1659581283;0.05;0.18;0.1;751
1659581284;0.05;0.18;0.1;1403
1659581285;0.04;0.17;0.1;49
1659581286;0.04;0.17;0.1;911
1659581287;0.03;0.16;0.1;3674
1659581288;0.03;0.16;0.1;79
1659581289;0.03;0.16;0.1;409
1659581290;0.03;0.16;0.1;233
1659581291;0.02;0.15;0.09;98
1659581292;0.02;0.15;0.09;1164
1659581293;0.02;0.15;0.09;684
1659581294;0.02;0.15;0.09;2102
1659581295;0.01;0.14;0.09;0
1659581296;0.01;0.14;0.09;297
1659581297;0.01;0.14;0.09;1635
1659581298;0.01;0.14;0.09;1414
1659581299;0.01;0.13;0.09;529
1659581300;0.01;0.13;0.09;0
1659581301;0.0;0.13;0.09;119
1659581302;0.0;0.13;0.09;2517
1659581303;0.0;0.12;0.09;5117
1659581304;0.0;0.12;0.09;7092
1659581305;0.0;0.12;0.09;334
1659581306;0.0;0.12;0.09;595
1659581307;0.0;0.12;0.09;0
1659581308;0.0;0.12;0.09;1
1659581309;0.0;0.11;0.09;0
1659581310;0.0;0.11;0.09;646
1659581311;0.0;0.11;0.08;62
1659581312;0.0;0.11;0.08;0
1659581313;0.0;0.1;0.08;7933
1659581314;0.0;0.1;0.08;3810
1659581315;0.0;0.1;0.08;196
1659581316;0.0;0.1;0.08;1
1659581317;0.0;0.1;0.08;0
1659581318;0.0;0.1;0.08;4148
1659581319;0.0;0.09;0.08;0
1659581320;0.0;0.09;0.08;2544
1659581321;0.0;0.09;0.08;5070
1659581322;0.0;0.09;0.08;26
1659581323;0.0;0.09;0.08;0
1659581324;0.0;0.09;0.08;12161
1659581325;0.0;0.08;0.08;0
1659581326;0.0;0.08;0.08;51021
1659581327;0.36;0.14;0.09;9
1659581328;0.36;0.14;0.09;0
1659581329;0.29;0.14;0.09;3466
1659581330;0.29;0.14;0.09;219
1659581331;0.24;0.13;0.09;37
1659581332;0.24;0.13;0.09;0
1659581333;0.19;0.13;0.09;0
1659581334;0.19;0.13;0.09;1178
1659581335;0.16;0.12;0.09;4
1659581336;0.16;0.12;0.09;95
1659581337;0.13;0.12;0.09;76
1659581338;0.13;0.12;0.09;79
1659581339;0.1;0.12;0.08;2
1659581340;0.1;0.12;0.08;83
1659581341;0.08;0.11;0.08;234
1659581342;0.08;0.11;0.08;19
1659581343;0.07;0.11;0.08;0
1659581344;0.07;0.11;0.08;9101
1659581345;0.05;0.1;0.08;42
1659581346;0.05;0.1;0.08;0
1659581347;0.04;0.1;0.08;4
1659581348;0.04;0.1;0.08;39
1659581349;0.03;0.1;0.08;750
1659581350;0.03;0.1;0.08;57
1659581351;0.03;0.09;0.08;225
1659581352;0.03;0.09;0.08;44
1659581353;0.02;0.09;0.08;27
1659581354;0.02;0.09;0.08;1151
1659581355;0.02;0.09;0.08;1
1659581356;0.02;0.09;0.08;1
1659581357;0.01;0.08;0.08;0
1659581358;0.01;0.08;0.08;0
1659581359;0.01;0.08;0.08;2468
1659581360;0.01;0.08;0.08;9
1659581361;0.01;0.08;0.07;27
1659581362;0.01;0.08;0.07;4
1659581363;0.0;0.07;0.07;1
1659581364;0.0;0.07;0.07;729
1659581365;0.0;0.07;0.07;1137
1659581366;0.0;0.07;0.07;2
1659581367;0.0;0.07;0.07;2
1659581368;0.0;0.07;0.07;439
1659581369;0.0;0.07;0.07;0
1659581370;0.0;0.07;0.07;408
1659581371;0.0;0.06;0.07;508
1659581372;0.0;0.06;0.07;40
1659581373;0.0;0.06;0.07;1
1659581374;0.0;0.06;0.07;725
1659581375;0.0;0.06;0.07;0
1659581376;0.0;0.06;0.07;9
1659581377;0.0;0.06;0.07;11
1659581378;0.0;0.06;0.07;1
1659581379;0.0;0.05;0.07;199
1659581380;0.0;0.05;0.07;2004
1659581381;0.0;0.05;0.07;152
1659581382;0.0;0.05;0.07;1
1659581383;0.0;0.05;0.06;32
1659581384;0.0;0.05;0.06;937
1659581385;0.0;0.05;0.06;172
1659581386;0.0;0.05;0.06;658
1659581387;0.0;0.05;0.06;5
1659581388;0.0;0.05;0.06;3
1659581389;0.0;0.04;0.06;0
1659581390;0.0;0.04;0.06;287
1659581391;0.0;0.04;0.06;1707
1659581392;0.0;0.04;0.06;0
1659581393;0.0;0.04;0.06;1
1659581394;0.0;0.04;0.06;3080
1659581395;0.0;0.04;0.06;1
1659581396;0.0;0.04;0.06;0
1659581397;0.0;0.04;0.06;1
1659581398;0.0;0.04;0.06;0
1659581399;0.0;0.04;0.06;0
1659581400;0.0;0.04;0.06;5
1659581401;0.0;0.03;0.06;6212
1659581402;0.0;0.03;0.06;1
1659581403;0.0;0.03;0.06;12
1659581404;0.0;0.03;0.06;860
1659581405;0.0;0.03;0.06;312
1659581406;0.0;0.03;0.06;559
1659581407;0.0;0.03;0.06;1761
1659581408;0.0;0.03;0.06;0
1659581409;0.0;0.03;0.06;1
1659581410;0.0;0.03;0.06;119
1659581411;0.0;0.03;0.06;17
1659581412;0.0;0.03;0.06;7865
1659581413;0.0;0.02;0.06;13
1659581414;0.0;0.02;0.06;726
1659581415;0.0;0.02;0.06;0
1659581416;0.0;0.02;0.06;50
1659581417;0.0;0.02;0.06;47
1659581418;0.0;0.02;0.06;0
1659581419;0.0;0.02;0.06;4
1659581420;0.0;0.02;0.06;8
1659581421;0.0;0.02;0.06;32
1659581422;0.0;0.02;0.06;3328
1659581423;0.0;0.02;0.06;0
1659581424;0.0;0.02;0.06;1325
1659581425;0.0;0.02;0.05;0
1659581426;0.0;0.02;0.05;78
1659581427;0.0;0.02;0.05;6115
