L-reg-l;64;cpu;;;threadripper-3970x-128gb-gentoo-langdale-2022-07-with-reg-cpu-pressure;4-build-all-cores
TIME;AVG10;AVG60;AVG300;DIFF
1659552693;0.08;0.29;0.13;19550
1659552694;0.24;0.31;0.14;7959
1659552695;0.24;0.31;0.14;16191
1659552696;0.38;0.33;0.14;9836
1659552697;0.38;0.33;0.14;5621
1659552698;0.49;0.36;0.15;91082
1659552699;0.49;0.36;0.15;14434
1659552700;1.13;0.47;0.18;4841
1659552701;1.13;0.47;0.18;11548
1659552702;1.1;0.49;0.18;12357
1659552703;1.1;0.49;0.18;15872
1659552704;1.08;0.51;0.19;227684
1659552705;1.08;0.51;0.19;7476
1659552706;2.88;0.85;0.26;6357
1659552707;2.88;0.85;0.26;25001
1659552708;3.44;1.02;0.3;100564
1659552709;3.44;1.02;0.3;35445
1659552710;3.18;1.05;0.31;22832
1659552711;3.18;1.05;0.31;17024
1659552712;2.97;1.08;0.33;29292
1659552713;2.97;1.08;0.33;408213
1659552714;6.23;1.74;0.47;35660
1659552715;6.23;1.74;0.47;203101
1659552716;6.91;2.01;0.53;14584
1659552717;6.91;2.01;0.53;95632
1659552718;6.57;2.1;0.56;10315
1659552719;6.57;2.1;0.56;225258
1659552720;8.09;2.53;0.66;74879
1659552721;8.09;2.53;0.66;86132
1659552722;7.89;2.67;0.71;58705
1659552723;7.89;2.67;0.71;30257
1659552724;6.83;2.65;0.71;15236
1659552725;6.83;2.65;0.71;356127
1659552726;9.39;3.25;0.85;45579
1659552727;9.39;3.25;0.85;20230
1659552728;8.05;3.21;0.86;19699
1659552729;8.05;3.21;0.86;21565
1659552730;6.95;3.17;0.87;27276
1659552731;6.95;3.17;0.87;17090
1659552732;5.87;3.1;0.87;18750
1659552733;5.87;3.1;0.87;12122
1659552734;4.99;3.03;0.87;9613
1659552735;4.99;3.03;0.87;23258
1659552736;5.17;3.13;0.91;95006
1659552737;5.17;3.13;0.91;7782
1659552738;4.23;3.02;0.9;11482
1659552739;4.23;3.02;0.9;17389
1659552740;3.65;2.96;0.9;15447
1659552741;3.65;2.96;0.9;7751
1659552742;2.99;2.86;0.89;7355
1659552743;2.99;2.86;0.89;8187
1659552744;2.44;2.77;0.89;4428
1659552745;2.44;2.77;0.89;10270
1659552746;2.0;2.68;0.88;4127
1659552747;2.0;2.68;0.88;4482
1659552748;1.64;2.59;0.88;5444
1659552749;1.64;2.59;0.88;6091
1659552750;1.34;2.5;0.87;5636
1659552751;1.34;2.5;0.87;22098
1659552752;1.28;2.45;0.87;5798
1659552753;1.28;2.45;0.87;10002
1659552754;1.04;2.37;0.86;3795
1659552755;1.04;2.37;0.86;6178
1659552756;0.85;2.29;0.86;3616
1659552757;0.85;2.29;0.86;4135
1659552758;0.7;2.22;0.85;1984
1659552759;0.7;2.22;0.85;2213
1659552760;0.57;2.15;0.85;3326
1659552761;0.57;2.15;0.85;2003
1659552762;0.47;2.08;0.84;1176
1659552763;0.47;2.08;0.84;1279
1659552764;0.38;2.01;0.83;3464
1659552765;0.38;2.01;0.83;1622
1659552766;0.31;1.94;0.83;1280
1659552767;0.31;1.94;0.83;2715
1659552768;0.25;1.88;0.82;2022
1659552769;0.25;1.88;0.82;1239
1659552770;0.21;1.81;0.82;977
1659552771;0.21;1.81;0.82;869
1659552772;0.17;1.76;0.81;2569
1659552773;0.17;1.76;0.81;1140
1659552774;0.14;1.7;0.8;1691
1659552775;0.14;1.7;0.8;1078
1659552776;0.11;1.64;0.8;2842
1659552777;0.11;1.64;0.8;1744
1659552778;0.09;1.59;0.79;641
1659552779;0.09;1.59;0.79;3166
1659552780;0.07;1.54;0.79;4653
1659552781;0.07;1.54;0.79;3705
1659552782;0.06;1.48;0.78;4595
1659552783;0.06;1.48;0.78;4572
1659552784;0.05;1.44;0.78;5785
1659552785;0.05;1.44;0.78;6284
1659552786;0.04;1.39;0.77;7804
1659552787;0.04;1.39;0.77;5235
1659552788;0.03;1.34;0.76;6754
1659552789;0.03;1.34;0.76;50622
1659552790;0.39;1.36;0.77;37024
1659552791;0.39;1.36;0.77;198375
1659552792;2.31;1.68;0.84;4480
1659552793;2.31;1.68;0.84;3175
1659552794;1.89;1.62;0.84;5340
1659552795;1.89;1.62;0.84;120248
1659552796;2.63;1.77;0.87;8829
1659552797;2.63;1.77;0.87;137462
1659552798;3.79;2.0;0.93;60885
1659552799;3.79;2.0;0.93;33726
1659552800;7.08;2.66;1.07;400817
1659552801;7.08;2.66;1.07;8771
1659552802;5.8;2.57;1.07;10903
1659552803;5.8;2.57;1.07;133021
1659552804;7.28;2.94;1.15;156936
1659552805;7.28;2.94;1.15;271115
1659552806;8.5;3.31;1.24;54154
1659552807;8.5;3.31;1.24;139600
1659552808;8.41;3.46;1.29;8026
1659552809;8.41;3.46;1.29;7111
1659552810;6.88;3.35;1.28;4565
1659552811;6.88;3.35;1.28;302619
1659552812;11.61;4.32;1.5;396133
1659552813;11.61;4.32;1.5;393193
1659552814;13.86;4.96;1.65;62899
1659552815;13.86;4.96;1.65;97407
1659552816;12.43;5.0;1.68;35145
1659552817;12.43;5.0;1.68;116617
1659552818;11.27;5.03;1.71;10464
1659552819;11.27;5.03;1.71;15675
1659552820;9.59;4.93;1.71;86171
1659552821;9.59;4.93;1.71;74720
1659552822;9.48;5.06;1.76;103267
1659552823;9.48;5.06;1.76;12338
1659552824;8.3;4.99;1.77;11557
1659552825;8.3;4.99;1.77;305029
1659552826;13.68;6.07;2.02;549863
1659552827;13.68;6.07;2.02;539852
1659552828;17.73;7.05;2.25;121808
1659552829;17.73;7.05;2.25;243191
1659552830;19.4;7.71;2.42;346002
1659552831;19.4;7.71;2.42;314844
1659552832;20.78;8.34;2.59;176839
1659552833;20.78;8.34;2.59;105114
1659552834;19.37;8.49;2.66;238128
1659552835;19.37;8.49;2.66;298665
1659552836;19.12;8.8;2.77;4834
1659552837;19.12;8.8;2.77;7106
1659552838;16.74;8.71;2.79;124805
1659552839;16.74;8.71;2.79;154824
1659552840;15.52;8.75;2.84;61792
1659552841;15.52;8.75;2.84;4457
1659552842;13.79;8.66;2.86;115126
1659552843;13.79;8.66;2.86;6174
1659552844;12.38;8.57;2.88;122827
1659552845;12.38;8.57;2.88;11210
1659552846;10.14;8.29;2.86;4295
1659552847;10.14;8.29;2.86;164584
1659552848;10.11;8.35;2.91;47351
1659552849;10.11;8.35;2.91;361480
1659552850;11.54;8.66;3.01;6046
1659552851;11.54;8.66;3.01;128794
1659552852;11.26;8.71;3.06;77000
1659552853;11.26;8.71;3.06;21436
1659552854;10.49;8.65;3.09;239608
1659552855;10.49;8.65;3.09;63928
1659552856;11.12;8.83;3.16;112239
1659552857;11.12;8.83;3.16;154051
1659552858;12.19;9.1;3.26;358144
1659552859;12.19;9.1;3.26;4551
1659552860;11.61;9.09;3.3;18180
1659552861;11.61;9.09;3.3;13056
1659552862;9.68;8.83;3.28;3785
1659552863;9.68;8.83;3.28;12446
1659552864;8.11;8.57;3.27;8283
1659552865;8.11;8.57;3.27;4498
1659552866;6.64;8.29;3.24;8580
1659552867;6.64;8.29;3.24;107747
1659552868;7.25;8.35;3.29;93140
1659552871;5.93;8.07;3.27;13165
1659552872;5.93;8.07;3.27;79216
1659552873;5.76;7.97;3.28;117280
1659552874;5.76;7.97;3.28;31591
1659552875;5.99;7.94;3.3;13908
1659552876;5.99;7.94;3.3;302370
1659552877;8.34;8.3;3.41;377720
1659552878;8.34;8.3;3.41;204351
1659552879;11.36;8.85;3.56;272569
1659552880;11.36;8.85;3.56;380595
1659552881;15.28;9.64;3.76;39708
1659552882;15.28;9.64;3.76;46400
1659552883;13.05;9.42;3.76;101935
1659552884;13.05;9.42;3.76;91718
1659552885;12.32;9.41;3.79;7350
1659552886;12.32;9.41;3.79;7001
1659552887;10.09;9.1;3.77;8435
1659552888;10.09;9.1;3.77;79228
1659552889;9.16;8.96;3.77;45344
1659552890;9.16;8.96;3.77;217383
1659552891;9.68;9.06;3.83;10142
1659552892;9.68;9.06;3.83;165609
1659552893;9.37;9.03;3.86;7050
1659552894;9.37;9.03;3.86;89893
1659552895;8.94;8.96;3.88;84955
1659552896;8.94;8.96;3.88;3183
1659552897;8.95;8.96;3.92;299537
1659552898;8.95;8.96;3.92;5480
1659552899;8.6;8.9;3.94;59360
1659552900;8.6;8.9;3.94;227159
1659552901;10.12;9.16;4.03;146831
1659552902;10.12;9.16;4.03;9606
1659552903;9.01;8.99;4.03;271394
1659552904;9.01;8.99;4.03;5947
1659552905;9.73;9.12;4.09;128303
1659552906;9.73;9.12;4.09;3953
1659552907;9.05;9.02;4.1;3701
1659552908;9.05;9.02;4.1;4576
1659552909;7.41;8.73;4.07;2618
1659552910;7.41;8.73;4.07;11211
1659552911;6.07;8.44;4.04;4209
1659552912;6.07;8.44;4.04;1744
1659552913;4.97;8.16;4.02;2334
1659552914;4.97;8.16;4.02;2322
1659552915;4.07;7.9;3.99;1661
1659552916;4.07;7.9;3.99;2183
1659552917;3.33;7.64;3.96;1426
1659552918;3.33;7.64;3.96;3932
1659552919;2.72;7.39;3.93;1951
1659552920;2.72;7.39;3.93;2205
1659552921;2.41;7.18;3.91;22281
1659552922;2.41;7.18;3.91;3018
1659552923;1.97;6.94;3.89;2777
1659552924;1.97;6.94;3.89;3583
1659552925;1.61;6.71;3.86;3425
1659552926;1.61;6.71;3.86;2083
1659552927;1.32;6.49;3.83;3663
1659552928;1.32;6.49;3.83;3053
1659552929;1.08;6.28;3.81;2959
1659552930;1.08;6.28;3.81;2598
1659552931;0.88;6.08;3.78;2259
1659552932;0.88;6.08;3.78;1630
1659552933;0.72;5.88;3.75;1909
1659552934;0.72;5.88;3.75;3054
1659552935;0.59;5.68;3.73;1640
1659552936;0.59;5.68;3.73;2255
1659552937;0.48;5.5;3.7;4176
1659552938;0.48;5.5;3.7;3047
1659552939;0.39;5.32;3.68;3227
1659552940;0.39;5.32;3.68;44784
1659552941;0.87;5.24;3.67;17748
1659552942;0.87;5.24;3.67;1982
1659552943;0.71;5.07;3.65;2373
1659552944;0.71;5.07;3.65;418236
1659552945;9.27;6.47;3.95;605534
1659552946;9.27;6.47;3.95;244016
1659552947;13.39;7.31;4.14;166705
1659552948;13.39;7.31;4.14;139343
1659552949;13.5;7.53;4.21;130490
1659552950;13.5;7.53;4.21;123539
1659552951;13.05;7.64;4.26;137151
1659552952;13.05;7.64;4.26;125585
1659552953;13.04;7.82;4.32;118130
1659552954;13.04;7.82;4.32;125683
1659552955;12.85;7.95;4.37;122961
1659552956;12.85;7.95;4.37;120401
1659552957;12.69;8.09;4.42;122127
1659552958;12.69;8.09;4.42;122943
1659552959;12.57;8.21;4.47;120858
1659552960;12.57;8.21;4.47;121889
1659552961;12.46;8.34;4.53;126468
1659552962;12.46;8.34;4.53;123826
1659552963;12.38;8.46;4.58;126530
1659552964;12.38;8.46;4.58;116825
1659552965;11.76;8.48;4.61;39532
1659552966;11.76;8.48;4.61;112630
1659552967;11.26;8.49;4.64;81253
1659552968;11.26;8.49;4.64;74463
1659552969;10.49;8.44;4.65;69698
1659552970;10.49;8.44;4.65;68755
1659552971;9.67;8.36;4.66;69738
1659552972;9.67;8.36;4.66;76977
1659552973;9.19;8.32;4.68;69306
1659552974;9.19;8.32;4.68;75723
1659552975;8.79;8.27;4.7;75763
1659552976;8.79;8.27;4.7;28418
1659552977;9.92;8.49;4.77;340264
1659552978;9.92;8.49;4.77;86762
1659552979;9.57;8.48;4.79;54284
1659552980;9.57;8.48;4.79;35021
1659552981;8.2;8.27;4.77;2941
1659552982;8.2;8.27;4.77;2757
1659552983;6.71;7.99;4.74;1853
1659552984;6.71;7.99;4.74;2577
1659552985;5.49;7.73;4.7;1730
1659552986;5.49;7.73;4.7;1990
1659552987;4.5;7.48;4.67;1580
1659552988;4.5;7.48;4.67;2699
1659552989;3.68;7.23;4.64;2374
1659552990;3.68;7.23;4.64;2031
1659552991;3.01;7.0;4.61;1638
1659552992;3.01;7.0;4.61;1822
1659552993;2.47;6.77;4.58;1595
1659552994;2.47;6.77;4.58;1765
1659552995;2.02;6.55;4.54;1369
1659552996;2.02;6.55;4.54;1376
1659552997;1.65;6.33;4.51;1318
1659552998;1.65;6.33;4.51;1554
1659552999;1.35;6.12;4.48;1674
1659553000;1.35;6.12;4.48;3302
1659553001;1.1;5.92;4.45;1900
1659553002;1.1;5.92;4.45;1965
1659553003;0.9;5.73;4.42;1627
1659553004;0.9;5.73;4.42;2698
1659553005;0.74;5.54;4.39;2087
1659553006;0.74;5.54;4.39;2179
1659553007;0.79;5.39;4.37;45875
1659553008;0.79;5.39;4.37;1787
1659553009;0.64;5.22;4.34;1400
1659553010;0.64;5.22;4.34;2388
1659553011;0.52;5.04;4.31;2408
1659553012;0.52;5.04;4.31;4125
1659553013;0.43;4.88;4.28;2979
1659553014;0.43;4.88;4.28;4397
1659553015;0.35;4.72;4.25;2434
1659553016;0.35;4.72;4.25;1946
1659553017;0.29;4.56;4.22;2000
1659553018;0.29;4.56;4.22;1589
1659553019;0.23;4.41;4.19;1869
1659553020;0.23;4.41;4.19;1714
1659553021;0.19;4.27;4.16;2093
1659553022;0.19;4.27;4.16;1787
1659553023;0.15;4.13;4.13;1756
1659553024;0.15;4.13;4.13;2616
1659553025;0.12;3.99;4.1;3903
1659553026;0.12;3.99;4.1;100872
1659553027;1.37;4.09;4.12;50587
1659553028;1.37;4.09;4.12;2755
1659553029;1.12;3.96;4.09;35075
1659553030;1.12;3.96;4.09;16967
1659553031;1.28;3.89;4.08;2420
1659553032;1.28;3.89;4.08;9698
1659553033;1.05;3.77;4.05;44057
1659553034;1.05;3.77;4.05;492253
1659553035;10.09;5.31;4.37;638489
1659553036;10.09;5.31;4.37;37511
1659553037;10.8;5.6;4.44;145421
1659553038;10.8;5.6;4.44;4035
1659553039;8.84;5.41;4.41;2945
1659553040;8.84;5.41;4.41;2447
1659553041;7.24;5.23;4.38;3905
1659553042;7.24;5.23;4.38;2102
1659553043;5.93;5.06;4.35;3159
1659553044;5.93;5.06;4.35;3227
1659553045;4.85;4.9;4.32;4123
1659553046;4.85;4.9;4.32;3763
1659553047;4.33;4.8;4.3;70405
1659553048;4.33;4.8;4.3;129457
1659553049;5.9;5.07;4.36;133800
1659553050;5.9;5.07;4.36;109527
1659553051;6.64;5.23;4.4;103128
1659553052;6.64;5.23;4.4;359225
1659553053;14.32;6.66;4.7;815615
1659553054;14.32;6.66;4.7;681791
1659553055;21.69;8.24;5.05;12245
1659553056;21.69;8.24;5.05;18387
1659553057;17.76;7.97;5.01;1775
1659553058;17.76;7.97;5.01;2130
1659553059;14.54;7.71;4.98;1662
1659553060;14.54;7.71;4.98;2494
1659553061;11.9;7.46;4.94;2352
1659553062;11.9;7.46;4.94;1352
1659553063;9.75;7.22;4.91;1337
1659553064;9.75;7.22;4.91;2005
1659553065;7.98;6.98;4.88;2201
1659553066;7.98;6.98;4.88;2033
1659553067;6.53;6.75;4.84;1749
1659553068;6.53;6.75;4.84;1859
1659553069;5.35;6.53;4.81;3369
1659553070;5.35;6.53;4.81;11758
1659553071;4.38;6.32;4.78;6203
1659553072;4.38;6.32;4.78;42582
1659553073;4.13;6.21;4.76;14253
1659553074;4.13;6.21;4.76;72394
1659553075;3.92;6.1;4.75;45349
1659553076;3.92;6.1;4.75;60110
1659553077;4.12;6.06;4.75;13928
1659553078;4.12;6.06;4.75;44375
1659553079;3.91;5.96;4.74;7855
