L-reg-l;64;io;;;threadripper-3970x-128gb-gentoo-langdale-2022-07-with-reg-cpu-pressure;4-build-all-cores
TIME;AVG10;AVG60;AVG300;DIFF
1659552693;0.0;0.08;0.19;69
1659552694;0.0;0.07;0.19;15908
1659552695;0.0;0.07;0.19;14419
1659552696;0.18;0.1;0.2;347
1659552697;0.18;0.1;0.2;41816
1659552698;0.87;0.23;0.22;43140
1659552699;0.87;0.23;0.22;17569
1659552700;1.08;0.29;0.24;44042
1659552701;1.08;0.29;0.24;8619
1659552702;1.06;0.31;0.24;2986
1659552703;1.06;0.31;0.24;21903
1659552704;1.05;0.34;0.25;4645
1659552705;1.05;0.34;0.25;22372
1659552706;1.04;0.36;0.25;4
1659552707;1.04;0.36;0.25;110
1659552708;0.85;0.35;0.25;256
1659552709;0.85;0.35;0.25;24
1659552710;0.69;0.33;0.25;7158
1659552711;0.69;0.33;0.25;681
1659552712;0.57;0.32;0.25;15033
1659552713;0.57;0.32;0.25;45172
1659552714;0.83;0.38;0.26;2685
1659552715;0.83;0.38;0.26;5850
1659552716;0.86;0.4;0.27;21877
1659552717;0.86;0.4;0.27;14121
1659552718;0.7;0.39;0.26;3920
1659552719;0.7;0.39;0.26;1487
1659552720;0.57;0.37;0.26;7175
1659552721;0.57;0.37;0.26;1946
1659552722;0.47;0.36;0.26;763
1659552723;0.47;0.36;0.26;2557
1659552724;0.38;0.35;0.26;5331
1659552725;0.38;0.35;0.26;2792
1659552726;0.31;0.34;0.26;663
1659552727;0.31;0.34;0.26;441
1659552728;0.25;0.32;0.25;1603
1659552729;0.25;0.32;0.25;1334
1659552730;0.21;0.31;0.25;1059
1659552731;0.21;0.31;0.25;6354
1659552732;0.17;0.3;0.25;9253
1659552733;0.17;0.3;0.25;9601
1659552734;0.14;0.29;0.25;708
1659552735;0.14;0.29;0.25;3761
1659552736;0.11;0.28;0.25;2115
1659552737;0.11;0.28;0.25;257
1659552738;0.09;0.27;0.24;963
1659552739;0.09;0.27;0.24;8070
1659552740;0.07;0.26;0.24;325
1659552741;0.07;0.26;0.24;5094
1659552742;0.06;0.25;0.24;6
1659552743;0.06;0.25;0.24;18
1659552744;0.05;0.25;0.24;2149
1659552745;0.05;0.25;0.24;117
1659552746;0.04;0.24;0.24;2752
1659552747;0.04;0.24;0.24;0
1659552748;0.03;0.23;0.23;0
1659552749;0.03;0.23;0.23;25
1659552750;0.02;0.22;0.23;62
1659552751;0.02;0.22;0.23;3805
1659552752;0.02;0.21;0.23;7705
1659552753;0.02;0.21;0.23;97500
1659552754;1.46;0.47;0.28;73973
1659552755;1.46;0.47;0.28;0
1659552756;1.2;0.45;0.28;1148
1659552757;1.2;0.45;0.28;773
1659552758;0.98;0.44;0.28;142
1659552759;0.98;0.44;0.28;73
1659552760;1.16;0.49;0.29;52071
1659552761;1.16;0.49;0.29;20153
1659552762;1.13;0.51;0.3;1188
1659552763;1.13;0.51;0.3;32
1659552764;0.93;0.49;0.29;6801
1659552765;0.93;0.49;0.29;0
1659552766;0.76;0.47;0.29;50
1659552767;0.76;0.47;0.29;8124
1659552768;0.8;0.49;0.3;23472
1659552769;0.8;0.49;0.3;63
1659552770;0.65;0.47;0.29;4685
1659552771;0.65;0.47;0.29;0
1659552772;0.54;0.46;0.29;4111
1659552773;0.54;0.46;0.29;0
1659552774;0.44;0.44;0.29;1670
1659552775;0.44;0.44;0.29;294
1659552776;0.36;0.43;0.29;0
1659552777;0.36;0.43;0.29;596
1659552778;0.29;0.41;0.28;0
1659552779;0.29;0.41;0.28;80
1659552780;0.24;0.4;0.28;71
1659552781;0.24;0.4;0.28;1
1659552782;0.19;0.39;0.28;1431
1659552783;0.19;0.39;0.28;6
1659552784;0.16;0.37;0.28;569
1659552785;0.16;0.37;0.28;4
1659552786;0.13;0.36;0.27;32
1659552787;0.13;0.36;0.27;19
1659552788;0.1;0.35;0.27;2
1659552789;0.1;0.35;0.27;58
1659552790;0.08;0.34;0.27;71
