L-reg-l;8;cpu;;;threadripper-3970x-128gb-gentoo-langdale-2022-07-with-reg-cpu-pressure;5-build-8-bb-threads
TIME;AVG10;AVG60;AVG300;DIFF
1659561346;0.01;0.06;1.38;4193
1659561347;0.01;0.06;1.37;3863
1659561348;0.01;0.06;1.37;2036
1659561349;0.01;0.05;1.36;4443
1659561350;0.01;0.05;1.36;2198
1659561351;0.0;0.05;1.35;3960
1659561352;0.0;0.05;1.35;2062
1659561353;0.0;0.05;1.34;4083
1659561354;0.0;0.05;1.34;3214
1659561355;0.0;0.05;1.33;2109
1659561356;0.0;0.05;1.33;8555
1659561357;0.0;0.05;1.33;4308
1659561358;0.0;0.05;1.33;4973
1659561359;0.0;0.04;1.32;3971
1659561360;0.0;0.04;1.32;9467
1659561361;0.0;0.04;1.31;15084
1659561362;0.0;0.04;1.31;22602
1659561363;0.36;0.11;1.31;14522
1659561364;0.36;0.11;1.31;11693
1659561365;0.47;0.14;1.31;19067
1659561366;0.47;0.14;1.31;14498
1659561367;0.57;0.16;1.31;6453
1659561368;0.57;0.16;1.31;2507
1659561369;0.46;0.16;1.3;7412
1659561370;0.46;0.16;1.3;2510
1659561371;0.38;0.15;1.29;5216
1659561372;0.38;0.15;1.29;2107
1659561373;0.31;0.15;1.28;3178
1659561374;0.31;0.15;1.28;5235
1659561375;0.25;0.14;1.27;5144
1659561376;0.25;0.14;1.27;3356
1659561377;0.21;0.14;1.26;10230
1659561378;0.21;0.14;1.26;16672
1659561379;0.35;0.17;1.26;3179
1659561380;0.35;0.17;1.26;3983
1659561381;0.28;0.16;1.25;2813
1659561382;0.28;0.16;1.25;3486
1659561383;0.23;0.15;1.24;2759
1659561384;0.23;0.15;1.24;4517
1659561385;0.19;0.15;1.23;3954
1659561386;0.19;0.15;1.23;3114
1659561387;0.15;0.14;1.22;3696
1659561388;0.15;0.14;1.22;2314
1659561389;0.12;0.14;1.22;2179
1659561390;0.12;0.14;1.22;13812
1659561391;0.1;0.13;1.21;4034
1659561392;0.1;0.13;1.21;11699
1659561393;0.08;0.13;1.2;3593
1659561394;0.08;0.13;1.2;5808
1659561395;0.07;0.12;1.19;6028
1659561396;0.07;0.12;1.19;3750
1659561397;0.05;0.12;1.18;1998
1659561398;0.05;0.12;1.18;2762
1659561399;0.04;0.12;1.17;3641
1659561400;0.04;0.12;1.17;3096
1659561401;0.03;0.11;1.16;3107
1659561402;0.03;0.11;1.16;4037
1659561403;0.03;0.11;1.16;3069
1659561404;0.03;0.11;1.16;3209
1659561405;0.02;0.1;1.15;5078
1659561406;0.02;0.1;1.15;15474
1659561407;0.2;0.13;1.15;9052
1659561408;0.2;0.13;1.15;2235
1659561409;0.16;0.13;1.14;4443
1659561410;0.16;0.13;1.14;5302
1659561411;0.13;0.12;1.13;2764
1659561412;0.13;0.12;1.13;1816
1659561413;0.11;0.12;1.12;3423
1659561414;0.11;0.12;1.12;5119
1659561415;0.09;0.11;1.11;5466
1659561416;0.09;0.11;1.11;4804
1659561417;0.07;0.11;1.11;6753
1659561418;0.07;0.11;1.11;7421
1659561419;0.06;0.11;1.1;4823
1659561420;0.06;0.11;1.1;3025
1659561421;0.04;0.1;1.09;3810
1659561422;0.04;0.1;1.09;3141
1659561423;0.03;0.1;1.08;3171
1659561424;0.03;0.1;1.08;6173
1659561425;0.03;0.1;1.08;8078
1659561426;0.03;0.1;1.08;23300
1659561427;0.38;0.16;1.08;24592
1659561428;0.38;0.16;1.08;16518
1659561429;0.5;0.19;1.08;3670
1659561430;0.5;0.19;1.08;2037
1659561431;0.4;0.18;1.07;656
1659561432;0.4;0.18;1.07;1848
1659561433;0.33;0.17;1.07;969
1659561434;0.33;0.17;1.07;2275
1659561435;0.27;0.17;1.06;1673
1659561436;0.27;0.17;1.06;1754
1659561437;0.22;0.16;1.05;3538
1659561438;0.22;0.16;1.05;3086
1659561439;0.18;0.16;1.04;3331
1659561440;0.18;0.16;1.04;3641
1659561441;0.14;0.15;1.04;30316
1659561442;0.14;0.15;1.04;3915
1659561443;0.3;0.18;1.04;5175
1659561444;0.3;0.18;1.04;7871
1659561445;0.24;0.17;1.03;1926
1659561446;0.24;0.17;1.03;2636
1659561447;0.2;0.17;1.02;2443
1659561448;0.2;0.17;1.02;79353
1659561449;1.07;0.32;1.05;52856
1659561450;1.07;0.32;1.05;23359
1659561451;1.24;0.38;1.06;26429
1659561452;1.24;0.38;1.06;2370
1659561453;1.01;0.37;1.05;5689
1659561454;1.01;0.37;1.05;4086
1659561455;1.01;0.39;1.05;21437
1659561456;1.01;0.39;1.05;2563
1659561457;0.82;0.37;1.04;2995
1659561458;0.82;0.37;1.04;4211
1659561459;0.67;0.36;1.03;2188
1659561460;0.67;0.36;1.03;2036
1659561461;0.55;0.35;1.03;1559
1659561462;0.55;0.35;1.03;33111
1659561463;0.81;0.4;1.03;10949
1659561464;0.81;0.4;1.03;1737
1659561465;0.66;0.39;1.02;1635
1659561466;0.66;0.39;1.02;1716
1659561467;0.54;0.38;1.02;4390
1659561468;0.54;0.38;1.02;83226
1659561469;1.17;0.49;1.04;2730
1659561470;1.17;0.49;1.04;3810
1659561471;0.96;0.48;1.03;2717
1659561472;0.96;0.48;1.03;17574
1659561473;0.96;0.5;1.03;4596
1659561474;0.96;0.5;1.03;3636
1659561475;0.79;0.48;1.02;2134
1659561476;0.79;0.48;1.02;1635
1659561477;0.64;0.46;1.02;2210
1659561478;0.64;0.46;1.02;1484
1659561479;0.53;0.45;1.01;1494
1659561480;0.53;0.45;1.01;2024
1659561481;0.43;0.43;1.0;2365
1659561482;0.43;0.43;1.0;2676
1659561483;0.35;0.42;0.99;2009
1659561484;0.35;0.42;0.99;2901
1659561485;0.29;0.4;0.99;26892
1659561486;0.29;0.4;0.99;2972
