L-reg-l;8;io;;;threadripper-3970x-128gb-gentoo-langdale-2022-07-with-reg-cpu-pressure;5-build-8-bb-threads
TIME;AVG10;AVG60;AVG300;DIFF
1659561346;0.31;1.22;0.56;90
1659561347;0.25;1.18;0.56;1960
1659561348;0.25;1.18;0.56;600
1659561349;0.2;1.14;0.55;18421
1659561350;0.2;1.14;0.55;86
1659561351;0.16;1.11;0.55;0
1659561352;0.16;1.11;0.55;5228
1659561353;0.13;1.07;0.55;0
1659561354;0.13;1.07;0.55;1886
1659561355;0.11;1.03;0.54;0
1659561356;0.11;1.03;0.54;1853
1659561357;0.09;1.0;0.54;1502
1659561358;0.09;1.0;0.54;728
1659561359;0.07;0.97;0.53;1872
1659561360;0.07;0.97;0.53;72411
1659561361;1.33;1.16;0.58;112199
1659561362;1.33;1.16;0.58;23235
1659561363;1.63;1.22;0.59;24028
1659561364;1.63;1.22;0.59;48796
1659561365;2.06;1.32;0.62;34467
1659561366;2.06;1.32;0.62;15362
1659561367;2.05;1.34;0.63;570
1659561368;2.05;1.34;0.63;269
1659561369;1.67;1.29;0.62;0
1659561370;1.67;1.29;0.62;679
1659561371;1.37;1.25;0.62;0
1659561372;1.37;1.25;0.62;64
1659561373;1.12;1.21;0.61;469
1659561374;1.12;1.21;0.61;7633
1659561375;0.92;1.17;0.61;35466
1659561376;0.92;1.17;0.61;48646
1659561377;1.47;1.26;0.63;11417
1659561378;1.47;1.26;0.63;1642
1659561379;1.21;1.22;0.63;496
1659561380;1.21;1.22;0.63;4866
1659561381;0.99;1.18;0.62;404
1659561382;0.99;1.18;0.62;668
1659561383;0.81;1.14;0.62;1147
1659561384;0.81;1.14;0.62;1830
1659561385;0.66;1.1;0.62;118
1659561386;0.66;1.1;0.62;37
1659561387;0.54;1.07;0.61;156
1659561388;0.54;1.07;0.61;1429
1659561389;0.44;1.03;0.61;432
1659561390;0.44;1.03;0.61;229
1659561391;0.36;1.0;0.6;10803
1659561392;0.36;1.0;0.6;229
1659561393;0.29;0.96;0.6;2735
1659561394;0.29;0.96;0.6;4081
1659561395;0.24;0.93;0.59;1508
1659561396;0.24;0.93;0.59;6794
1659561397;0.19;0.9;0.59;45
1659561398;0.19;0.9;0.59;274
1659561399;0.16;0.87;0.59;605
1659561400;0.16;0.87;0.59;197
1659561401;0.13;0.84;0.58;6873
1659561402;0.13;0.84;0.58;5897
1659561403;0.1;0.82;0.58;4
1659561404;0.1;0.82;0.58;14350
1659561405;0.08;0.79;0.57;4257
1659561406;0.08;0.79;0.57;35587
1659561407;0.25;0.8;0.58;313
1659561408;0.25;0.8;0.58;1198
1659561409;0.2;0.77;0.57;2131
1659561410;0.2;0.77;0.57;2118
1659561411;0.16;0.74;0.57;6051
1659561412;0.16;0.74;0.57;29
1659561413;0.13;0.72;0.56;231
1659561414;0.13;0.72;0.56;10693
1659561415;0.11;0.69;0.56;1006
1659561416;0.11;0.69;0.56;1682
1659561417;0.09;0.67;0.55;108
1659561418;0.09;0.67;0.55;1092
1659561419;0.07;0.65;0.55;3364
1659561420;0.07;0.65;0.55;715
1659561421;0.06;0.63;0.55;511
1659561422;0.06;0.63;0.55;1012
1659561423;0.05;0.61;0.54;7043
1659561424;0.05;0.61;0.54;54533
1659561425;0.76;0.72;0.57;43966
1659561426;0.76;0.72;0.57;11637
1659561427;0.62;0.69;0.56;29075
1659561428;0.62;0.69;0.56;7221
1659561429;0.69;0.7;0.57;737
1659561430;0.69;0.7;0.57;90
1659561431;0.56;0.68;0.56;0
1659561432;0.56;0.68;0.56;516
1659561433;0.46;0.66;0.56;0
1659561434;0.46;0.66;0.56;2406
1659561435;0.38;0.64;0.55;16
1659561436;0.38;0.64;0.55;99
1659561437;0.31;0.62;0.55;1500
1659561438;0.31;0.62;0.55;24
1659561439;0.25;0.6;0.55;135
1659561440;0.25;0.6;0.55;302
1659561441;0.2;0.58;0.54;101
1659561442;0.2;0.58;0.54;3426
1659561443;0.17;0.56;0.54;1
1659561444;0.17;0.56;0.54;3001
1659561445;0.13;0.54;0.53;0
1659561446;0.13;0.54;0.53;191
1659561447;0.11;0.52;0.53;0
1659561448;0.11;0.52;0.53;29
1659561449;0.09;0.5;0.53;104
1659561450;0.09;0.5;0.53;71
1659561451;0.07;0.49;0.52;50
1659561452;0.07;0.49;0.52;15
1659561453;0.06;0.47;0.52;5481
1659561454;0.06;0.47;0.52;859
1659561455;0.05;0.45;0.52;1
1659561456;0.05;0.45;0.52;13
1659561457;0.04;0.44;0.51;0
1659561458;0.04;0.44;0.51;10025
1659561459;0.21;0.46;0.51;14196
1659561460;0.21;0.46;0.51;981
1659561461;0.17;0.44;0.51;20
1659561462;0.17;0.44;0.51;28
1659561463;0.14;0.43;0.51;1124
1659561464;0.14;0.43;0.51;843
1659561465;0.11;0.41;0.5;1
1659561466;0.11;0.41;0.5;226
1659561467;0.09;0.4;0.5;38
1659561468;0.09;0.4;0.5;40
1659561469;0.07;0.39;0.5;121
1659561470;0.07;0.39;0.5;53
1659561471;0.06;0.37;0.49;0
1659561472;0.06;0.37;0.49;66
1659561473;0.05;0.36;0.49;1
1659561474;0.05;0.36;0.49;11341
1659561475;0.04;0.35;0.48;0
1659561476;0.04;0.35;0.48;89
1659561477;0.03;0.34;0.48;0
1659561478;0.03;0.34;0.48;56
1659561479;0.02;0.32;0.48;25
1659561480;0.02;0.32;0.48;2449
1659561481;0.02;0.31;0.47;11
1659561482;0.02;0.31;0.47;105
