L-reg-noswap;64;cpu;;;threadripper-3970x-128gb-gentoo-langdale-2022-07-with-reg-cpu-pressure-no-dash-l;4-build-all-cores
TIME;AVG10;AVG60;AVG300;DIFF
1659619702;0.22;0.16;0.05;25127
1659619703;0.22;0.16;0.05;116929
1659619704;1.26;0.35;0.09;11180
1659619705;1.26;0.35;0.09;83700
1659619706;3.39;0.77;0.18;210248
1659619707;3.39;0.77;0.18;56744
1659619708;3.5;0.87;0.2;11737
1659619709;3.5;0.87;0.2;14658
1659619710;3.05;0.88;0.21;25087
1659619711;3.05;0.88;0.21;24475
1659619712;2.67;0.88;0.21;26126
1659619713;2.67;0.88;0.21;127177
1659619714;3.82;1.15;0.27;37896
1659619715;3.82;1.15;0.27;24827
1659619716;3.49;1.17;0.29;23506
1659619717;3.49;1.17;0.29;16863
1659619718;3.22;1.2;0.3;16564
1659619719;3.22;1.2;0.3;18317
1659619720;3.36;1.29;0.32;132514
1659619721;3.36;1.29;0.32;25761
1659619722;3.47;1.38;0.35;20187
1659619723;3.47;1.38;0.35;18462
1659619724;3.21;1.4;0.36;22393
1659619725;3.21;1.4;0.36;24474
1659619726;2.81;1.39;0.37;5478
1659619727;2.81;1.39;0.37;122789
1659619728;3.38;1.54;0.4;6244
1659619729;3.38;1.54;0.4;28964
1659619730;4.22;1.75;0.46;137213
1659619731;4.22;1.75;0.46;214409
1659619732;5.63;2.09;0.54;41356
1659619733;5.63;2.09;0.54;24090
1659619734;5.51;2.18;0.57;84813
1659619735;5.51;2.18;0.57;35634
1659619736;4.88;2.18;0.58;18282
1659619737;4.88;2.18;0.58;7634
1659619738;4.9;2.27;0.61;118136
1659619739;4.9;2.27;0.61;47471
1659619740;6.18;2.59;0.68;189383
1659619741;6.18;2.59;0.68;33589
1659619742;5.61;2.6;0.7;8209
1659619743;5.61;2.6;0.7;34015
1659619744;6.22;2.81;0.76;865215
1659619745;6.22;2.81;0.76;127599
1659619746;12.7;4.09;1.04;22839
1659619747;12.7;4.09;1.04;36999
1659619748;10.94;4.06;1.05;35447
1659619749;10.94;4.06;1.05;26442
1659619750;9.32;3.99;1.06;133504
1659619751;9.32;3.99;1.06;226878
1659619752;10.89;4.45;1.18;13444
1659619753;10.89;4.45;1.18;108003
1659619754;9.82;4.46;1.2;7565
1659619755;9.82;4.46;1.2;124028
1659619756;9.13;4.51;1.24;184311
