L-reg-noswap;64;io;;;threadripper-3970x-128gb-gentoo-langdale-2022-07-with-reg-cpu-pressure-no-dash-l;4-build-all-cores
TIME;AVG10;AVG60;AVG300;DIFF
1659619702;0.0;0.12;0.1;526
1659619703;0.0;0.12;0.1;0
1659619704;0.0;0.11;0.1;605
1659619705;0.0;0.11;0.1;109
1659619706;0.0;0.11;0.1;3324
1659619707;0.0;0.11;0.1;535
1659619708;0.0;0.1;0.1;598
1659619709;0.0;0.1;0.1;326
1659619710;0.0;0.1;0.09;2256
1659619711;0.0;0.1;0.09;15988
1659619712;0.0;0.1;0.09;4294
1659619713;0.0;0.1;0.09;344
1659619714;0.0;0.09;0.09;4114
1659619715;0.0;0.09;0.09;168
1659619716;0.0;0.09;0.09;0
1659619717;0.0;0.09;0.09;92
1659619718;0.0;0.09;0.09;24
1659619719;0.0;0.09;0.09;47
1659619720;0.0;0.08;0.09;2163
1659619721;0.0;0.08;0.09;16589
1659619722;0.18;0.11;0.1;6672
1659619723;0.18;0.11;0.1;14945
1659619724;0.32;0.14;0.1;15645
1659619725;0.32;0.14;0.1;10250
1659619726;0.63;0.2;0.12;40122
1659619727;0.63;0.2;0.12;1231
1659619728;0.51;0.2;0.11;1
1659619729;0.51;0.2;0.11;115
1659619730;0.42;0.19;0.11;0
1659619731;0.42;0.19;0.11;126
1659619732;0.34;0.18;0.11;7721
1659619733;0.34;0.18;0.11;5235
1659619734;0.28;0.18;0.11;1482
1659619735;0.28;0.18;0.11;551
1659619736;0.23;0.17;0.11;4269
1659619737;0.23;0.17;0.11;5750
1659619738;0.18;0.16;0.11;345
1659619739;0.18;0.16;0.11;5433
1659619740;0.15;0.16;0.11;17018
1659619741;0.15;0.16;0.11;9738
1659619742;0.12;0.15;0.11;1164
1659619743;0.12;0.15;0.11;1404
1659619744;0.1;0.15;0.11;2828
1659619745;0.1;0.15;0.11;266
1659619746;0.08;0.14;0.11;1278
1659619747;0.08;0.14;0.11;330
1659619748;0.06;0.14;0.1;1323
1659619749;0.06;0.14;0.1;893
1659619750;0.05;0.13;0.1;1492
1659619751;0.05;0.13;0.1;300
1659619752;0.04;0.13;0.1;266
1659619753;0.04;0.13;0.1;1892
1659619754;0.03;0.12;0.1;1550
1659619755;0.03;0.12;0.1;1817
1659619756;0.03;0.12;0.1;1795
1659619757;0.03;0.12;0.1;1391
1659619758;0.02;0.11;0.1;529
1659619759;0.02;0.11;0.1;1393
1659619760;0.01;0.11;0.1;352
1659619761;0.01;0.11;0.1;305
1659619762;0.01;0.11;0.1;842
1659619763;0.01;0.11;0.1;355
1659619764;0.01;0.1;0.1;5054
1659619765;0.01;0.1;0.1;8801
1659619766;0.01;0.1;0.1;202
1659619767;0.01;0.1;0.1;560
1659619768;0.0;0.1;0.09;514
1659619769;0.0;0.1;0.09;609
1659619770;0.0;0.09;0.09;9639
1659619771;0.0;0.09;0.09;875
1659619772;0.0;0.09;0.09;721
1659619773;0.0;0.09;0.09;26143
1659619774;0.91;0.25;0.13;167723
1659619775;0.91;0.25;0.13;84721
1659619776;2.55;0.57;0.19;103675
1659619777;2.55;0.57;0.19;44613
1659619778;3.18;0.75;0.23;33945
1659619779;3.18;0.75;0.23;0
1659619780;2.6;0.72;0.23;772
1659619781;2.6;0.72;0.23;2159
1659619782;2.13;0.7;0.23;0
1659619783;2.13;0.7;0.23;34020
1659619784;2.1;0.74;0.24;31389
1659619785;2.1;0.74;0.24;32073
1659619786;2.45;0.85;0.27;56226
1659619787;2.45;0.85;0.27;0
1659619788;2.0;0.82;0.27;203
