L-reg-noswap;8;cpu;;;threadripper-3970x-128gb-gentoo-langdale-2022-07-with-reg-cpu-pressure-no-dash-l;5-build-8-bb-threads
TIME;AVG10;AVG60;AVG300;DIFF
1659627812;0.03;0.16;10.59;9264
1659627813;0.03;0.16;10.59;8055
1659627814;0.02;0.15;10.52;2681
1659627815;0.02;0.15;10.52;2668
1659627816;0.01;0.14;10.45;2906
1659627817;0.01;0.14;10.45;5796
1659627818;0.01;0.14;10.37;6394
1659627819;0.01;0.14;10.37;5527
1659627820;0.01;0.13;10.3;4430
1659627821;0.01;0.13;10.3;4528
1659627822;0.01;0.13;10.23;2560
1659627823;0.01;0.13;10.23;4403
1659627824;0.0;0.12;10.16;6633
1659627825;0.0;0.12;10.16;7842
1659627826;0.0;0.12;10.09;9141
1659627827;0.0;0.12;10.09;5938
1659627828;0.0;0.12;10.02;6568
1659627829;0.0;0.12;10.02;7876
1659627830;0.0;0.11;9.95;11947
1659627831;0.0;0.11;9.95;16397
1659627832;0.18;0.14;9.89;3813
1659627833;0.18;0.14;9.89;4865
1659627834;0.15;0.14;9.82;5602
1659627835;0.15;0.14;9.82;2943
1659627836;0.12;0.13;9.76;4370
1659627837;0.12;0.13;9.76;2364
1659627838;0.1;0.13;9.69;5221
1659627839;0.1;0.13;9.69;2231
1659627840;0.08;0.12;9.62;4042
1659627841;0.08;0.12;9.62;3629
1659627842;0.24;0.15;9.56;31194
1659627843;0.24;0.15;9.56;2233
1659627844;0.2;0.15;9.5;4170
1659627845;0.2;0.15;9.5;2698
1659627846;0.16;0.14;9.43;3788
1659627847;0.16;0.14;9.43;3130
1659627848;0.13;0.14;9.37;3439
1659627849;0.13;0.14;9.37;3495
1659627850;0.11;0.13;9.3;2149
1659627851;0.11;0.13;9.3;4105
1659627852;0.09;0.13;9.24;3582
1659627853;0.09;0.13;9.24;3403
1659627854;0.07;0.12;9.18;2935
1659627855;0.07;0.12;9.18;3416
1659627856;0.06;0.12;9.11;2349
1659627857;0.06;0.12;9.11;7205
1659627858;0.04;0.11;9.05;3952
1659627859;0.04;0.11;9.05;2109
1659627860;0.04;0.11;8.99;2513
1659627861;0.04;0.11;8.99;3160
1659627862;0.03;0.1;8.93;3300
1659627863;0.03;0.1;8.93;3884
1659627864;0.02;0.1;8.87;5535
1659627865;0.02;0.1;8.87;4248
1659627866;0.02;0.1;8.81;15496
1659627867;0.02;0.1;8.81;2108
1659627868;0.01;0.09;8.75;3797
1659627869;0.01;0.09;8.75;3075
1659627870;0.01;0.09;8.68;14741
1659627871;0.01;0.09;8.68;25364
1659627872;0.37;0.15;8.64;26640
1659627873;0.37;0.15;8.64;7023
1659627874;0.48;0.18;8.59;9784
1659627875;0.48;0.18;8.59;6601
1659627876;0.39;0.17;8.53;5382
1659627877;0.39;0.17;8.53;5334
1659627878;0.32;0.17;8.47;2361
1659627879;0.32;0.17;8.47;3104
1659627880;0.26;0.16;8.41;3384
1659627881;0.26;0.16;8.41;3348
1659627882;0.21;0.16;8.35;6964
1659627883;0.21;0.16;8.35;2042
1659627884;0.17;0.15;8.3;5886
1659627885;0.17;0.15;8.3;3651
1659627886;0.14;0.15;8.24;4156
1659627887;0.14;0.15;8.24;3527
1659627888;0.11;0.14;8.18;3424
1659627889;0.11;0.14;8.18;4436
1659627890;0.09;0.14;8.13;3684
1659627891;0.09;0.14;8.13;3645
1659627892;0.07;0.13;8.07;5185
1659627893;0.07;0.13;8.07;5330
1659627894;0.06;0.13;8.01;4070
1659627895;0.06;0.13;8.01;1192
1659627896;0.05;0.12;7.96;1300
1659627897;0.05;0.12;7.96;935
1659627898;0.04;0.12;7.9;1137
1659627899;0.04;0.12;7.9;1551
1659627900;0.03;0.11;7.85;1944
1659627901;0.03;0.11;7.85;2312
1659627902;0.02;0.11;7.8;3204
1659627903;0.02;0.11;7.8;3346
1659627904;0.02;0.1;7.74;11550
1659627905;0.02;0.1;7.74;10440
1659627906;0.38;0.17;7.7;28184
1659627907;0.38;0.17;7.7;361001
1659627908;3.39;0.72;7.77;3107
1659627909;3.39;0.72;7.77;3645
1659627910;2.77;0.69;7.71;4029
1659627911;2.77;0.69;7.71;2303
1659627912;2.81;0.77;7.68;75383
1659627913;2.81;0.77;7.68;52881
1659627914;2.85;0.84;7.65;25913
1659627915;2.85;0.84;7.65;2889
1659627916;2.33;0.81;7.6;15612
1659627917;2.33;0.81;7.6;2992
1659627918;1.91;0.79;7.54;3562
1659627919;1.91;0.79;7.54;26659
1659627920;1.74;0.79;7.5;1864
1659627921;1.74;0.79;7.5;3848
1659627922;1.42;0.77;7.45;3146
1659627923;1.42;0.77;7.45;3008
1659627924;1.16;0.74;7.4;5396
1659627925;1.16;0.74;7.4;2742
1659627926;0.95;0.72;7.35;2257
1659627927;0.95;0.72;7.35;42858
1659627928;0.96;0.73;7.3;1175
1659627929;0.96;0.73;7.3;1435
1659627930;0.79;0.7;7.25;1622
1659627931;0.79;0.7;7.25;2178
1659627932;0.64;0.68;7.2;3627
1659627933;0.64;0.68;7.2;2916
1659627934;0.71;0.69;7.16;25990
1659627935;0.71;0.69;7.16;3186
1659627936;0.58;0.67;7.11;3993
1659627937;0.58;0.67;7.11;2343
1659627938;0.47;0.64;7.06;2047
1659627939;0.47;0.64;7.06;1589
1659627940;0.39;0.62;7.01;1280
1659627941;0.39;0.62;7.01;1609
1659627942;0.31;0.6;6.96;1527
1659627943;0.31;0.6;6.96;1962
1659627944;0.26;0.58;6.92;3164
1659627945;0.26;0.58;6.92;3204
1659627946;0.21;0.56;6.87;2416
1659627947;0.21;0.56;6.87;2168
1659627948;0.17;0.54;6.82;27071
1659627949;0.17;0.54;6.82;12421
1659627950;0.32;0.56;6.78;2845
1659627951;0.32;0.56;6.78;24176
1659627952;0.62;0.61;6.75;15127
1659627953;0.62;0.61;6.75;50299
1659627954;0.87;0.65;6.72;7903
1659627955;0.87;0.65;6.72;3337
1659627956;0.71;0.63;6.67;4401
1659627957;0.71;0.63;6.67;2585
1659627958;0.58;0.61;6.62;4932
1659627959;0.58;0.61;6.62;4291
1659627960;0.48;0.59;6.58;2564
1659627961;0.48;0.59;6.58;3183
1659627962;0.39;0.57;6.53;2929
1659627963;0.39;0.57;6.53;2759
1659627964;0.32;0.55;6.49;4304
1659627965;0.32;0.55;6.49;1982
1659627966;0.26;0.53;6.44;4125
1659627967;0.26;0.53;6.44;1858
1659627968;0.21;0.51;6.4;2251
1659627969;0.21;0.51;6.4;2326
1659627970;0.17;0.5;6.35;3599
1659627971;0.17;0.5;6.35;2529
1659627972;0.14;0.48;6.31;2085
1659627973;0.14;0.48;6.31;3283
1659627974;0.11;0.46;6.27;4190
1659627975;0.11;0.46;6.27;4356
1659627976;0.09;0.45;6.22;2416
1659627977;0.09;0.45;6.22;2672
