L-reg-noswap;8;io;;;threadripper-3970x-128gb-gentoo-langdale-2022-07-with-reg-cpu-pressure-no-dash-l;5-build-8-bb-threads
TIME;AVG10;AVG60;AVG300;DIFF
1659627812;0.31;2.02;0.93;0
1659627813;0.31;2.02;0.93;1977
1659627814;0.25;1.95;0.92;701
1659627815;0.25;1.95;0.92;0
1659627816;0.2;1.89;0.91;0
1659627817;0.2;1.89;0.91;0
1659627818;0.17;1.83;0.91;1
1659627819;0.17;1.83;0.91;256
1659627820;0.14;1.77;0.9;2290
1659627821;0.14;1.77;0.9;0
1659627822;0.11;1.71;0.89;0
1659627823;0.11;1.71;0.89;971
1659627824;0.09;1.65;0.89;10665
1659627825;0.09;1.65;0.89;2684
1659627826;0.07;1.6;0.88;295
1659627827;0.07;1.6;0.88;44345
1659627828;0.6;1.64;0.9;34221
1659627829;0.6;1.64;0.9;41117
1659627830;1.4;1.75;0.92;71036
1659627831;1.4;1.75;0.92;31132
1659627832;1.69;1.79;0.94;12411
1659627833;1.69;1.79;0.94;229
1659627834;1.38;1.74;0.93;10430
1659627835;1.38;1.74;0.93;2163
1659627836;1.13;1.68;0.92;0
1659627837;1.13;1.68;0.92;868
1659627838;0.92;1.62;0.92;1895
1659627839;0.92;1.62;0.92;139
1659627840;0.76;1.57;0.91;10470
1659627841;0.76;1.57;0.91;60911
1659627842;1.16;1.62;0.93;1727
1659627843;1.16;1.62;0.93;4458
1659627844;0.95;1.56;0.92;4186
1659627845;0.95;1.56;0.92;164
1659627846;0.78;1.51;0.91;1891
1659627847;0.78;1.51;0.91;0
1659627848;0.63;1.46;0.91;456
1659627849;0.63;1.46;0.91;946
1659627850;0.52;1.41;0.9;360
1659627851;0.52;1.41;0.9;10789
1659627852;0.42;1.37;0.89;147
1659627853;0.42;1.37;0.89;416
1659627854;0.35;1.32;0.89;1160
1659627855;0.35;1.32;0.89;133
1659627856;0.28;1.28;0.88;2483
1659627857;0.28;1.28;0.88;417
1659627858;0.23;1.24;0.87;746
1659627859;0.23;1.24;0.87;28
1659627860;0.19;1.19;0.87;227
1659627861;0.19;1.19;0.87;7945
1659627862;0.15;1.16;0.86;1091
1659627863;0.15;1.16;0.86;430
1659627864;0.12;1.12;0.86;3529
1659627865;0.12;1.12;0.86;2211
1659627866;0.1;1.08;0.85;2478
1659627867;0.1;1.08;0.85;0
1659627868;0.08;1.04;0.84;313
1659627869;0.08;1.04;0.84;961
1659627870;0.06;1.01;0.84;711
1659627871;0.06;1.01;0.84;0
1659627872;0.23;1.01;0.84;25229
1659627873;0.23;1.01;0.84;0
1659627874;0.19;0.98;0.83;3279
1659627875;0.19;0.98;0.83;3458
1659627876;0.15;0.94;0.83;1537
1659627877;0.15;0.94;0.83;47294
