builder-name;codename;cpu;cpu-link;cores;threads;freq;ram;ram-type;ram-link;channels;channels used;modules;freq;swap;raid;drives;drives-link;filesystem;OS;Kernel;System;System Link;other
core-i7-4790k-dunfell;envia;Core i7-4790K;https://ark.intel.com/content/www/us/en/ark/products/80807/intel-core-i74790k-processor-8m-cache-up-to-4-40-ghz.html;4;8;4.0-4.4;32;DDR3-UDIMM;https://www.crucial.com/memory/ddr3/ct102464bd160b;2;2;4x8G;?;32G;?;400GB Intel SSDPEDMW400G4;https://ark.intel.com/content/www/us/en/ark/products/86742/intel-ssd-750-series-400gb-2-5in-pcie-3-0-20nm-mlc.html;xfs with defaults;Debian 10;?;ASUS Z97-PRO;https://www.asus.com/SupportOnly/Z97-PRO/HelpDesk_Knowledge/;Tower
dual-Epyc-7745;beast;2x AMD EPYC 7742;https://www.amd.com/en/products/cpu/amd-epyc-7742;128;256;2.25-3.4;256;DDR4 RDIMM ECC;https://www.nemixram.com/32gb-1-x-32gb-ddr4-2666-pc4-21300-ecc-registered-memorymr21300-324k01-g.html;16;8;8x32G;2666;?;?;?;?;?;?;?;Gigabyte R282-Z93;https://www.gigabyte.com/cz/Rack-Server/R282-Z93-rev-100#ov;---
dual-Epyc-7763;wendell;2x AMD EPYC 7763;https://www.amd.com/en/products/cpu/amd-epyc-7763;128;256;2.45-3.5;512;DDR4 RDIMM ECC;https://www.micron.com/products/dram-modules/rdimm/part-catalog/mta36asf4g72pz-3g2;16;16;16x32G;3200;?;?;"Kioxia CD6 1.6TB; KCD6XVUL1T60";https://business.kioxia.com/en-ca/ssd/data-center-ssd/cd6-v.html;ext4;Ubuntu 20.04;5.12.0-rc1;AMD Daytona X;;---
dual-Xeon-E5-2630-v4-ubuntu-18.04-zeus;PR-ftab;2x Xeon E4-2630-v4;https://ark.intel.com/content/www/us/en/ark/products/92981/intel-xeon-processor-e5-2630-v4-25m-cache-2-20-ghz.html;20;40;2.2-3.1;96;DDR4;;2x4;?;?;?;?;no?;1TB Samsung 970 Evo Plus;https://www.samsung.com/us/computing/memory-storage/solid-state-drives/ssd-970-evo-plus-nvme-m-2-1-tb-mz-v7s1t0b-am/;ext4;Ubuntu 18.04;4.15?;Dell Precision 7810;;
dual-Xeon-E5-2630-v4-ubuntu-20.04-zeus;PR-ftab;2x Xeon E4-2630-v4;https://ark.intel.com/content/www/us/en/ark/products/92981/intel-xeon-processor-e5-2630-v4-25m-cache-2-20-ghz.html;20;40;2.2-3.1;96;DDR4;;2x4;?;?;?;?;no?;1TB Samsung 970 Evo Plus;https://www.samsung.com/us/computing/memory-storage/solid-state-drives/ssd-970-evo-plus-nvme-m-2-1-tb-mz-v7s1t0b-am/;ext4;Ubuntu 20.04;4.15?;Dell Precision 7810;;
dual-Xeon-E5-2670-8-channels-zeus;raven;2x Xeon E5-2670;https://ark.intel.com/content/www/us/en/ark/products/64595/intel-xeon-processor-e5-2670-20m-cache-2-60-ghz-8-00-gt-s-intel-qpi.html;16;32;2.6;64;DDR3 RDIMM;M393B1K70DH0-YK0;2x4;8;8x8G;1600;30G;RAID0 on DELL PERC H710P;6x 300GB SAS 6Gb/s 15K RPM;Seagate ST9300653SS;ext4 nobarrier commit=6000;Ubuntu 18.04;4.15.0-76;DELL PowerEdge R620;https://www.dell.com/downloads/global/products/pedge/en/Dell_PowerEdge_R620_Spec_Sheet.pdf;---
dual-Xeon-E5-2698-v3-4-channels-zeus;herb;2x Xeon E4-2698-v3;https://ark.intel.com/content/www/us/en/ark/products/81060/intel-xeon-processor-e5-2698-v3-40m-cache-2-30-ghz.html;32;64;2.3;64;DDR4 RDIMM ECC;Micron 18ASF2G72PDZ-2G3B1;2x4;4;4x16G;2400;192G;---;1TB SATA SSD Samsung 850;;ext4;Ubuntu 18.04;---;Dell Precision Tower 7810;;
dual-Xeon-E5-2698-v4-4-channels-no-journal-zeus;kangaroo;2x Xeon E5-2698-v4;https://ark.intel.com/content/www/us/en/ark/products/91753/intel-xeon-processor-e5-2698-v4-50m-cache-2-20-ghz.html;40;80;2.2;256;DDR4 LRDIMM ECC;HPE 809085-091;2x4;4;4x64G;2400 CL17;30G;RAID0 on HP P244br;2x 1600G SATA SSDs;HPE LK1600GEYMV;ext4 nobarrier nojournal;Ubuntu 18.04;4.15.0-76;HPE ProLiant BL460c Gen9;https://h20195.www2.hpe.com/v2/default.aspx?cc=be&lc=en&oid=7271227;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs-zeus;kangaroo;2x Xeon E5-2698-v4;https://ark.intel.com/content/www/us/en/ark/products/91753/intel-xeon-processor-e5-2698-v4-50m-cache-2-20-ghz.html;40;80;2.2;256;DDR4 LRDIMM ECC;HPE 809085-091;2x4;4;4x64G;2400 CL17;30G;RAID0 on HP P244br;128G tmpfs;;;Ubuntu 18.04;4.15.0-76;HPE ProLiant BL460c Gen9;https://h20195.www2.hpe.com/v2/default.aspx?cc=be&lc=en&oid=7271227;---
dual-Xeon-E5-2698-v4-4-channels-zeus;kangaroo;2x Xeon E5-2698-v4;https://ark.intel.com/content/www/us/en/ark/products/91753/intel-xeon-processor-e5-2698-v4-50m-cache-2-20-ghz.html;40;80;2.2;256;DDR4 LRDIMM ECC;HPE 809085-091;2x4;4;4x64G;2400 CL17;30G;RAID0 on HP P244br;2x 1600G SATA SSDs;HPE LK1600GEYMV;ext4 nobarrier nojournal;Ubuntu 18.04;4.15.0-76;HPE ProLiant BL460c Gen9;https://h20195.www2.hpe.com/v2/default.aspx?cc=be&lc=en&oid=7271227;---
