builder;bb;user;system;elapsed;cpu;avgtest;avgdata;maxresident;inputs;outputs;major;minor;swaps
VM-20t-157G-zeus;2-build-test;1.32;0.21;3:35.09;0;0;0;32436;4240;2648;7;22126;0
VM-20t-157G-zeus;3-fetch;8.54;2.17;44:55.26;0;0;0;28660;16;136;0;13694;0
VM-20t-98G-zeus;1-init;49.34;19.79;1:08.28;101;0;0;134040;2856;679880;0;149635;0
VM-20t-98G-zeus;2-build-test;1.34;0.58;3:31.44;0;0;0;32304;0;2736;0;19119;0
VM-20t-98G-zeus;3-fetch;8.80;3.13;13:00.65;1;0;0;29380;0;696;0;13852;0
core-i7-4790k-dunfell;1-init;28.39;8.89;2:20.04;26;0;0;168892;30216;800176;57;102648;0
core-i7-4790k-dunfell;2-build-test;0.47;0.04;1:28.80;0;0;0;39292;13648;2744;33;21036;0
core-i7-4790k-dunfell;3-fetch;9.58;1.39;1:21:59;0;0;0;36924;40;808;0;14369;0
dual-Epyc-7763;1-init;0.12;0.08;0:00.16;119;0;0;42768;0;4032;0;11446;0
dual-Epyc-7763;2-build-test;0.28;0.01;0:25.26;1;0;0;29228;0;176;0;13634;0
dual-Epyc-7763;3-fetch;2.09;3.47;3:25.57;2;0;0;29332;0;456;0;17708;0
dual-Xeon-E5-2630-v4-ubuntu-18.04-zeus;1-init;49.81;14.69;5:36.76;19;0;0;333880;7608;750376;17;228346;0
dual-Xeon-E5-2630-v4-ubuntu-18.04-zeus;2-build-test;0.73;0.09;0:54.46;1;0;0;32012;1744;2704;0;21375;0
dual-Xeon-E5-2630-v4-ubuntu-18.04-zeus;3-fetch;1.20;0.18;0:25.01;5;0;0;29316;8;424;0;15808;0
dual-Xeon-E5-2630-v4-ubuntu-20.04-zeus;1-init;0.26;0.22;0:00.46;103;0;0;40184;80448;4040;683;12915;0
dual-Xeon-E5-2630-v4-ubuntu-20.04-zeus;2-build-test;0.70;0.11;0:54.57;1;0;0;40476;4752;2688;5;24402;0
dual-Xeon-E5-2630-v4-ubuntu-20.04-zeus;3-fetch;1.44;0.20;0:57.25;2;0;0;37248;0;432;0;16986;0
dual-Xeon-E5-2670-8-channels-zeus;1-init;31.67;7.51;0:56.75;69;0;0;130336;47336;679064;17;186885;0
dual-Xeon-E5-2670-8-channels-zeus;2-build-test;0.75;0.11;1:04.47;1;0;0;32292;5816;2704;13;20574;0
dual-Xeon-E5-2670-8-channels-zeus;3-fetch;5.98;1.00;8:57.42;1;0;0;29548;0;504;0;20974;0
dual-Xeon-E5-2698-v3-4-channels-zeus;1-init;27.87;5.88;0:58.78;57;0;0;131992;21600;679656;26;186551;0
dual-Xeon-E5-2698-v3-4-channels-zeus;2-build-test;0.75;0.10;0:55.58;1;0;0;32080;7984;2704;14;19601;0
dual-Xeon-E5-2698-v3-4-channels-zeus;3-fetch;8.25;1.34;16:00.08;1;0;0;29472;8;576;0;22627;0
dual-Xeon-E5-2698-v4-4-channels-no-journal-zeus;1-init;30.46;11.10;1:09.03;60;0;0;131132;7560;723176;14;176985;0
dual-Xeon-E5-2698-v4-4-channels-no-journal-zeus;2-build-test;0.89;0.17;0:56.58;1;0;0;31752;7488;2816;17;19128;0
dual-Xeon-E5-2698-v4-4-channels-no-journal-zeus;3-fetch;6.84;1.05;13:01.66;1;0;0;29336;8;1032;0;20479;0
dual-Xeon-E5-2698-v4-4-channels-tmpfs-zeus;1-init;30.60;7.31;1:06.04;57;0;0;131856;0;0;0;182965;0
dual-Xeon-E5-2698-v4-4-channels-tmpfs-zeus;2-build-test;0.84;0.11;0:57.99;1;0;0;31960;0;0;0;19144;0
dual-Xeon-E5-2698-v4-4-channels-tmpfs-zeus;3-fetch;6.37;1.14;8:54.23;1;0;0;29344;0;0;0;21323;0
dual-Xeon-E5-2698-v4-4-channels-zeus;1-init;28.02;6.38;0:43.20;79;0;0;131748;6640;679064;14;178147;0
dual-Xeon-E5-2698-v4-4-channels-zeus;2-build-test;0.90;0.11;0:54.79;1;0;0;31708;4720;2704;9;19155;0
dual-Xeon-E5-2698-v4-4-channels-zeus;3-fetch;6.13;1.03;8:59.35;1;0;0;29280;8;488;0;21207;0
dual-Xeon-E5-2699-v3-8-channels-tmpfs-zeus;1-init;26.17;6.74;1:31.58;35;0;0;134176;0;0;0;176579;0
dual-Xeon-E5-2699-v3-8-channels-tmpfs-zeus;2-build-test;0.65;0.06;0:53.10;1;0;0;32124;0;0;0;19158;0
dual-Xeon-E5-2699-v3-8-channels-tmpfs-zeus;3-fetch;6.85;1.14;13:00.14;1;0;0;29356;0;0;0;21253;0
dual-Xeon-E5-2699-v3-8-channels-zeus;1-init;27.12;6.14;1:45.28;31;0;0;135888;33696;723296;14;176321;0
dual-Xeon-E5-2699-v3-8-channels-zeus;2-build-test;0.67;0.06;0:50.01;1;0;0;32064;5112;3368;11;18957;0
dual-Xeon-E5-2699-v3-8-channels-zeus;3-fetch;6.79;1.10;14:36.93;0;0;0;29348;8;1144;0;21201;0
dual-Xeon-Gold-6258R-zeus;1-init;15.57;2.03;0:35.79;49;0;0;150116;4944;746520;23;160240;0
dual-Xeon-Gold-6258R-zeus;2-build-test;0.43;0.05;0:26.43;1;0;0;32756;1368;2688;6;20314;0
dual-Xeon-Gold-6258R-zeus;3-fetch;3.22;0.49;29:50.19;0;0;0;29000;0;480;0;17632;0
ryzen-5-1600AF-zeus;1-init;20.65;4.54;3:13.14;13;0;0;135436;19264;713648;64;123551;0
