builder;bb;user;system;elapsed;cpu;avgtest;avgdata;maxresident;inputs;outputs;major;minor;swaps
VM-20t-157G-zeus;4-build-all;63.35;13.15;7:55:45;0;0;0;28552;10976;136;2;13755;0
VM-20t-157G-zeus;5-build-8;60.83;12.42;7:58:20;0;0;0;28924;152;136;1;13722;0
VM-20t-157G-zeus;6-build-16;66.14;16.38;8:00:15;0;0;0;28764;0;136;0;13841;0
VM-20t-157G-zeus;7-build-2;73.87;15.30;12:04:32;0;0;0;28516;8;136;0;13756;0
VM-20t-98G-zeus;4-build-all;71.57;18.97;10:58:48;0;0;0;29160;7824;8880;3;13942;0
VM-20t-98G-zeus;5-build-8;78.92;19.48;12:44:27;0;0;0;29120;1784;9360;12;13910;0
VM-20t-98G-zeus;6-build-16;80.43;19.85;15:27:47;0;0;0;29224;5264;8656;10;14009;0
VM-20t-98G-zeus;7-build-2;107.78;23.91;22:42:16;0;0;0;29548;1576;13720;11;13978;0
dual-Xeon-E5-2630-v4-ubuntu-18.04-zeus;4-build-all;54.80;6.66;3:52:15;0;0;0;28768;248;5552;1;58272;0
dual-Xeon-E5-2630-v4-ubuntu-18.04-zeus;5-build-8;56.30;6.89;4:00:01;0;0;0;28960;27328;6224;1781;59283;0
dual-Xeon-E5-2630-v4-ubuntu-18.04-zeus;6-build-16;54.02;6.46;3:50:49;0;0;0;28792;11256;5544;3;57398;0
dual-Xeon-E5-2630-v4-ubuntu-18.04-zeus;7-build-2;58.86;7.53;6:01:07;0;0;0;28892;11936;8096;12;62491;0
dual-Xeon-E5-2630-v4-ubuntu-20.04-zeus;4-build-all;52.10;6.25;3:54:25;0;0;0;36980;16;5568;0;58271;0
dual-Xeon-E5-2630-v4-ubuntu-20.04-zeus;5-build-8;51.69;6.65;4:02:36;0;0;0;36660;35344;6000;1715;56262;0
dual-Xeon-E5-2630-v4-ubuntu-20.04-zeus;6-build-16;51.30;6.40;3:53:16;0;0;0;36616;13336;5576;423;56324;0
dual-Xeon-E5-2670-8-channels-zeus;4-build-all;56.20;6.74;5:23:37;0;0;0;29288;25120;5912;1393;58885;0
dual-Xeon-E5-2670-8-channels-zeus;5-build-8;57.09;6.55;5:28:46;0;0;0;29168;38224;6456;1584;58205;0
dual-Xeon-E5-2670-8-channels-zeus;6-build-16;56.00;6.92;5:23:04;0;0;0;29160;35328;5968;1684;55198;0
dual-Xeon-E5-2670-8-channels-zeus;7-build-2;57.09;8.17;7:30:02;0;0;0;29004;13480;8424;365;60432;0
dual-Xeon-E5-2698-v3-4-channels-zeus;4-build-all;56.35;8.37;5:02:10;0;0;0;29296;82856;5624;4446;60958;0
dual-Xeon-E5-2698-v3-4-channels-zeus;5-build-8;62.39;20.12;10:50:58;0;0;0;28860;167184;12488;8912;72874;0
dual-Xeon-E5-2698-v3-4-channels-zeus;6-build-16;60.80;12.32;8:43:27;0;0;0;29096;132864;5584;6976;61535;0
dual-Xeon-E5-2698-v3-4-channels-zeus;7-build-2;58.12;8.49;4:55:58;0;0;0;29028;44512;9064;1823;55015;0
