builder;ram;channels;swap;desc;-j;PN;e;S;U;P;c;w;R;F;M
VM-20t-157G-zeus;157;0;1G;;10;chromium-x11;16180.56;5.29;19.62;0%;51113;180869;9875;0;28584
VM-20t-157G-zeus;157;0;1G;;10;qtbase;1406.53;0.78;1.71;0%;42;14140;9928;0;28600
VM-20t-157G-zeus;157;0;1G;;10;qtdeclarative;663.53;0.92;1.71;0%;2450;15679;9866;0;28640
VM-20t-157G-zeus;157;0;1G;;10;qtwebengine;5113.95;2.87;7.67;0%;34355;79087;9882;0;28456
VM-20t-157G-zeus;157;0;1G;;10;rust-native;3859.04;0.95;3.25;0%;29;23711;9881;0;28576
VM-20t-157G-zeus;157;0;1G;;15;chromium-x11;10917.49;5.89;18.71;0%;61424;172747;9845;0;28528
VM-20t-157G-zeus;157;0;1G;;15;qtbase;1219.36;0.74;1.95;0%;23;13711;9865;0;28440
VM-20t-157G-zeus;157;0;1G;;15;qtdeclarative;524.87;0.51;1.45;0%;8268;15209;9875;0;28640
VM-20t-157G-zeus;157;0;1G;;15;qtwebengine;3531.19;2.91;7.46;0%;26744;72561;9853;0;28644
VM-20t-157G-zeus;157;0;1G;;15;rust-native;3771.48;0.83;3.00;0%;35;23388;9868;0;28452
VM-20t-157G-zeus;157;0;1G;;20;chromium-x11;9228.53;5.48;16.46;0%;87196;179958;9869;0;28448
VM-20t-157G-zeus;157;0;1G;;20;qtbase;1068.96;0.94;1.85;0%;28;15117;9844;0;28700
VM-20t-157G-zeus;157;0;1G;;20;qtdeclarative;477.05;0.29;1.30;0%;24;11384;9849;0;28632
VM-20t-157G-zeus;157;0;1G;;20;qtwebengine;3029.42;2.64;6.62;0%;34863;79016;9856;0;28556
VM-20t-157G-zeus;157;0;1G;;20;rust-native;3872.41;1.01;3.26;0%;41;23588;9862;0;28780
athlon-3000g-zeus;16;2;64G;-qt-5.14;4;qtbase;3673.30;0.14;1.57;0%;33;30686;9984;12;28936
athlon-3000g-zeus;16;2;64G;-qt-5.14;4;qtdeclarative;948.70;0.10;0.93;0%;455;16763;10032;0;29016
core-i7-4790k-dunfell;32;2;32G;;4;chromium-x11;18467.00;1.45;11.90;0%;23;204853;11221;9;36740
core-i7-4790k-dunfell;32;2;32G;;4;qtbase;1805.46;0.09;0.79;0%;1;20708;11224;0;36948
core-i7-4790k-dunfell;32;2;32G;;4;qtdeclarative;495.64;0.08;0.42;0%;5;15263;11235;0;37052
core-i7-4790k-dunfell;32;2;32G;;4;qtwebengine;5421.27;0.44;4.56;0%;10;82938;11267;0;36856
core-i7-4790k-dunfell;32;2;32G;;4;rust-native;1845.54;0.13;0.67;0%;2;17476;11227;0;36756
core-i7-4790k-dunfell;32;2;32G;;6;chromium-x11;16815.78;1.19;11.21;0%;6;158595;11221;0;36708
core-i7-4790k-dunfell;32;2;32G;;6;qtbase;1713.39;0.10;0.75;0%;1;20326;11250;0;37228
core-i7-4790k-dunfell;32;2;32G;;6;qtdeclarative;453.70;0.07;0.45;0%;3;15585;11249;0;36796
core-i7-4790k-dunfell;32;2;32G;;6;qtwebengine;4977.48;0.43;4.40;0%;17;66546;11237;0;36900
core-i7-4790k-dunfell;32;2;32G;;6;rust-native;1746.05;0.07;0.70;0%;1;17172;11236;0;36868
core-i7-4790k-dunfell;32;2;32G;;8;chromium-x11;15384.30;1.06;10.86;0%;10;149492;11286;0;36900
core-i7-4790k-dunfell;32;2;32G;;8;qtbase;1649.93;0.12;0.72;0%;4;20029;11223;0;36932
core-i7-4790k-dunfell;32;2;32G;;8;qtdeclarative;417.25;0.09;0.39;0%;3;15122;11248;0;37132
core-i7-4790k-dunfell;32;2;32G;;8;qtwebengine;4564.15;0.41;4.21;0%;5;63408;11266;0;36884
