builder;threads;block size;total size;ops/s;MiB/s;min;avg;max;95th;sum
dual-Xeon-E5-2670-8-channels-zeus/sysbench-1K-1T.txt;1;1KiB;6144MiB;3750931.95;3663.02;0.00;0.00;0.17;0.00;751.58
dual-Xeon-E5-2670-8-channels-zeus/sysbench-1K.txt;64;1KiB;6144MiB;8251441.93;8058.05;0.00;0.01;63.71;0.01;35742.88
dual-Xeon-E5-2670-8-channels-zeus/sysbench-1M-1T.txt;1;1024KiB;6144MiB;13880.85;13880.85;0.07;0.07;0.24;0.07;436.92
dual-Xeon-E5-2670-8-channels-zeus/sysbench-1M.txt;64;1024KiB;6144MiB;60901.80;60901.80;0.07;0.58;30.58;1.42;3541.24
dual-Xeon-E5-2698-v4-4-channels-tmpfs-zeus/sysbench-1K-1T.txt;1;1KiB;131072MiB;5480792.26;5352.34;0.00;0.00;0.55;0.00;4436.92
dual-Xeon-E5-2698-v4-4-channels-tmpfs-zeus/sysbench-1K.txt;64;1KiB;131072MiB;8680153.57;8476.71;0.00;0.01;20.04;0.01;616755.12
dual-Xeon-E5-2698-v4-4-channels-tmpfs-zeus/sysbench-1M-1T.txt;1;1024KiB;131072MiB;16988.74;16988.74;0.05;0.06;0.66;0.09;7674.62
dual-Xeon-E5-2698-v4-4-channels-tmpfs-zeus/sysbench-1M.txt;64;1024KiB;131072MiB;31920.24;31920.24;0.05;1.00;16.75;2.97;131642.18
dual-Xeon-E5-2699-v3-8-channels-tmpfs-zeus/sysbench-1K-1T.txt;1;1KiB;131072MiB;5607622.44;5476.19;0.00;0.00;0.50;0.00;4386.13
dual-Xeon-E5-2699-v3-8-channels-tmpfs-zeus/sysbench-1K.txt;64;1KiB;131072MiB;9316025.65;9097.68;0.00;0.01;15.72;0.01;615769.95
dual-Xeon-E5-2699-v3-8-channels-tmpfs-zeus/sysbench-1M-1T.txt;1;1024KiB;131072MiB;17208.47;17208.47;0.06;0.06;0.53;0.06;7579.28
dual-Xeon-E5-2699-v3-8-channels-tmpfs-zeus/sysbench-1M.txt;64;1024KiB;131072MiB;51588.66;51588.66;0.06;0.74;16.81;2.61;96725.08
dual-Xeon-Gold-6258R-zeus/sysbench-1K-1T.txt;1;1KiB;6144MiB;6837636.31;6677.38;0.00;0.00;0.02;0.00;447.58
threadripper-3970x-128gb-mbw-2666-2-channels-zeus/sysbench-1K-1T.txt;1;1KiB;40960MiB;7869176.71;7684.74;0.00;0.00;0.04;0.00;2273.54
