builder;ram;channels;swap;desc;-j;PN;e;S;U;P;c;w;R;F;M
athlon-3000g;16;2;64G;-qt-5.14;4;qtbase;3673.30;0.14;1.57;0%;33;30686;9984;12;28936
athlon-3000g;16;2;64G;-qt-5.14;4;qtdeclarative;948.70;0.10;0.93;0%;455;16763;10032;0;29016
ryzen-5-1600AF;16;2;64G;-qt-5.14;12;qtbase;1177.69;0.08;0.74;0%;3;19245;10004;0;29136
ryzen-5-1600AF;16;2;64G;-qt-5.14;12;qtdeclarative;321.42;0.06;0.47;0%;2;16167;9996;0;29012
ryzen-5-1600AF;16;2;64G;-qt-5.14;12;qtwebengine;1450.68;0.07;1.21;0%;127;25502;10033;4;28900
threadripper-3970x-128gb;128;2;64G;-2666-tmpfs;32;chromium-x11;2804.66;1.49;16.26;0%;1903;136364;10561;0;30384
threadripper-3970x-128gb;128;2;64G;-2666-tmpfs;32;qtbase;387.26;0.08;0.53;0%;44;11694;10542;0;30412
threadripper-3970x-128gb;128;2;64G;-2666-tmpfs;32;qtdeclarative;162.03;0.04;0.38;0%;30;10645;10571;0;30508
threadripper-3970x-128gb;128;2;64G;-2666-tmpfs;32;qtwebengine;869.28;0.35;3.84;0%;586;60911;10572;0;30624
threadripper-3970x-128gb;128;2;64G;-2666-tmpfs;48;chromium-x11;2707.09;1.99;22.21;0%;3688;120776;10566;0;30532
threadripper-3970x-128gb;128;2;64G;-2666-tmpfs;48;qtbase;407.16;0.08;0.62;0%;44;11609;10546;0;30480
threadripper-3970x-128gb;128;2;64G;-2666-tmpfs;48;qtdeclarative;161.93;0.09;0.33;0%;31;10620;10562;0;30500
threadripper-3970x-128gb;128;2;64G;-2666-tmpfs;48;qtwebengine;831.58;0.45;5.30;0%;686;55424;10628;3;29696
threadripper-3970x-128gb;128;2;64G;-2666-tmpfs;64;chromium-x11;2717.50;2.13;22.35;0%;4607;100250;10592;0;30504
threadripper-3970x-128gb;128;2;64G;-2666-tmpfs;64;qtbase;548.87;0.05;1.09;0%;44;12327;10570;0;30668
threadripper-3970x-128gb;128;2;64G;-2666-tmpfs;64;qtdeclarative;201.15;0.06;0.55;0%;30;10783;10563;0;30492
threadripper-3970x-128gb;128;2;64G;-2666-tmpfs;64;qtwebengine;887.12;0.75;8.65;1%;1681;47381;10572;0;30144
threadripper-3970x-128gb;128;2;64G;-2666;32;chromium-x11;3544.82;2.20;22.30;0%;2562;136267;10555;0;30540
threadripper-3970x-128gb;128;2;64G;-2666;32;qtbase;489.14;0.05;0.81;0%;36;11928;10544;0;30508
threadripper-3970x-128gb;128;2;64G;-2666;32;qtdeclarative;181.34;0.05;0.45;0%;34;12223;10555;0;30496
threadripper-3970x-128gb;128;2;64G;-2666;32;qtwebengine;982.06;0.46;4.46;0%;460;61075;10551;0;30532
threadripper-3970x-128gb;128;2;64G;-2666;48;chromium-x11;3573.45;2.76;30.45;0%;4802;122380;10572;0;30408
threadripper-3970x-128gb;128;2;64G;-2666;48;qtbase;531.80;0.09;0.87;0%;40;12063;10557;0;30660
threadripper-3970x-128gb;128;2;64G;-2666;48;qtdeclarative;198.50;0.06;0.49;0%;34;12382;10585;0;30504
threadripper-3970x-128gb;128;2;64G;-2666;48;qtwebengine;956.65;0.56;6.77;0%;889;55768;10554;0;30452
threadripper-3970x-128gb;128;2;64G;-2666;64;chromium-x11;4008.74;3.75;41.78;1%;7766;105520;10548;0;30596
threadripper-3970x-128gb;128;2;64G;-2666;64;qtbase;570.72;0.09;0.96;0%;339;13672;10556;0;30636
threadripper-3970x-128gb;128;2;64G;-2666;64;qtdeclarative;207.87;0.06;0.54;0%;36;10767;10576;0;30512
threadripper-3970x-128gb;128;2;64G;-2666;64;qtwebengine;1272.15;1.09;11.12;0%;2092;48637;10564;0;30468
threadripper-3970x-128gb;128;2;no;-2666-tmpfs;32;chromium-x11;2841.87;1.51;16.11;0%;1695;136246;10530;0;30540
threadripper-3970x-128gb;128;2;no;-2666-tmpfs;32;qtbase;420.69;0.05;0.68;0%;41;11745;10560;0;30580
threadripper-3970x-128gb;128;2;no;-2666-tmpfs;32;qtdeclarative;163.27;0.07;0.34;0%;28;10783;10550;0;30500
threadripper-3970x-128gb;128;2;no;-2666-tmpfs;32;qtwebengine;865.62;0.32;3.96;0%;418;60788;10541;0;30712
threadripper-3970x-128gb;128;2;no;-2666-tmpfs;48;chromium-x11;2821.37;2.05;23.68;0%;3756;120891;10545;0;30708
threadripper-3970x-128gb;128;2;no;-2666-tmpfs;48;qtbase;430.37;0.10;0.75;0%;51;11768;10596;0;30568
threadripper-3970x-128gb;128;2;no;-2666-tmpfs;48;qtdeclarative;168.90;0.07;0.37;0%;34;10895;10542;0;30592
threadripper-3970x-128gb;128;2;no;-2666-tmpfs;48;qtwebengine;796.27;0.48;5.51;0%;826;55681;10555;0;30592
threadripper-3970x-128gb;128;2;no;-2666-tmpfs;64;chromium-x11;2772.05;2.57;28.08;1%;5306;101299;10564;0;30736
threadripper-3970x-128gb;128;2;no;-2666-tmpfs;64;qtbase;491.18;0.08;0.78;0%;36;12250;10554;0;30356
threadripper-3970x-128gb;128;2;no;-2666-tmpfs;64;qtdeclarative;184.04;0.07;0.45;0%;35;10699;10542;0;30456
threadripper-3970x-128gb;128;2;no;-2666-tmpfs;64;qtwebengine;855.49;0.82;7.61;0%;1451;47026;10543;0;30592
threadripper-3970x-128gb;128;2;no;-2666;32;chromium-x11;2999.54;1.71;17.78;0%;1852;136285;10549;0;30552
threadripper-3970x-128gb;128;2;no;-2666;32;qtbase;435.25;0.04;0.77;0%;46;12962;10557;0;30740
threadripper-3970x-128gb;128;2;no;-2666;32;qtdeclarative;167.49;0.04;0.39;0%;37;10755;10540;0;30756
threadripper-3970x-128gb;128;2;no;-2666;32;qtwebengine;906.71;0.43;3.96;0%;382;60683;10546;0;30556
threadripper-3970x-128gb;128;2;no;-2666;48;chromium-x11;3005.53;2.04;24.78;0%;3803;123901;10528;0;30488
threadripper-3970x-128gb;128;2;no;-2666;48;qtbase;469.45;0.10;0.74;0%;53;13231;10604;0;30596
threadripper-3970x-128gb;128;2;no;-2666;48;qtdeclarative;176.44;0.07;0.40;0%;36;10694;10541;0;30484
threadripper-3970x-128gb;128;2;no;-2666;48;qtwebengine;906.03;0.66;6.01;0%;878;56372;10533;0;30548
threadripper-3970x-128gb;128;2;no;-2666;64;chromium-x11;3164.63;2.76;29.42;1%;5539;101696;10581;0;30480
threadripper-3970x-128gb;128;2;no;-2666;64;qtbase;489.54;0.08;0.96;0%;48;12114;10545;0;30548
