builder;bb;user;system;elapsed;cpu;avgtest;avgdata;maxresident;inputs;outputs;major;minor;swaps
dual-Xeon-E5-2670-8-channels;4-build-all;56.20;6.74;5:23:37;0;0;0;29288;25120;5912;1393;58885;0
dual-Xeon-E5-2670-8-channels;5-build-8;57.09;6.55;5:28:46;0;0;0;29168;38224;6456;1584;58205;0
dual-Xeon-E5-2670-8-channels;6-build-16;56.00;6.92;5:23:04;0;0;0;29160;35328;5968;1684;55198;0
dual-Xeon-E5-2670-8-channels;7-build-2;57.09;8.17;7:30:02;0;0;0;29004;13480;8424;365;60432;0
dual-Xeon-E5-2698-v3-4-channels;4-build-all;56.35;8.37;5:02:10;0;0;0;29296;82856;5624;4446;60958;0
dual-Xeon-E5-2698-v3-4-channels;5-build-8;62.39;20.12;10:50:58;0;0;0;28860;167184;12488;8912;72874;0
dual-Xeon-E5-2698-v3-4-channels;6-build-16;60.80;12.32;8:43:27;0;0;0;29096;132864;5584;6976;61535;0
dual-Xeon-E5-2698-v3-4-channels;7-build-2;58.12;8.49;4:55:58;0;0;0;29028;44512;9064;1823;55015;0
dual-Xeon-E5-2698-v4-4-channels-no-journal;4-build-all;54.50;6.04;2:18:20;0;0;0;29444;8;6176;0;54157;0
dual-Xeon-E5-2698-v4-4-channels-no-journal;5-build-8;57.50;6.57;2:38:04;0;0;0;29420;8;7208;0;59467;0
dual-Xeon-E5-2698-v4-4-channels-no-journal;6-build-16;57.05;6.32;2:17:53;0;0;0;29324;8;6304;0;57022;0
dual-Xeon-E5-2698-v4-4-channels-no-journal;7-build-2;58.53;7.39;4:53:05;0;0;0;29428;8;13880;0;60264;0
dual-Xeon-E5-2698-v4-4-channels-tmpfs;4-build-all;55.24;6.14;2:18:41;0;0;0;29420;0;0;0;57546;0
dual-Xeon-E5-2698-v4-4-channels-tmpfs;5-build-8;58.30;6.39;2:34:12;0;0;0;29384;0;0;0;58610;0
dual-Xeon-E5-2698-v4-4-channels-tmpfs;6-build-16;56.68;6.17;2:17:51;0;0;0;29356;0;0;0;58423;0
dual-Xeon-E5-2698-v4-4-channels-tmpfs;7-build-2;57.56;7.28;4:45:38;0;0;0;29376;0;0;0;57242;0
dual-Xeon-E5-2698-v4-4-channels;4-build-all;54.16;6.40;2:19:46;0;0;0;29312;8;5112;0;49746;0
dual-Xeon-E5-2698-v4-4-channels;5-build-8;57.84;7.06;2:33:29;0;0;0;29276;8;5736;0;57400;0
dual-Xeon-E5-2698-v4-4-channels;6-build-16;55.96;6.56;2:17:39;0;0;0;29324;8;5120;0;50447;0
dual-Xeon-E5-2698-v4-4-channels;7-build-2;57.93;7.58;4:50:11;0;0;0;29392;8;9752;0;59362;0
dual-Xeon-E5-2699-v3-8-channels-tmpfs;4-build-all;56.91;6.14;2:40:40;0;0;0;29600;0;0;0;55570;0
dual-Xeon-E5-2699-v3-8-channels-tmpfs;5-build-8;58.43;6.36;2:37:52;0;0;0;29492;0;0;0;51490;0
dual-Xeon-E5-2699-v3-8-channels-tmpfs;6-build-16;58.30;6.16;2:38:55;0;0;0;29580;0;0;0;56296;0
dual-Xeon-E5-2699-v3-8-channels-tmpfs;7-build-2;58.90;7.38;4:37:22;0;0;0;29420;0;0;0;58715;0
dual-Xeon-E5-2699-v3-8-channels;4-build-all;56.67;6.17;2:40:26;0;0;0;29484;8;6440;0;59326;0
dual-Xeon-E5-2699-v3-8-channels;5-build-8;58.77;6.89;2:36:44;0;0;0;29484;8;7488;0;58177;0
dual-Xeon-E5-2699-v3-8-channels;6-build-16;59.12;6.60;2:40:02;0;0;0;29316;8;6624;0;59784;0
dual-Xeon-E5-2699-v3-8-channels;7-build-2;58.94;7.31;4:47:50;0;0;0;29364;8;12064;0;56604;0
ryzen-5-1600AF;4-build-all;41.86;6.44;9:06:51;0;0;0;28808;525072;15480;23555;57247;0
ryzen-5-1600AF;5-build-8;43.34;6.44;9:39:56;0;0;0;30476;1061448;20504;39939;105290;0
ryzen-5-1600AF;6-build-16;42.50;6.35;9:15:06;0;0;0;30988;645344;11512;27335;67187;0
ryzen-5-1600AF;7-build-2;41.59;5.29;9:39:48;0;0;0;28584;113872;11808;4862;22294;0
threadripper-2990wx-128gb;4-build-all;62.52;11.51;2:33:21;0;0;0;29144;616;5336;4;63293;0
threadripper-2990wx-128gb;5-build-8;62.22;10.11;2:40:39;0;0;0;28952;36568;5672;1962;61485;0
threadripper-2990wx-128gb;6-build-16;66.19;10.38;2:31:26;0;0;0;29584;11576;5408;14;64962;0
threadripper-2990wx-128gb;7-build-2;54.13;7.86;4:06:13;0;0;0;29364;6288;8096;8;56172;0
threadripper-3970x-128gb-optane;4-build-all;37.10;4.80;1:26:59;0;0;0;28884;16;4632;0;14073;0
threadripper-3970x-128gb-optane;5-build-8;36.96;4.77;1:32:19;0;0;0;28836;39632;4848;1460;16725;0
threadripper-3970x-128gb-optane;6-build-16;37.04;4.71;1:27:07;0;0;0;29112;10200;4672;2;14023;0
threadripper-3970x-128gb-optane;7-build-2;35.57;4.59;2:49:25;0;0;0;29192;7800;6408;4;14039;0
threadripper-3970x-64gb;4-build-all;39.13;5.25;1:40:25;0;0;0;28724;111440;5336;7921;23464;0
threadripper-3970x-64gb;6-build-16;39.19;5.49;1:39:52;0;0;0;28516;99624;5544;6255;22608;0
threadripper-3970x-64gb;7-build-2;37.60;4.64;2:52:19;0;0;0;28724;52784;6432;1771;17635;0
vSphere-VM-28t-55G;4-build-all;48.09;6.63;3:51:17;0;0;0;29084;28664;5496;1934;15523;0
vSphere-VM-28t-55G;5-build-8;53.09;7.95;4:04:40;0;0;0;28892;38184;6208;1417;16057;0
vSphere-VM-28t-55G;6-build-16;49.57;7.09;3:49:16;0;0;0;28792;43448;5576;1953;15540;0
vSphere-VM-28t-55G;7-build-2;62.05;10.06;7:10:04;0;0;0;29360;11176;9448;7;14021;0
