builder;bb;user;system;elapsed;cpu;avgtest;avgdata;maxresident;inputs;outputs;major;minor;swaps
dual-Xeon-E5-2670-8-channels;1-init;31.67;7.51;0:56.75;69;0;0;130336;47336;679064;17;186885;0
dual-Xeon-E5-2670-8-channels;2-build-test;0.75;0.11;1:04.47;1;0;0;32292;5816;2704;13;20574;0
dual-Xeon-E5-2670-8-channels;3-fetch;5.98;1.00;8:57.42;1;0;0;29548;0;504;0;20974;0
dual-Xeon-E5-2698-v3-4-channels;1-init;27.87;5.88;0:58.78;57;0;0;131992;21600;679656;26;186551;0
dual-Xeon-E5-2698-v3-4-channels;2-build-test;0.75;0.10;0:55.58;1;0;0;32080;7984;2704;14;19601;0
dual-Xeon-E5-2698-v3-4-channels;3-fetch;8.25;1.34;16:00.08;1;0;0;29472;8;576;0;22627;0
dual-Xeon-E5-2698-v4-4-channels-no-journal;1-init;30.46;11.10;1:09.03;60;0;0;131132;7560;723176;14;176985;0
dual-Xeon-E5-2698-v4-4-channels-no-journal;2-build-test;0.89;0.17;0:56.58;1;0;0;31752;7488;2816;17;19128;0
dual-Xeon-E5-2698-v4-4-channels-no-journal;3-fetch;6.84;1.05;13:01.66;1;0;0;29336;8;1032;0;20479;0
dual-Xeon-E5-2698-v4-4-channels-tmpfs;1-init;30.60;7.31;1:06.04;57;0;0;131856;0;0;0;182965;0
dual-Xeon-E5-2698-v4-4-channels-tmpfs;2-build-test;0.84;0.11;0:57.99;1;0;0;31960;0;0;0;19144;0
dual-Xeon-E5-2698-v4-4-channels-tmpfs;3-fetch;6.37;1.14;8:54.23;1;0;0;29344;0;0;0;21323;0
dual-Xeon-E5-2698-v4-4-channels;1-init;28.02;6.38;0:43.20;79;0;0;131748;6640;679064;14;178147;0
dual-Xeon-E5-2698-v4-4-channels;2-build-test;0.90;0.11;0:54.79;1;0;0;31708;4720;2704;9;19155;0
dual-Xeon-E5-2698-v4-4-channels;3-fetch;6.13;1.03;8:59.35;1;0;0;29280;8;488;0;21207;0
dual-Xeon-E5-2699-v3-8-channels-tmpfs;1-init;26.17;6.74;1:31.58;35;0;0;134176;0;0;0;176579;0
dual-Xeon-E5-2699-v3-8-channels-tmpfs;2-build-test;0.65;0.06;0:53.10;1;0;0;32124;0;0;0;19158;0
dual-Xeon-E5-2699-v3-8-channels-tmpfs;3-fetch;6.85;1.14;13:00.14;1;0;0;29356;0;0;0;21253;0
dual-Xeon-E5-2699-v3-8-channels;1-init;27.12;6.14;1:45.28;31;0;0;135888;33696;723296;14;176321;0
dual-Xeon-E5-2699-v3-8-channels;2-build-test;0.67;0.06;0:50.01;1;0;0;32064;5112;3368;11;18957;0
dual-Xeon-E5-2699-v3-8-channels;3-fetch;6.79;1.10;14:36.93;0;0;0;29348;8;1144;0;21201;0
ryzen-5-1600AF;1-init;20.65;4.54;3:13.14;13;0;0;135436;19264;713648;64;123551;0
ryzen-5-1600AF;2-build-test;0.58;0.08;1:01.43;1;0;0;32400;7072;2864;20;20309;0
ryzen-5-1600AF;3-fetch;4.44;0.70;19:18.84;0;0;0;29400;136;1048;1;14021;0
threadripper-2990wx-128gb;1-init;18.27;4.81;3:21.48;11;0;0;132028;19304;679936;56;189877;0
threadripper-2990wx-128gb;2-build-test;0.52;0.03;0:37.94;1;0;0;31932;3496;2720;10;19872;0
threadripper-2990wx-128gb;3-fetch;3.58;0.49;4:06.06;1;0;0;29236;8;488;0;18656;0
threadripper-3970x-128gb-optane;1-init;14.61;2.73;0:37.71;46;0;0;139108;320;679776;0;123812;0
threadripper-3970x-128gb-optane;2-build-test;0.36;0.04;0:29.73;1;0;0;32344;584;2688;0;20553;0
threadripper-3970x-128gb-optane;3-fetch;1.95;0.26;3:12.13;1;0;0;29348;0;432;0;13916;0
threadripper-3970x-64gb;1-init;16.44;3.24;0:56.56;34;0;0;139260;19768;679584;66;126313;0
threadripper-3970x-64gb;2-build-test;0.37;0.03;0:32.25;1;0;0;32336;3392;2680;9;20292;0
threadripper-3970x-64gb;3-fetch;4.00;0.47;18:11.50;0;0;0;29256;8;568;0;13958;0
vSphere-VM-28t-55G;1-init;37.87;10.03;1:35.24;50;0;0;135812;0;679872;0;150633;0
vSphere-VM-28t-55G;2-build-test;1.18;0.13;1:21.35;1;0;0;32264;0;2704;0;19300;0
vSphere-VM-28t-55G;3-fetch;17.79;3.40;14:01.95;2;0;0;29544;0;528;0;13844;0
