builder;step;task;time
dual-Xeon-E5-2670-8-channels;4-build-all;adwaita-icon-theme.do_install;---
dual-Xeon-E5-2670-8-channels;5-build-8-bb;adwaita-icon-theme.do_install;510.28
dual-Xeon-E5-2670-8-channels;6-build-16-bb;adwaita-icon-theme.do_install;---
dual-Xeon-E5-2670-8-channels;7-build-2-bb;adwaita-icon-theme.do_install;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;4-build-all;adwaita-icon-theme.do_install;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;5-build-8-bb;adwaita-icon-theme.do_install;424.18
dual-Xeon-E5-2698-v4-4-channels-no-journal;6-build-16-bb;adwaita-icon-theme.do_install;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;7-build-2-bb;adwaita-icon-theme.do_install;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;4-build-all;adwaita-icon-theme.do_install;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;5-build-8-bb;adwaita-icon-theme.do_install;474.32
dual-Xeon-E5-2698-v4-4-channels-tmpfs;6-build-16-bb;adwaita-icon-theme.do_install;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;7-build-2-bb;adwaita-icon-theme.do_install;---
dual-Xeon-E5-2698-v4-4-channels;4-build-all;adwaita-icon-theme.do_install;---
dual-Xeon-E5-2698-v4-4-channels;5-build-8-bb;adwaita-icon-theme.do_install;478.73
dual-Xeon-E5-2698-v4-4-channels;6-build-16-bb;adwaita-icon-theme.do_install;---
dual-Xeon-E5-2698-v4-4-channels;7-build-2-bb;adwaita-icon-theme.do_install;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;4-build-all;adwaita-icon-theme.do_install;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;5-build-8-bb;adwaita-icon-theme.do_install;515.90
dual-Xeon-E5-2699-v3-8-channels-tmpfs;6-build-16-bb;adwaita-icon-theme.do_install;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;7-build-2-bb;adwaita-icon-theme.do_install;143.27
dual-Xeon-E5-2699-v3-8-channels;4-build-all;adwaita-icon-theme.do_install;---
dual-Xeon-E5-2699-v3-8-channels;5-build-8-bb;adwaita-icon-theme.do_install;---
dual-Xeon-E5-2699-v3-8-channels;6-build-16-bb;adwaita-icon-theme.do_install;---
dual-Xeon-E5-2699-v3-8-channels;7-build-2-bb;adwaita-icon-theme.do_install;136.90
ryzen-5-1600AF;4-build-all;adwaita-icon-theme.do_install;---
ryzen-5-1600AF;6-build-16-bb;adwaita-icon-theme.do_install;---
ryzen-5-1600AF;7-build-2-bb;adwaita-icon-theme.do_install;---
threadripper-3970x-64gb;4-build-all;adwaita-icon-theme.do_install;188.20
threadripper-3970x-64gb;5-build-8-bb;adwaita-icon-theme.do_install;315.61
threadripper-3970x-64gb;6-build-16-bb;adwaita-icon-theme.do_install;274.93
threadripper-3970x-64gb;7-build-2-bb;adwaita-icon-theme.do_install;---
dual-Xeon-E5-2670-8-channels;4-build-all;binutils.do_compile;---
dual-Xeon-E5-2670-8-channels;5-build-8-bb;binutils.do_compile;489.34
dual-Xeon-E5-2670-8-channels;6-build-16-bb;binutils.do_compile;---
dual-Xeon-E5-2670-8-channels;7-build-2-bb;binutils.do_compile;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;4-build-all;binutils.do_compile;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;5-build-8-bb;binutils.do_compile;275.42
dual-Xeon-E5-2698-v4-4-channels-no-journal;6-build-16-bb;binutils.do_compile;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;7-build-2-bb;binutils.do_compile;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;4-build-all;binutils.do_compile;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;5-build-8-bb;binutils.do_compile;255.67
dual-Xeon-E5-2698-v4-4-channels-tmpfs;6-build-16-bb;binutils.do_compile;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;7-build-2-bb;binutils.do_compile;---
dual-Xeon-E5-2698-v4-4-channels;4-build-all;binutils.do_compile;---
dual-Xeon-E5-2698-v4-4-channels;5-build-8-bb;binutils.do_compile;250.96
dual-Xeon-E5-2698-v4-4-channels;6-build-16-bb;binutils.do_compile;---
dual-Xeon-E5-2698-v4-4-channels;7-build-2-bb;binutils.do_compile;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;4-build-all;binutils.do_compile;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;5-build-8-bb;binutils.do_compile;307.43
dual-Xeon-E5-2699-v3-8-channels-tmpfs;6-build-16-bb;binutils.do_compile;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;7-build-2-bb;binutils.do_compile;---
dual-Xeon-E5-2699-v3-8-channels;4-build-all;binutils.do_compile;---
dual-Xeon-E5-2699-v3-8-channels;5-build-8-bb;binutils.do_compile;---
dual-Xeon-E5-2699-v3-8-channels;6-build-16-bb;binutils.do_compile;---
dual-Xeon-E5-2699-v3-8-channels;7-build-2-bb;binutils.do_compile;---
ryzen-5-1600AF;4-build-all;binutils.do_compile;---
ryzen-5-1600AF;6-build-16-bb;binutils.do_compile;---
ryzen-5-1600AF;7-build-2-bb;binutils.do_compile;---
threadripper-3970x-64gb;4-build-all;binutils.do_compile;145.24
threadripper-3970x-64gb;5-build-8-bb;binutils.do_compile;135.48
threadripper-3970x-64gb;6-build-16-bb;binutils.do_compile;---
threadripper-3970x-64gb;7-build-2-bb;binutils.do_compile;---
dual-Xeon-E5-2670-8-channels;4-build-all;cairo.do_configure;---
dual-Xeon-E5-2670-8-channels;5-build-8-bb;cairo.do_configure;---
dual-Xeon-E5-2670-8-channels;6-build-16-bb;cairo.do_configure;---
dual-Xeon-E5-2670-8-channels;7-build-2-bb;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;4-build-all;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;5-build-8-bb;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;6-build-16-bb;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;7-build-2-bb;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;4-build-all;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;5-build-8-bb;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;6-build-16-bb;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;7-build-2-bb;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels;4-build-all;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels;5-build-8-bb;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels;6-build-16-bb;cairo.do_configure;---
dual-Xeon-E5-2698-v4-4-channels;7-build-2-bb;cairo.do_configure;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;4-build-all;cairo.do_configure;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;5-build-8-bb;cairo.do_configure;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;6-build-16-bb;cairo.do_configure;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;7-build-2-bb;cairo.do_configure;---
dual-Xeon-E5-2699-v3-8-channels;4-build-all;cairo.do_configure;---
dual-Xeon-E5-2699-v3-8-channels;5-build-8-bb;cairo.do_configure;---
dual-Xeon-E5-2699-v3-8-channels;6-build-16-bb;cairo.do_configure;---
dual-Xeon-E5-2699-v3-8-channels;7-build-2-bb;cairo.do_configure;159.20
ryzen-5-1600AF;4-build-all;cairo.do_configure;---
ryzen-5-1600AF;6-build-16-bb;cairo.do_configure;---
ryzen-5-1600AF;7-build-2-bb;cairo.do_configure;---
