builder;step;task;time
dual-Xeon-E5-2670-8-channels;3-fetch;binutils.do_fetch;331.45
dual-Xeon-E5-2698-v4-4-channels-no-journal;3-fetch;binutils.do_fetch;433.55
dual-Xeon-E5-2698-v4-4-channels-tmpfs;3-fetch;binutils.do_fetch;313.32
dual-Xeon-E5-2698-v4-4-channels;3-fetch;binutils.do_fetch;307.99
dual-Xeon-E5-2699-v3-8-channels-tmpfs;3-fetch;binutils.do_fetch;525.28
dual-Xeon-E5-2699-v3-8-channels;3-fetch;binutils.do_fetch;476.43
ryzen-5-1600AF;3-fetch;binutils.do_fetch;736.87
threadripper-2990wx-128gb;3-fetch;binutils.do_fetch;179.58
threadripper-3970x-128gb-optane;3-fetch;binutils.do_fetch;82.45
threadripper-3970x-64gb;3-fetch;binutils.do_fetch;813.44
vSphere-VM-28t-55G;3-fetch;binutils.do_fetch;483.68
dual-Xeon-E5-2670-8-channels;3-fetch;binutils-cross-x86_64.do_fetch;260.91
dual-Xeon-E5-2698-v4-4-channels-no-journal;3-fetch;binutils-cross-x86_64.do_fetch;374.03
dual-Xeon-E5-2698-v4-4-channels-tmpfs;3-fetch;binutils-cross-x86_64.do_fetch;268.92
dual-Xeon-E5-2698-v4-4-channels;3-fetch;binutils-cross-x86_64.do_fetch;265.81
dual-Xeon-E5-2699-v3-8-channels-tmpfs;3-fetch;binutils-cross-x86_64.do_fetch;463.92
dual-Xeon-E5-2699-v3-8-channels;3-fetch;binutils-cross-x86_64.do_fetch;420.24
ryzen-5-1600AF;3-fetch;binutils-cross-x86_64.do_fetch;564.47
threadripper-2990wx-128gb;3-fetch;binutils-cross-x86_64.do_fetch;154.03
threadripper-3970x-128gb-optane;3-fetch;binutils-cross-x86_64.do_fetch;67.11
threadripper-3970x-64gb;3-fetch;binutils-cross-x86_64.do_fetch;621.12
vSphere-VM-28t-55G;3-fetch;binutils-cross-x86_64.do_fetch;349.63
dual-Xeon-E5-2670-8-channels;3-fetch;binutils-native.do_fetch;270.75
dual-Xeon-E5-2698-v4-4-channels-no-journal;3-fetch;binutils-native.do_fetch;379.49
dual-Xeon-E5-2698-v4-4-channels-tmpfs;3-fetch;binutils-native.do_fetch;274.94
dual-Xeon-E5-2698-v4-4-channels;3-fetch;binutils-native.do_fetch;268.50
dual-Xeon-E5-2699-v3-8-channels-tmpfs;3-fetch;binutils-native.do_fetch;472.18
dual-Xeon-E5-2699-v3-8-channels;3-fetch;binutils-native.do_fetch;428.20
ryzen-5-1600AF;3-fetch;binutils-native.do_fetch;570.45
threadripper-2990wx-128gb;3-fetch;binutils-native.do_fetch;159.10
threadripper-3970x-128gb-optane;3-fetch;binutils-native.do_fetch;69.56
threadripper-3970x-64gb;3-fetch;binutils-native.do_fetch;649.13
vSphere-VM-28t-55G;3-fetch;binutils-native.do_fetch;368.81
dual-Xeon-E5-2670-8-channels;3-fetch;cairo.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;3-fetch;cairo.do_fetch;177.19
dual-Xeon-E5-2698-v4-4-channels-tmpfs;3-fetch;cairo.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels;3-fetch;cairo.do_fetch;112.79
dual-Xeon-E5-2699-v3-8-channels-tmpfs;3-fetch;cairo.do_fetch;213.49
dual-Xeon-E5-2699-v3-8-channels;3-fetch;cairo.do_fetch;---
ryzen-5-1600AF;3-fetch;cairo.do_fetch;---
threadripper-2990wx-128gb;3-fetch;cairo.do_fetch;---
threadripper-3970x-128gb-optane;3-fetch;cairo.do_fetch;49.57
threadripper-3970x-64gb;3-fetch;cairo.do_fetch;---
vSphere-VM-28t-55G;3-fetch;cairo.do_fetch;161.78
dual-Xeon-E5-2670-8-channels;3-fetch;cairo-native.do_fetch;122.44
dual-Xeon-E5-2698-v4-4-channels-no-journal;3-fetch;cairo-native.do_fetch;217.98
dual-Xeon-E5-2698-v4-4-channels-tmpfs;3-fetch;cairo-native.do_fetch;122.97
dual-Xeon-E5-2698-v4-4-channels;3-fetch;cairo-native.do_fetch;146.27
dual-Xeon-E5-2699-v3-8-channels-tmpfs;3-fetch;cairo-native.do_fetch;251.27
dual-Xeon-E5-2699-v3-8-channels;3-fetch;cairo-native.do_fetch;219.73
ryzen-5-1600AF;3-fetch;cairo-native.do_fetch;---
threadripper-2990wx-128gb;3-fetch;cairo-native.do_fetch;65.28
threadripper-3970x-128gb-optane;3-fetch;cairo-native.do_fetch;58.75
threadripper-3970x-64gb;3-fetch;cairo-native.do_fetch;---
vSphere-VM-28t-55G;3-fetch;cairo-native.do_fetch;247.84
dual-Xeon-E5-2670-8-channels;3-fetch;cbindgen-native.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-no-journal;3-fetch;cbindgen-native.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels-tmpfs;3-fetch;cbindgen-native.do_fetch;---
dual-Xeon-E5-2698-v4-4-channels;3-fetch;cbindgen-native.do_fetch;---
dual-Xeon-E5-2699-v3-8-channels-tmpfs;3-fetch;cbindgen-native.do_fetch;---
dual-Xeon-E5-2699-v3-8-channels;3-fetch;cbindgen-native.do_fetch;---
ryzen-5-1600AF;3-fetch;cbindgen-native.do_fetch;---
threadripper-2990wx-128gb;3-fetch;cbindgen-native.do_fetch;88.81
