task;dual-Xeon-E5-2670-8-channels;dual-Xeon-E5-2670-8-channels;dual-Xeon-E5-2670-8-channels;dual-Xeon-E5-2670-8-channels;dual-Xeon-E5-2698-v4-4-channels-no-journal;dual-Xeon-E5-2698-v4-4-channels-no-journal;dual-Xeon-E5-2698-v4-4-channels-no-journal;dual-Xeon-E5-2698-v4-4-channels-no-journal;dual-Xeon-E5-2698-v4-4-channels-tmpfs;dual-Xeon-E5-2698-v4-4-channels-tmpfs;dual-Xeon-E5-2698-v4-4-channels-tmpfs;dual-Xeon-E5-2698-v4-4-channels-tmpfs;dual-Xeon-E5-2698-v4-4-channels;dual-Xeon-E5-2698-v4-4-channels;dual-Xeon-E5-2698-v4-4-channels;dual-Xeon-E5-2698-v4-4-channels;dual-Xeon-E5-2699-v3-8-channels-tmpfs;dual-Xeon-E5-2699-v3-8-channels-tmpfs;dual-Xeon-E5-2699-v3-8-channels-tmpfs;dual-Xeon-E5-2699-v3-8-channels-tmpfs;dual-Xeon-E5-2699-v3-8-channels;dual-Xeon-E5-2699-v3-8-channels;dual-Xeon-E5-2699-v3-8-channels;dual-Xeon-E5-2699-v3-8-channels;ryzen-5-1600AF;ryzen-5-1600AF;ryzen-5-1600AF;threadripper-2990wx-128gb;threadripper-2990wx-128gb;threadripper-2990wx-128gb;threadripper-2990wx-128gb;threadripper-3970x-128gb-optane;threadripper-3970x-128gb-optane;threadripper-3970x-128gb-optane;threadripper-3970x-128gb-optane;threadripper-3970x-64gb;threadripper-3970x-64gb;threadripper-3970x-64gb;threadripper-3970x-64gb
sec;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb;4-build-all;5-build-8-bb;6-build-16-bb;7-build-2-bb
adwaita-icon-theme.do_install;---;510.28;---;---;---;424.18;---;---;---;474.32;---;---;---;478.73;---;---;---;515.90;---;143.27;---;---;---;136.90;---;---;---;293.77;250.37;---;---;185.12;312.66;274.42;---;188.20;315.61;274.93;---
binutils.do_compile;---;489.34;---;---;---;275.42;---;---;---;255.67;---;---;---;250.96;---;---;---;307.43;---;---;---;---;---;---;---;---;---;---;---;---;---;---;141.62;---;---;145.24;135.48;---;---
cairo.do_configure;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;159.20;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
cargo-native.do_compile;715.72;411.79;741.54;161.47;---;---;---;122.87;---;---;---;116.76;---;---;---;118.82;---;605.22;---;121.91;---;665.49;---;---;---;---;---;286.51;292.34;316.18;---;165.90;153.45;164.96;---;278.29;185.83;256.21;---
cbindgen-native.do_compile;579.40;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;313.44;---;---;---;308.17;---;---;---;---;---;---;---;---;---;---;---;---;---;---;151.22;141.22;---
chromium-x11.do_compile;14134.65;11325.64;13993.14;7543.27;4565.58;4095.65;4591.30;2478.60;4632.49;3430.07;4579.21;2484.41;4627.87;3057.47;4554.71;2485.07;5790.72;4859.70;5766.18;3110.15;5774.95;3605.65;5750.11;3102.05;24719.87;24165.89;13567.36;6424.14;4789.55;6321.69;3074.84;3721.27;3053.65;3714.62;1843.12;4087.97;2761.33;4030.35;1880.14
clang-native.do_compile;3193.04;3542.30;2837.09;2461.43;867.21;780.42;781.96;656.82;900.88;833.16;786.91;683.29;904.15;834.15;799.71;681.93;1101.03;1056.22;986.53;942.16;1092.48;783.47;985.59;860.37;5932.45;6675.66;3397.07;1657.23;1825.49;1597.42;713.54;808.80;636.81;633.22;354.28;824.90;613.35;652.57;361.62
clang-native.do_populate_sysroot;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;162.95;---;---;---;106.07;---;---;---;98.93
core-image-sato.do_rootfs;---;---;---;---;---;---;---;---;---;---;---;115.69;---;---;---;114.96;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
