task;dual-Xeon-E5-2670-8-channels;dual-Xeon-E5-2698-v4-4-channels-no-journal;dual-Xeon-E5-2698-v4-4-channels-tmpfs;dual-Xeon-E5-2698-v4-4-channels;dual-Xeon-E5-2699-v3-8-channels-tmpfs;dual-Xeon-E5-2699-v3-8-channels;ryzen-5-1600AF;threadripper-2990wx-128gb;threadripper-3970x-64gb
sec;3-fetch;3-fetch;3-fetch;3-fetch;3-fetch;3-fetch;3-fetch;3-fetch;3-fetch
binutils.do_fetch;331.45;433.55;313.32;307.99;525.28;476.43;736.87;179.58;813.44
binutils-cross-x86_64.do_fetch;260.91;374.03;268.92;265.81;463.92;420.24;564.47;154.03;621.12
binutils-native.do_fetch;270.75;379.49;274.94;268.50;472.18;428.20;570.45;159.10;649.13
cairo.do_fetch;---;177.19;---;112.79;213.49;---;---;---;---
cairo-native.do_fetch;122.44;217.98;122.97;146.27;251.27;219.73;---;65.28;---
cbindgen-native.do_fetch;---;---;---;---;---;---;---;88.81;---
chromium-x11.do_fetch;193.46;225.20;217.90;155.58;---;287.03;---;---;---
cmake-native.do_fetch;---;---;---;---;---;---;---;87.63;---
cross-localedef-native.do_fetch;176.53;283.60;177.61;198.61;325.91;346.43;322.32;113.39;443.15
db.do_fetch;---;---;---;---;---;---;---;100.82;---
db-native.do_fetch;---;---;---;---;---;---;---;86.20;---
dnf.do_fetch;---;---;---;---;---;---;186.60;---;---
dnf-native.do_fetch;---;---;---;---;---;---;113.77;---;---
docbook-xsl-stylesheets-native.do_fetch;---;181.15;---;---;---;---;78.25;---;---
firefox.do_fetch;---;---;---;---;---;---;---;---;258.78
gcc-source-9.2.0.do_fetch;130.84;254.75;126.68;153.29;---;256.05;---;---;737.94
glibc.do_fetch;192.09;295.93;189.12;207.50;344.65;364.80;401.40;120.73;498.10
gn-native.do_fetch;222.30;253.49;241.49;176.81;---;311.52;---;75.22;---
icu-native.do_fetch;---;---;---;---;---;---;127.22;---;---
iso-codes.do_fetch;94.35;195.18;223.96;129.40;---;192.77;207.91;---;292.19
libgit2-native.do_fetch;---;---;---;107.29;---;---;74.15;---;262.05
libtirpc.do_fetch;---;---;---;---;---;---;---;80.24;---
libtirpc-native.do_fetch;---;---;---;---;---;---;---;73.49;---
linux-yocto.do_fetch;363.22;517.16;359.54;404.28;680.50;573.08;834.65;198.11;821.63
llvm-project-source-9.0.1.do_fetch;482.89;711.54;471.46;451.33;522.47;784.22;179.28;185.00;907.83
qemu-system-native.do_fetch;---;169.30;---;---;---;---;---;---;---
qtbase.do_fetch;285.65;---;419.67;---;369.19;529.85;96.09;85.84;447.30
qtbase-native.do_fetch;279.87;---;419.66;---;369.61;526.85;87.89;86.46;434.08
qtdeclarative.do_fetch;152.04;---;141.16;---;263.30;346.17;---;---;263.34
qtdeclarative-native.do_fetch;190.46;---;166.27;---;296.13;377.94;---;---;340.55
qtlocation.do_fetch;230.90;540.07;294.54;257.63;423.47;557.10;111.51;83.60;472.70
qtmultimedia.do_fetch;---;---;---;---;202.16;---;---;---;---
qtquickcontrols2.do_fetch;---;169.59;---;---;200.76;---;---;---;---
qtwebengine.do_fetch;431.80;699.30;467.80;473.37;655.26;798.87;341.24;140.69;864.10
qtwebkit.do_fetch;155.68;376.78;157.81;181.50;288.10;401.57;---;---;266.82
rpm.do_fetch;---;---;---;114.19;---;---;166.94;---;---
rpm-native.do_fetch;---;---;---;109.64;---;---;93.00;---;---
webkitgtk.do_fetch;---;---;---;---;208.82;---;---;---;385.94
Total;514.62;769.29;521.10;526.42;766.71;864.86;1124.56;234.49;1083.15
